fund_code,report_date,as_value,source,num_holdings,report_quarter
6025,2023-12-31,0.98,full,145,2023Q4
6025,2024-06-30,0.98,full,39,2024Q2
6025,2024-12-31,0.983117420562093,full,72,2024Q4
6522,2020-06-30,0.92,full,37,2020Q2
6522,2020-12-31,0.9366666666666668,full,38,2020Q4
6522,2021-06-30,0.9633333333333334,full,37,2021Q2
6522,2021-12-31,0.97,full,40,2021Q4
6522,2022-06-30,0.9866666666666666,full,32,2022Q2
6522,2022-12-31,0.9766666666666666,full,35,2022Q4
6522,2023-06-30,0.9566666666666667,full,53,2023Q2
6522,2023-12-31,0.99,full,28,2023Q4
6522,2024-06-30,0.9594652978291092,full,25,2024Q2
6522,2024-12-31,0.9798884302130983,full,30,2024Q4
6523,2020-06-30,0.92,full,37,2020Q2
6523,2020-12-31,0.9366666666666668,full,38,2020Q4
6523,2021-06-30,0.9633333333333334,full,37,2021Q2
6523,2021-12-31,0.97,full,40,2021Q4
6523,2022-06-30,0.9866666666666666,full,32,2022Q2
6523,2022-12-31,0.9766666666666666,full,35,2022Q4
6523,2023-06-30,0.9566666666666667,full,53,2023Q2
6523,2023-12-31,0.99,full,28,2023Q4
6523,2024-06-30,0.9594652978291092,full,25,2024Q2
6523,2024-12-31,0.9798884302130983,full,30,2024Q4
6533,2020-06-30,0.9580873445967486,full,64,2020Q2
6533,2020-12-31,0.9690192873488069,full,85,2020Q4
6533,2021-06-30,0.9666666666666667,full,95,2021Q2
6533,2021-12-31,0.9466666666666665,full,104,2021Q4
6533,2022-06-30,0.9433333333333334,full,74,2022Q2
6533,2022-12-31,0.9632200830502077,full,90,2022Q4
6533,2023-06-30,0.9432150461320086,full,118,2023Q2
6533,2023-12-31,0.9566666666666667,full,136,2023Q4
6533,2024-06-30,0.9666666666666666,full,71,2024Q2
6533,2024-12-31,0.9433333333333334,full,73,2024Q4
6615,2020-06-30,0.9533333333333334,full,67,2020Q2
6615,2020-12-31,0.9153426128796667,full,122,2020Q4
6615,2021-06-30,0.9348244144043496,full,134,2021Q2
6615,2021-12-31,0.9357438453405831,full,131,2021Q4
6615,2022-06-30,0.9622191272051996,full,98,2022Q2
6615,2022-12-31,0.9516071349533042,full,106,2022Q4
6615,2023-06-30,0.9257301451750641,full,149,2023Q2
6615,2023-12-31,0.9499130036630037,full,136,2023Q4
6615,2024-06-30,0.9301556171392028,full,137,2024Q2
6615,2024-12-31,0.9386376172090457,full,91,2024Q4
6616,2020-06-30,0.9533333333333334,full,67,2020Q2
6616,2020-12-31,0.9153426128796667,full,122,2020Q4
6616,2021-06-30,0.9348244144043496,full,134,2021Q2
6616,2021-12-31,0.9357438453405831,full,131,2021Q4
6616,2022-06-30,0.9622191272051996,full,98,2022Q2
6616,2022-12-31,0.9516071349533042,full,106,2022Q4
6616,2023-06-30,0.9257301451750641,full,149,2023Q2
6616,2023-12-31,0.9499130036630037,full,136,2023Q4
6616,2024-06-30,0.9301556171392028,full,137,2024Q2
6616,2024-12-31,0.9386376172090457,full,91,2024Q4
6887,2020-06-30,0.94,full,30,2020Q2
6887,2020-12-31,0.9400000000000002,full,29,2020Q4
6887,2021-06-30,0.9466666666666668,full,33,2021Q2
6887,2021-12-31,0.9466666666666668,full,43,2021Q4
6887,2022-06-30,0.9733333333333332,full,25,2022Q2
6887,2022-12-31,0.9933333333333333,full,17,2022Q4
6887,2023-06-30,0.9733333333333334,full,23,2023Q2
6887,2023-12-31,0.95,full,50,2023Q4
6887,2024-06-30,0.9433333333333334,full,25,2024Q2
6887,2024-12-31,0.9272662763881498,full,48,2024Q4
6888,2020-06-30,0.94,full,30,2020Q2
6888,2020-12-31,0.9400000000000002,full,29,2020Q4
6888,2021-06-30,0.9466666666666668,full,33,2021Q2
6888,2021-12-31,0.9466666666666668,full,43,2021Q4
6888,2022-06-30,0.9733333333333332,full,25,2022Q2
6888,2022-12-31,0.9933333333333333,full,17,2022Q4
6888,2023-06-30,0.9733333333333334,full,23,2023Q2
6888,2023-12-31,0.95,full,50,2023Q4
6888,2024-06-30,0.9433333333333334,full,25,2024Q2
6888,2024-12-31,0.9272662763881498,full,48,2024Q4
6976,2020-06-30,0.9594659831250668,full,42,2020Q2
6976,2020-12-31,0.9624361706104445,full,95,2020Q4
6976,2021-06-30,0.9595493973189141,full,140,2021Q2
6976,2021-12-31,0.9578249048395867,full,202,2021Q4
6976,2022-06-30,0.9533333333333333,full,109,2022Q2
6976,2022-12-31,0.9566666666666668,full,162,2022Q4
6976,2023-06-30,0.9731073701653297,full,237,2023Q2
6976,2023-12-31,0.9631068840579708,full,324,2023Q4
6976,2024-06-30,0.9533333333333334,full,57,2024Q2
6976,2024-12-31,0.9833333333333334,full,50,2024Q4
7049,2020-06-30,0.9733333333333334,full,27,2020Q2
7049,2020-12-31,0.8822009643801525,full,107,2020Q4
7049,2021-06-30,0.9466666666666668,full,104,2021Q2
7049,2021-12-31,0.9700000000000002,full,58,2021Q4
7049,2022-06-30,0.96,full,41,2022Q2
