fund_code,report_date,ici_value,num_industries
470009,2024-03-31,0.005306061533927668,10
470009,2024-06-30,0.025652042225870243,6
470009,2024-09-30,0.0063770909556256465,10
470009,2024-12-31,0.03067468475939795,10
470028,2024-03-31,0.01665944409740989,11
470028,2024-06-30,0.008897827211029566,8
470028,2024-09-30,0.022081861912668175,9
470028,2024-12-31,0.04974740170886073,8
470098,2024-03-31,0.016143945974996094,12
470098,2024-06-30,0.020756137662137845,12
470098,2024-09-30,0.02437351918157198,7
470098,2024-12-31,0.019837867393533982,5
481001,2024-03-31,0.0023666043827186927,13
481001,2024-06-30,0.0021961194967597252,12
481001,2024-09-30,0.007624719872993943,10
481001,2024-12-31,0.017466079191137233,10
481008,2024-03-31,0.022301076830167983,11
481008,2024-06-30,0.02612852495690068,10
481008,2024-09-30,0.023934045917758478,10
481008,2024-12-31,0.034205889826865586,9
481010,2024-03-31,0.03996039466965159,8
481010,2024-06-30,0.03417779884995918,7
481010,2024-09-30,0.02887801087148064,7
481010,2024-12-31,0.04221850758579771,7
481015,2024-03-31,0.07691125408907987,7
481015,2024-06-30,0.06681634194341164,4
481015,2024-09-30,0.06986868610490912,4
481015,2024-12-31,0.040198332914350925,4
501054,2024-03-31,0.015059621853807326,11
501054,2024-06-30,0.03451559152932323,13
501054,2024-09-30,0.04550799245053567,13
501054,2024-12-31,0.08772988451204605,12
501079,2024-03-31,0.03785373840569048,9
501079,2024-06-30,0.04213829013976764,3
501079,2024-09-30,0.1076107745769604,5
501079,2024-12-31,0.06263198022533598,5
519005,2024-03-31,0.18049972977238732,10
519005,2024-06-30,0.11327787471631942,8
519005,2024-09-30,0.06801905814762986,10
519005,2024-12-31,0.03897601266736514,2
519013,2024-03-31,0.011647619534867457,11
519013,2024-06-30,0.020895589921591504,10
519013,2024-09-30,0.04067488095887874,10
519013,2024-12-31,0.035182326907593056,11
519018,2024-03-31,0.0322081756480059,13
519018,2024-06-30,0.034756895994490423,12
519018,2024-09-30,0.03513085986119936,9
519018,2024-12-31,0.059549641932086395,9
519026,2024-03-31,0.012840052049387707,5
519026,2024-06-30,0.043726703152287445,4
519026,2024-09-30,0.031707739372811274,5
519026,2024-12-31,0.04637594307394009,3
519089,2024-03-31,0.022377315936383393,13
519089,2024-06-30,0.016445251626280643,10
519089,2024-09-30,0.0625462306888701,5
519089,2024-12-31,0.04018108174677804,10
519110,2024-03-31,0.03528693148508187,7
519110,2024-06-30,0.007489997125250259,6
519110,2024-09-30,0.007228395448503251,6
519110,2024-12-31,0.0526993688943875,6
519158,2024-03-31,0.03593186870839886,7
519158,2024-06-30,0.03910003699144027,3
519158,2024-09-30,0.0413448802816388,3
519158,2024-12-31,0.05365673687232759,3
519181,2024-03-31,0.0369568358825745,7
519181,2024-06-30,0.021739522672041045,5
519181,2024-09-30,0.011429422666157905,6
519181,2024-12-31,0.015768518771650676,6
519185,2024-03-31,0.8454913797270855,7
519185,2024-06-30,0.7004251150872064,8
519185,2024-09-30,0.986192007302502,6
519185,2024-12-31,0.9563617857199134,4
519670,2024-03-31,0.04770452285808548,6
519670,2024-06-30,0.07136142422823714,3
519670,2024-09-30,0.07448385060030228,3
519670,2024-12-31,0.04207674429710939,5
519672,2024-03-31,0.06648715356357002,7
519672,2024-06-30,0.07971035520451172,4
519672,2024-09-30,0.07238332429533617,4
519672,2024-12-31,0.042534854474870494,6
519674,2024-03-31,0.054895052642826826,6
519674,2024-06-30,0.054108758586294416,5
519674,2024-09-30,0.05434239216797008,5
519674,2024-12-31,0.05574753047509889,5
519679,2024-03-31,0.02846953912738714,12
519679,2024-06-30,0.041918341761912926,11
519679,2024-09-30,0.08704377606623971,5
519679,2024-12-31,0.07658334793375882,8
519688,2024-03-31,0.06147190357470772,12
519688,2024-06-30,0.020732681255244,11
519688,2024-09-30,0.03883839257041727,10
519688,2024-12-31,0.017101119189545218,9
519698,2024-03-31,0.032892300376082075,13
519698,2024-06-30,0.014344976763586382,12
519698,2024-09-30,0.0077111817528228545,7
519698,2024-12-31,0.013033612517982957,5
519704,2024-03-31,0.059582303195449625,14
519704,2024-06-30,0.051859572477518226,12
519704,2024-09-30,0.043849897389717764,9
519704,2024-12-31,0.02170421722304969,13
530019,2024-03-31,0.08644045669973648,6
530019,2024-06-30,0.047677272402321204,3
530019,2024-09-30,0.039930569778795014,4
530019,2024-12-31,0.13765045963584832,3
570001,2024-03-31,0.08538500061941615,4
570001,2024-06-30,0.06963344003125573,5
570001,2024-09-30,0.07509982626955902,5
570001,2024-12-31,0.06473200551962609,5
570008,2024-03-31,0.08311902393490235,3
570008,2024-06-30,0.0643023858459163,4
570008,2024-09-30,0.0781603163698657,4
570008,2024-12-31,0.05761427923264373,6
580001,2024-03-31,0.05022626487556124,4
580001,2024-06-30,0.1180732166217984,3
580001,2024-09-30,0.11772404979781645,2
580001,2024-12-31,0.11789212609061295,2
580002,2024-03-31,0.04025319505808516,4
580002,2024-06-30,0.03673300279851334,4
580002,2024-09-30,0.07815955686080564,2
580002,2024-12-31,0.10813032218045786,3
580006,2024-03-31,0.058604874800748455,4
580006,2024-06-30,0.11455597745856003,1
580006,2024-09-30,0.11455597745856003,1
580006,2024-12-31,0.11455597745856003,1
610006,2024-03-31,0.06531296326866566,2
610006,2024-06-30,0.10865752856911928,3
610006,2024-09-30,0.0923411341669893,3
610006,2024-12-31,0.08303007154710242,2
630001,2024-03-31,0.05929605331619857,12
630001,2024-06-30,0.030172641161323243,9
630001,2024-09-30,0.0034874675959282275,9
630001,2024-12-31,0.01830393631490186,7
630002,2024-03-31,0.06324634394724116,15
630002,2024-06-30,0.06073041140715129,14
630002,2024-09-30,0.04545324183066887,14
630002,2024-12-31,0.026334317944547516,14
630010,2024-03-31,0.01737732976332208,8
630010,2024-06-30,0.025974625773634415,6
630010,2024-09-30,0.02321891881665548,7
630010,2024-12-31,0.05225719110416288,5
630011,2024-03-31,0.3646773276142052,9
630011,2024-06-30,0.4094073418559041,6
630011,2024-09-30,0.3397000988217959,6
630011,2024-12-31,0.25687499848771245,8
660005,2024-03-31,0.018820397762040586,11
660005,2024-06-30,0.015930848469454556,12
660005,2024-09-30,0.017306967866343524,9
660005,2024-12-31,0.003883075893162206,10
660015,2024-03-31,0.017000765008687246,10
660015,2024-06-30,0.029011199651685284,8
660015,2024-09-30,0.0191607008755615,9
660015,2024-12-31,0.01778902614472582,9
952004,2024-03-31,0.0178668649195155,7
952004,2024-06-30,0.04281319682309132,6
952004,2024-09-30,0.021932007423164517,5
952004,2024-12-31,0.041937504545866644,4
