fund_code,quarter,as_value,rg_value,quarter_return,ici_value,next_return,rg_vol,as_change,as_rg_inter,fund_size,log_size,as_value_z,rg_value_z,rg_vol_z,as_change_z,as_rg_z,abs_return,ici_z,as_value_q,rg_value_q
6250,2022Q2,0.9560214359967021,-0.05223325007591787,0.17243729552889842,0.04267402564898091,-0.07176222406388899,0.0743371843770986,-0.013978927878264158,-0.04993610674435385,,,0.23115339492258116,-1.6250983746922358,2.939614952057495,-0.7289588374921768,-0.3756470063932792,0.07176222406388899,-0.07606638198552688,Q3,Q1(低)
6250,2022Q4,0.9633585885533384,0.006876623785043019,-0.07176222406388899,0.04267402564898091,0.02297872340425533,0.061689372829523616,0.007674673684473499,0.006624654583571359,,,0.4952561656376421,0.47826505262087704,2.1302138265223425,0.5164971735982895,0.2368637161195007,0.02297872340425533,-0.07606638198552688,Q4,Q4
6250,2023Q2,0.9710115316152002,-0.018469155397832684,0.02297872340425533,0.04267402564898091,-0.04390085104404051,0.05184266250227368,0.00794402328768773,-0.017933762870488656,,,0.7707259001375962,-0.42363815724579607,1.5000701537046672,0.5319894269971547,-0.3265089000758987,0.04390085104404051,-0.07606638198552688,Q4,Q2
6250,2023Q4,0.9790976765170314,-0.006134139076840662,-0.04390085104404051,0.04267402564898091,-0.16660337438290018,0.02536887924943514,0.008327547756699305,-0.0060059213175670196,,,1.0617888508521067,0.015290578516916302,-0.19412886890249947,0.5540487067870224,0.016235365792340473,0.16660337438290018,-0.07606638198552688,Q5(高),Q3
6250,2024Q2,0.9584391835495865,0.03416682543045749,-0.16660337438290018,0.04267402564898091,-0.06141644211703701,0.022552365774083108,-0.021099522001659654,0.03274682427004892,,,0.3181808654129931,1.449358514941316,-0.3743726342732724,-1.13851596025643,0.4611581465777184,0.06141644211703701,-0.07606638198552688,Q3,Q5(高)
6271,2021Q2,0.969886171855363,-0.05521478981803309,0.24440932437771634,0.04267402564898091,0.10648969355923898,0.024472389741199717,0.0,-0.05355206112641059,,,0.730218274280013,-1.731193367643787,-0.2515000286692919,0.07507090805113395,-1.26414903336585,0.10648969355923898,-0.07606638198552688,Q4,Q1(低)
6271,2021Q4,0.9512705822748164,0.0030161672259059074,0.10648969355923898,0.04267402564898091,0.08430880713489408,0.041175504600751825,-0.019193581804486937,0.0028691911532257304,,,0.060145143216394414,0.3408947182107602,0.8174216512917408,-1.0288914865415089,0.020503161648498587,0.08430880713489408,-0.07606638198552688,Q3,Q4
6271,2022Q2,0.9698938316169445,-0.030613859020232684,0.08430880713489408,0.04267402564898091,-0.038067349926793614,0.02923191412277343,0.019577236686530775,-0.029692193025714436,,,0.7304939894489554,-0.8557948134247606,0.05308739951676398,1.2011000834350127,-0.6251529674083778,0.038067349926793614,-0.07606638198552688,Q4,Q1(低)
6271,2022Q4,0.9898806397708283,0.004796008883171836,-0.038067349926793614,0.04267402564898091,-0.04412070759625397,0.0288463622225652,0.02060721235907126,0.004747476341620713,,,1.4499245001879848,0.40422853376088963,0.028413870755925233,1.2603414705514158,0.5861008547749799,0.04412070759625397,-0.07606638198552688,Q5(高),Q4
6271,2023Q2,0.9566666666666668,0.0026148274574687345,-0.04412070759625397,0.04267402564898091,-0.053286281429201554,0.017071100036885938,-0.03355351319109645,0.0025015182676450896,,,0.2543786456411149,0.3266134596710665,-0.7251481530542501,-1.8548355131036345,0.08308348951928479,0.053286281429201554,-0.07606638198552688,Q3,Q4
