fund_code,date,nav,daily_return
519173,2021-04-20,1.608,0.56
519173,2021-04-21,1.628,1.24
519173,2021-04-22,1.646,1.11
519173,2021-04-23,1.669,1.4
519173,2021-04-26,1.661,-0.48
519173,2021-04-27,1.671,0.6
519173,2021-04-28,1.704,1.97
519173,2021-04-29,1.711,0.41
519173,2021-04-30,1.729,1.05
519173,2021-05-06,1.696,-1.91
519173,2021-05-07,1.644,-3.07
519173,2021-05-10,1.657,0.79
519173,2021-05-11,1.663,0.36
519173,2021-05-12,1.684,1.26
519173,2021-05-13,1.673,-0.65
519173,2021-05-14,1.706,1.97
519173,2021-05-17,1.744,2.23
519173,2021-05-18,1.748,0.23
519173,2021-05-19,1.755,0.4
519173,2021-05-20,1.758,0.17
519173,2021-05-21,1.754,-0.23
519173,2021-05-24,1.764,0.57
519173,2021-05-25,1.8,2.04
519173,2021-05-26,1.784,-0.89
519173,2021-05-27,1.794,0.56
519173,2021-05-28,1.788,-0.33
519173,2021-05-31,1.825,2.07
519173,2021-06-01,1.822,-0.16
519173,2021-06-02,1.798,-1.32
519173,2021-06-03,1.783,-0.83
519173,2021-06-04,1.822,2.19
519173,2021-06-07,1.824,0.11
519173,2021-06-08,1.789,-1.92
519173,2021-06-09,1.794,0.28
519173,2021-06-10,1.845,2.84
519173,2021-06-11,1.837,-0.43
519173,2021-06-15,1.834,-0.16
519173,2021-06-16,1.757,-4.2
519173,2021-06-17,1.827,3.98
519173,2021-06-18,1.866,2.13
519173,2021-06-21,1.887,1.13
519173,2021-06-22,1.906,1.01
519173,2021-06-23,1.934,1.47
519173,2021-06-24,1.893,-2.12
519173,2021-06-25,1.931,2.01
519173,2021-06-28,1.953,1.14
519173,2021-06-29,1.963,0.51
519173,2021-06-30,2.006,2.19
519173,2021-07-01,1.996,-0.5
519173,2021-07-02,1.947,-2.45
519173,2021-07-05,1.988,2.11
519173,2021-07-06,1.959,-1.46
519173,2021-07-07,2.025,3.37
519173,2021-07-08,2.032,0.35
519173,2021-07-09,2.037,0.25
519173,2021-07-12,2.092,2.7
519173,2021-07-13,2.074,-0.86
519173,2021-07-14,2.03,-2.12
519173,2021-07-15,2.067,1.82
519173,2021-07-16,2.013,-2.61
519173,2021-07-19,1.993,-0.99
519173,2021-07-20,2.012,0.95
519173,2021-07-21,2.095,4.13
519173,2021-07-22,2.129,1.62
519173,2021-07-23,2.093,-1.69
519173,2021-07-26,2.067,-1.24
519173,2021-07-27,1.992,-3.63
519173,2021-07-28,1.996,0.2
519173,2021-07-29,2.11,5.71
519173,2021-07-30,2.099,-0.52
519173,2021-08-02,2.092,-0.33
519173,2021-08-03,2.01,-3.92
519173,2021-08-04,2.094,4.18
519173,2021-08-05,2.1,0.29
519173,2021-08-06,2.068,-1.52
519173,2021-08-09,2.036,-1.55
519173,2021-08-10,2.022,-0.69
519173,2021-08-11,2.031,0.45
519173,2021-08-12,2.026,-0.25
519173,2021-08-13,1.987,-1.92
519173,2021-08-16,1.959,-1.41
519173,2021-08-17,1.899,-3.06
519173,2021-08-18,1.903,0.21
519173,2021-08-19,1.946,2.26
519173,2021-08-20,1.932,-0.72
519173,2021-08-23,1.986,2.8
519173,2021-08-24,2.02,1.71
519173,2021-08-25,2.038,0.89
519173,2021-08-26,2.003,-1.72
519173,2021-08-27,2.012,0.45
519173,2021-08-30,2.015,0.15
519173,2021-08-31,1.986,-1.44
519173,2021-09-01,1.905,-4.08
519173,2021-09-02,1.939,1.78
519173,2021-09-03,1.878,-3.15
519173,2021-09-06,1.889,0.59
519173,2021-09-07,1.945,2.96
519173,2021-09-08,1.919,-1.34
519173,2021-09-09,1.932,0.68
519173,2021-09-10,1.975,2.23
519173,2021-09-13,1.957,-0.91
519173,2021-09-14,1.97,0.66
519173,2021-09-15,1.977,0.36
519173,2021-09-16,1.899,-3.95
519173,2021-09-17,1.898,-0.05
519173,2021-09-22,1.894,-0.21
519173,2021-09-23,1.875,-1.0
519173,2021-09-24,1.871,-0.21
519173,2021-09-27,1.826,-2.41
519173,2021-09-28,1.793,-1.81
519173,2021-09-29,1.747,-2.57
519173,2021-09-30,1.81,3.61
519173,2021-10-08,1.759,-2.82
519173,2021-10-11,1.736,-1.31
519173,2021-10-12,1.687,-2.82
519173,2021-10-13,1.754,3.97
519173,2021-10-14,1.772,1.03
519173,2021-10-15,1.818,2.6
519173,2021-10-18,1.852,1.87
519173,2021-10-19,1.861,0.49
519173,2021-10-20,1.885,1.29
519173,2021-10-21,1.867,-0.95
519173,2021-10-22,1.861,-0.32
519173,2021-10-25,1.907,2.47
519173,2021-10-26,1.892,-0.79
519173,2021-10-27,1.906,0.74
519173,2021-10-28,1.896,-0.52
519173,2021-10-29,1.962,3.48
519173,2021-11-01,1.978,0.82
519173,2021-11-02,1.999,1.06
519173,2021-11-03,1.973,-1.3
519173,2021-11-04,2.0,1.37
519173,2021-11-05,1.962,-1.9
519173,2021-11-08,1.991,1.48
519173,2021-11-09,2.001,0.5
519173,2021-11-10,1.983,-0.9
519173,2021-11-11,2.022,1.97
519173,2021-11-12,2.033,0.54
519173,2021-11-15,1.983,-2.46
519173,2021-11-16,1.964,-0.96
519173,2021-11-17,2.011,2.39
519173,2021-11-18,2.016,0.25
519173,2021-11-19,2.032,0.79
519173,2021-11-22,2.104,3.54
519173,2021-11-23,2.093,-0.52
519173,2021-11-24,2.079,-0.67
519173,2021-11-25,2.06,-0.91
519173,2021-11-26,2.065,0.24
519173,2021-11-29,2.08,0.73
519173,2021-11-30,2.087,0.34
519173,2021-12-01,2.06,-1.29
519173,2021-12-02,2.053,-0.34
519173,2021-12-03,2.065,0.58
519173,2021-12-06,2.011,-2.62
519173,2021-12-07,1.965,-2.29
519173,2021-12-08,2.023,2.95
519173,2021-12-09,2.012,-0.54
519173,2021-12-10,2.028,0.8
519173,2021-12-13,2.049,1.04
519173,2021-12-14,2.047,-0.1
519173,2021-12-15,2.027,-0.98
519173,2021-12-16,2.016,-0.54
519173,2021-12-17,1.972,-2.18
519173,2021-12-20,1.921,-2.59
519173,2021-12-21,1.95,1.51
519173,2021-12-22,1.971,1.08
519173,2021-12-23,1.988,0.86
519173,2021-12-24,1.945,-2.16
519173,2021-12-27,1.937,-0.41
519173,2021-12-28,1.958,1.08
519173,2021-12-29,1.935,-1.17
519173,2021-12-30,1.948,0.67
519173,2021-12-31,1.947,-0.05
519173,2022-01-04,1.892,-2.82
519173,2022-01-05,1.827,-3.44
519173,2022-01-06,1.828,0.05
519173,2022-01-07,1.79,-2.08
519173,2022-01-10,1.809,1.06
519173,2022-01-11,1.777,-1.77
519173,2022-01-12,1.805,1.58
519173,2022-01-13,1.755,-2.77
519173,2022-01-14,1.8,2.56
519173,2022-01-17,1.832,1.78
519173,2022-01-18,1.824,-0.44
519173,2022-01-19,1.782,-2.3
519173,2022-01-20,1.764,-1.01
519173,2022-01-21,1.736,-1.59
519173,2022-01-24,1.763,1.56
519173,2022-01-25,1.716,-2.67
519173,2022-01-26,1.736,1.17
519173,2022-01-27,1.683,-3.05
519173,2022-01-28,1.667,-0.95
519173,2022-02-07,1.67,0.18
519173,2022-02-08,1.638,-1.92
519173,2022-02-09,1.675,2.26
519173,2022-02-10,1.662,-0.78
519173,2022-02-11,1.628,-2.05
519173,2022-02-14,1.605,-1.41
519173,2022-02-15,1.628,1.43
519173,2022-02-16,1.633,0.31
519173,2022-02-17,1.64,0.43
519173,2022-02-18,1.648,0.49
519173,2022-02-21,1.648,0.0
519173,2022-02-22,1.654,0.36
519173,2022-02-23,1.683,1.75
519173,2022-02-24,1.653,-1.78
519173,2022-02-25,1.68,1.63
519173,2022-02-28,1.7,1.19
519173,2022-03-01,1.692,-0.47
519173,2022-03-02,1.674,-1.06
519173,2022-03-03,1.642,-1.91
519173,2022-03-04,1.634,-0.49
519173,2022-03-07,1.593,-2.51
519173,2022-03-08,1.57,-1.44
519173,2022-03-09,1.576,0.38
519173,2022-03-10,1.612,2.28
519173,2022-03-11,1.606,-0.37
519173,2022-03-14,1.563,-2.68
519173,2022-03-15,1.532,-1.98
519173,2022-03-16,1.607,4.9
519173,2022-03-17,1.602,-0.31
519173,2022-03-18,1.6,-0.12
519173,2022-03-21,1.623,1.44
519173,2022-03-22,1.588,-2.16
519173,2022-03-23,1.599,0.69
519173,2022-03-24,1.565,-2.13
519173,2022-03-25,1.523,-2.68
519173,2022-03-28,1.5,-1.51
519173,2022-03-29,1.468,-2.13
519173,2022-03-30,1.519,3.47
519173,2022-03-31,1.474,-2.96
519173,2022-04-01,1.48,0.41
519173,2022-04-06,1.431,-3.31
519173,2022-04-07,1.404,-1.89
519173,2022-04-08,1.401,-0.21
519173,2022-04-11,1.358,-3.07
519173,2022-04-12,1.364,0.44
519173,2022-04-13,1.357,-0.51
