fund_code,report_date,year,quarter,AS_new,num_holdings
11120,2024-06-30,2024,2,0.9446666666666529,78
11120,2024-12-31,2024,4,0.9120902255638971,135
11120,2025-06-30,2025,2,0.9651003598146429,98
11120,2025-12-31,2025,4,0.9623333333333195,106
112002,2020-06-30,2020,2,0.9414425686611252,105
112002,2020-12-31,2020,4,0.9495839328537029,157
112002,2021-06-30,2021,2,0.954842437965832,226
112002,2021-12-31,2021,4,0.9485133556963463,198
112002,2022-06-30,2022,2,0.9715170204244947,128
112002,2022-12-31,2022,4,0.9732613283674575,131
112002,2023-06-30,2023,2,0.9622333358960424,151
112002,2023-12-31,2023,4,0.9661857536402849,162
112002,2024-06-30,2024,2,0.9634640234948466,141
112002,2024-12-31,2024,4,0.9549872162665317,111
112002,2025-06-30,2025,2,0.9573793928947484,110
112002,2025-12-31,2025,4,0.9525975724912922,112
11300,2021-06-30,2021,2,0.966226861594109,120
11300,2021-12-31,2021,4,0.9713239738178121,134
11300,2022-06-30,2022,2,0.974638225157112,103
11300,2022-12-31,2022,4,0.9591360018194113,148
11300,2023-06-30,2023,2,0.9532990426180697,141
11300,2023-12-31,2023,4,0.9533476959904131,161
11300,2024-06-30,2024,2,0.9540739718269842,108
11300,2024-12-31,2024,4,0.9559999999999871,112
11300,2025-06-30,2025,2,0.9495989572889382,116
11300,2025-12-31,2025,4,0.9482670554966284,132
11301,2021-06-30,2021,2,0.966226861594109,120
11301,2021-12-31,2021,4,0.9713239738178121,134
11301,2022-06-30,2022,2,0.974638225157112,103
11301,2022-12-31,2022,4,0.9591360018194113,148
11301,2023-06-30,2023,2,0.9532990426180697,141
11301,2023-12-31,2023,4,0.9533476959904131,161
11301,2024-06-30,2024,2,0.9540739718269842,108
11301,2024-12-31,2024,4,0.9559999999999871,112
11301,2025-06-30,2025,2,0.9495989572889382,116
11301,2025-12-31,2025,4,0.9482670554966284,132
11369,2021-06-30,2021,2,0.9739999999999865,55
11369,2021-12-31,2021,4,0.9591714726474293,166
11369,2022-06-30,2022,2,0.9481276363330677,123
11369,2022-12-31,2022,4,0.9485079735511349,116
11369,2023-06-30,2023,2,0.9459043191780309,140
11369,2023-12-31,2023,4,0.9326689734717286,163
11369,2024-06-30,2024,2,0.9081319305882938,152
11369,2024-12-31,2024,4,0.9277379028512923,158
11369,2025-06-30,2025,2,0.9723333333333217,61
11369,2025-12-31,2025,4,0.9609999999999874,67
11370,2021-06-30,2021,2,0.9739999999999865,55
11370,2021-12-31,2021,4,0.9591714726474293,166
11370,2022-06-30,2022,2,0.9481276363330677,123
11370,2022-12-31,2022,4,0.9485079735511349,116
11370,2023-06-30,2023,2,0.9459043191780309,140
11370,2023-12-31,2023,4,0.9326689734717286,163
11370,2024-06-30,2024,2,0.9081319305882938,152
11370,2024-12-31,2024,4,0.9277379028512923,158
11370,2025-06-30,2025,2,0.9723333333333217,61
11370,2025-12-31,2025,4,0.9609999999999874,67
11399,2021-06-30,2021,2,0.9655371833052651,108
11399,2021-12-31,2021,4,0.9557399202188902,130
11399,2022-06-30,2022,2,0.9573361782835326,116
11399,2022-12-31,2022,4,0.9499109210760592,135
11399,2023-06-30,2023,2,0.9516007187063141,148
11399,2023-12-31,2023,4,0.945962627240445,152
11399,2024-06-30,2024,2,0.9542017299968975,100
11399,2024-12-31,2024,4,0.9482538483957152,89
11399,2025-06-30,2025,2,0.9563333333333194,93
11399,2025-12-31,2025,4,0.9639999999999868,74
11400,2021-06-30,2021,2,0.9655371833052651,108
11400,2021-12-31,2021,4,0.9557399202188902,130
11400,2022-06-30,2022,2,0.9573361782835326,116
11400,2022-12-31,2022,4,0.9499109210760592,135
11400,2023-06-30,2023,2,0.9516007187063141,148
11400,2023-12-31,2023,4,0.945962627240445,152
