fund_code,report_date,as_value,source,num_holdings,quarter
1811,2021-12-31,0.9529053885382119,full_holdings,196,2021Q4
1811,2022-06-30,0.9633333333333334,full_holdings,71,2022Q2
1811,2022-12-31,0.9512142403051496,full_holdings,90,2022Q4
1811,2023-06-30,0.9336037177862273,full_holdings,117,2023Q2
1811,2023-12-31,0.9228482534295008,full_holdings,142,2023Q4
1811,2024-06-30,0.9333333333333333,full_holdings,71,2024Q2
1811,2024-12-31,0.9333333333333333,full_holdings,87,2024Q4
1881,2020-06-30,0.951664255776863,full_holdings,74,2020Q2
1881,2020-12-31,0.933112534039891,full_holdings,100,2020Q4
1881,2021-06-30,0.9299999999999999,full_holdings,165,2021Q2
1881,2021-12-31,0.9332194640552645,full_holdings,143,2021Q4
1881,2022-06-30,0.9237497246089448,full_holdings,137,2022Q2
1881,2022-12-31,0.9265586169638035,full_holdings,162,2022Q4
1881,2023-06-30,0.9105084745762713,full_holdings,180,2023Q2
1881,2023-12-31,0.92,full_holdings,147,2023Q4
1881,2024-06-30,0.9333333333333333,full_holdings,71,2024Q2
1881,2024-12-31,0.9133333333333333,full_holdings,91,2024Q4
1985,2020-06-30,0.9279685264663806,full_holdings,104,2020Q2
1985,2020-12-31,0.8981337648327941,full_holdings,156,2020Q4
1985,2021-06-30,0.9428025477707006,full_holdings,81,2021Q2
1985,2021-12-31,0.8935030354670358,full_holdings,179,2021Q4
1985,2022-06-30,0.9329921827155156,full_holdings,177,2022Q2
1985,2022-12-31,0.9235753118004477,full_holdings,59,2022Q4
1985,2023-06-30,0.9468220338983051,full_holdings,40,2023Q2
1985,2023-12-31,0.9666666666666666,full_holdings,38,2023Q4
1985,2024-06-30,0.9463312865812058,full_holdings,53,2024Q2
1985,2024-12-31,0.9633333333333334,full_holdings,42,2024Q4
2692,2020-06-30,0.9533333333333334,full_holdings,39,2020Q2
2692,2020-12-31,0.9583839689722042,full_holdings,62,2020Q4
2692,2021-06-30,0.9490418396678377,full_holdings,71,2021Q2
2692,2021-12-31,0.9407828551186681,full_holdings,102,2021Q4
2692,2022-06-30,0.9676810954063604,full_holdings,49,2022Q2
2692,2022-12-31,0.9461220636822423,full_holdings,71,2022Q4
2692,2023-06-30,0.9619256451903988,full_holdings,107,2023Q2
2692,2023-12-31,0.9574326059050066,full_holdings,116,2023Q4
2692,2024-06-30,0.9433333333333334,full_holdings,48,2024Q2
2692,2024-12-31,0.923566373579241,full_holdings,105,2024Q4
3567,2020-06-30,0.9866666666666668,full_holdings,36,2020Q2
3567,2020-12-31,0.9900000000000001,full_holdings,32,2020Q4
3567,2021-06-30,0.9933333333333334,full_holdings,62,2021Q2
3567,2021-12-31,0.9798918334234721,full_holdings,131,2021Q4
3567,2022-06-30,0.9833333333333333,full_holdings,103,2022Q2
3567,2022-12-31,0.9733333333333334,full_holdings,136,2022Q4
3567,2023-06-30,0.9833333333333334,full_holdings,166,2023Q2
3567,2023-12-31,0.9674476513865309,full_holdings,164,2023Q4
3567,2024-06-30,0.9733333333333334,full_holdings,121,2024Q2
3567,2024-12-31,0.9827761526675025,full_holdings,102,2024Q4
4148,2020-06-30,0.9466666666666667,full_holdings,53,2020Q2
4148,2020-12-31,0.9366666666666668,full_holdings,80,2020Q4
4148,2021-06-30,0.9666666666666668,full_holdings,90,2021Q2
4148,2021-12-31,0.9433333333333334,full_holdings,102,2021Q4
4148,2022-06-30,0.9485607184990676,full_holdings,64,2022Q2
4148,2022-12-31,0.9314860681114551,full_holdings,86,2022Q4
4148,2023-06-30,0.9134234234234233,full_holdings,117,2023Q2
4148,2023-12-31,0.9133333333333333,full_holdings,120,2023Q4
4148,2024-06-30,0.9100000000000001,full_holdings,67,2024Q2
4148,2024-12-31,0.9305682583572619,full_holdings,72,2024Q4
4232,2020-06-30,0.9765604870106888,full_holdings,57,2020Q2
4232,2020-12-31,0.9597093725573794,full_holdings,109,2020Q4
4232,2021-06-30,0.976677643615075,full_holdings,150,2021Q2
4232,2021-12-31,0.9740081318210998,full_holdings,131,2021Q4
4232,2022-06-30,0.9681233386496546,full_holdings,106,2022Q2
4232,2022-12-31,0.9614461254350452,full_holdings,113,2022Q4
4232,2023-06-30,0.9740641711229947,full_holdings,154,2023Q2
4232,2023-12-31,0.9641127747690348,full_holdings,209,2023Q4
4232,2024-06-30,0.9703762067007382,full_holdings,179,2024Q2
4232,2024-12-31,0.9888060335670279,full_holdings,154,2024Q4
4374,2020-06-30,0.98,full_holdings,47,2020Q2
4374,2020-12-31,0.9581167608286254,full_holdings,71,2020Q4
4374,2021-06-30,0.9782629464770385,full_holdings,78,2021Q2
4374,2021-12-31,0.98,full_holdings,101,2021Q4
4374,2022-06-30,0.9865610030994647,full_holdings,119,2022Q2
4374,2022-12-31,0.9719607222046247,full_holdings,88,2022Q4
4374,2023-06-30,0.9658982802780827,full_holdings,106,2023Q2
4374,2023-12-31,0.9766666666666667,full_holdings,133,2023Q4
4374,2024-06-30,0.9700000000000001,full_holdings,53,2024Q2
4374,2024-12-31,0.97,full_holdings,18,2024Q4
4375,2020-06-30,0.98,full_holdings,47,2020Q2
4375,2020-12-31,0.9581167608286254,full_holdings,71,2020Q4
4375,2021-06-30,0.9782629464770385,full_holdings,78,2021Q2
4375,2021-12-31,0.98,full_holdings,101,2021Q4
4375,2022-06-30,0.9865610030994647,full_holdings,119,2022Q2
4375,2022-12-31,0.9719607222046247,full_holdings,88,2022Q4
4375,2023-06-30,0.9658982802780827,full_holdings,106,2023Q2
4375,2023-12-31,0.9766666666666667,full_holdings,133,2023Q4
4375,2024-06-30,0.9700000000000001,full_holdings,53,2024Q2
4375,2024-12-31,0.97,full_holdings,18,2024Q4
5001,2020-06-30,0.9643419389045231,full_holdings,61,2020Q2
5001,2020-12-31,0.9633977835416176,full_holdings,88,2020Q4
