fund_code,report_date,quarter,stock_code,stock_name,hold_ratio
002910,2020-06-30,2020Q2,600956,新天绿能,0.02
002910,2020-06-30,2020Q2,300839,博汇股份,0.01
002910,2020-06-30,2020Q2,300845,捷安高科,0.01
002910,2020-06-30,2020Q2,300843,胜蓝股份,0.01
002910,2020-06-30,2020Q2,300840,酷特智能,0.01
002910,2020-06-30,2020Q2,600276,恒瑞医药,0.01
002910,2020-06-30,2020Q2,300846,首都在线,0.0
002910,2020-06-30,2020Q2,300772,运达股份,0.0
002910,2020-06-30,2020Q2,600486,扬农化工,7.57
002910,2020-06-30,2020Q2,002734,利民股份,5.73
002910,2020-06-30,2020Q2,603378,亚士创能,5.54
002910,2020-06-30,2020Q2,002597,金禾实业,5.1
002910,2020-06-30,2020Q2,002258,利尔化学,4.61
002910,2020-06-30,2020Q2,000902,新洋丰,4.4
002910,2020-06-30,2020Q2,603033,三维股份,2.34
002910,2020-06-30,2020Q2,603916,苏博特,2.09
002910,2020-06-30,2020Q2,600873,梅花生物,2.03
002910,2020-06-30,2020Q2,600309,万华化学,1.99
002910,2020-12-31,2020Q4,000902,新洋丰,5.8
002910,2020-12-31,2020Q4,002648,卫星化学,5.2
002910,2020-12-31,2020Q4,601808,中海油服,5.02
002910,2020-12-31,2020Q4,600989,宝丰能源,4.97
002910,2020-12-31,2020Q4,002734,利民股份,4.94
002910,2020-12-31,2020Q4,600486,扬农化工,4.93
002910,2020-12-31,2020Q4,002597,金禾实业,4.92
002910,2020-12-31,2020Q4,002206,海利得,4.81
002910,2020-12-31,2020Q4,002643,万润股份,4.05
002910,2020-12-31,2020Q4,600309,万华化学,3.34
002910,2020-12-31,2020Q4,002080,中材科技,3.16
002910,2020-12-31,2020Q4,600352,浙江龙盛,3.04
002910,2020-12-31,2020Q4,603378,亚士创能,2.88
002910,2020-12-31,2020Q4,002409,雅克科技,2.57
002910,2020-12-31,2020Q4,600583,海油工程,2.39
002910,2020-12-31,2020Q4,600346,恒力石化,2.27
002910,2020-12-31,2020Q4,601233,桐昆股份,2.22
002910,2020-12-31,2020Q4,002215,诺普信,2.09
002910,2020-12-31,2020Q4,002250,联化科技,2.05
002910,2020-12-31,2020Q4,600409,三友化工,2.03
002910,2020-12-31,2020Q4,002353,杰瑞股份,2.01
002910,2020-12-31,2020Q4,300575,中旗股份,1.99
002910,2020-12-31,2020Q4,000301,东方盛虹,1.97
002910,2020-12-31,2020Q4,002258,利尔化学,1.93
002910,2020-12-31,2020Q4,002440,闰土股份,1.9
002910,2020-12-31,2020Q4,002810,山东赫达,1.79
002910,2020-12-31,2020Q4,002064,华峰化学,1.76
002910,2020-12-31,2020Q4,603225,新凤鸣,1.71
002910,2020-12-31,2020Q4,600426,华鲁恒升,1.51
002910,2020-12-31,2020Q4,300121,阳谷华泰,1.03
002910,2020-12-31,2020Q4,000703,恒逸石化,1.03
002910,2020-12-31,2020Q4,603737,三棵树,0.82
002910,2020-12-31,2020Q4,603353,和顺石油,0.61
002910,2020-12-31,2020Q4,002601,龙佰集团,0.39
002910,2020-12-31,2020Q4,300530,领湃科技,0.12
002910,2020-12-31,2020Q4,688536,思瑞浦,0.11
002910,2020-12-31,2020Q4,300782,卓胜微,0.02
002910,2020-12-31,2020Q4,300999,金龙鱼,0.02
002910,2020-12-31,2020Q4,603290,斯达半导,0.01
002910,2020-12-31,2020Q4,300896,爱美客,0.01
002910,2020-12-31,2020Q4,688617,惠泰医疗,0.01
002910,2020-12-31,2020Q4,300862,蓝盾光电,0.01
002910,2020-12-31,2020Q4,688569,铁科轨道,0.01
002910,2020-12-31,2020Q4,300869,康泰医学,0.01
002910,2020-12-31,2020Q4,688215,瑞晟智能,0.0
002910,2020-12-31,2020Q4,300926,博俊科技,0.0
002910,2020-12-31,2020Q4,300919,中伟股份,0.0
002910,2020-12-31,2020Q4,300870,欧陆通,0.0
002910,2020-12-31,2020Q4,300900,广联航空,0.0
002910,2020-12-31,2020Q4,300927,江天化学,0.0
002910,2020-12-31,2020Q4,300867,圣元环保,0.0
002910,2020-12-31,2020Q4,300910,瑞丰新材,0.0
002910,2020-12-31,2020Q4,003026,中晶科技,0.0
002910,2020-12-31,2020Q4,300891,惠云钛业,0.0
002910,2020-12-31,2020Q4,003029,吉大正元,0.0
002910,2020-12-31,2020Q4,300872,天阳科技,0.0
002910,2020-12-31,2020Q4,300908,仲景食品,0.0
002910,2020-12-31,2020Q4,300884,狄耐克,0.0
002910,2020-12-31,2020Q4,605179,一鸣食品,0.0
002910,2020-12-31,2020Q4,300871,回盛生物,0.0
002910,2020-12-31,2020Q4,300892,品渥食品,0.0
002910,2020-12-31,2020Q4,300887,谱尼测试,0.0
002910,2020-12-31,2020Q4,300889,爱克股份,0.0
002910,2020-12-31,2020Q4,300890,翔丰华,0.0
002910,2020-12-31,2020Q4,300902,国安达,0.0
002910,2020-12-31,2020Q4,300925,法本信息,0.0
002910,2020-12-31,2020Q4,300895,铜牛信息,0.0
002910,2020-12-31,2020Q4,300876,蒙泰高新,0.0
002910,2020-12-31,2020Q4,300879,大叶股份,0.0
002910,2020-12-31,2020Q4,300873,海晨股份,0.0
002910,2020-12-31,2020Q4,300868,杰美特,0.0
002910,2020-12-31,2020Q4,300882,万胜智能,0.0
002910,2020-12-31,2020Q4,300864,南大环境,0.0
002910,2020-12-31,2020Q4,605155,西大门,0.0
002910,2020-12-31,2020Q4,300861,美畅股份,0.0
002910,2020-12-31,2020Q4,300911,亿田智能,0.0
002910,2020-12-31,2020Q4,300893,松原股份,0.0
002910,2020-12-31,2020Q4,300918,南山智尚,0.0
002910,2020-12-31,2020Q4,300881,盛德鑫泰,0.0
002910,2020-12-31,2020Q4,300922,天秦装备,0.0
002910,2020-12-31,2020Q4,300917,特发服务,0.0
002910,2020-12-31,2020Q4,605277,新亚电子,0.0
002910,2020-12-31,2020Q4,300860,锋尚文化,0.0
002910,2020-12-31,2020Q4,600276,恒瑞医药,0.0
002910,2020-12-31,2020Q4,003030,祖名股份,0.0
002910,2020-12-31,2020Q4,300886,华业香料,0.0
002910,2020-12-31,2020Q4,003031,中瓷电子,0.0
002910,2020-12-31,2020Q4,300772,运达股份,0.0
002910,2020-12-31,2020Q4,002597,金禾实业,6.91
002910,2020-12-31,2020Q4,600486,扬农化工,6.19
002910,2020-12-31,2020Q4,002648,卫星化学,5.74
002910,2020-12-31,2020Q4,000902,新洋丰,5.17
002910,2020-12-31,2020Q4,002258,利尔化学,4.39
002910,2020-12-31,2020Q4,002206,海利得,4.19
002910,2020-12-31,2020Q4,002734,利民股份,4.19
002910,2020-12-31,2020Q4,002643,万润股份,3.98
002910,2020-12-31,2020Q4,600309,万华化学,3.48
002910,2020-12-31,2020Q4,002080,中材科技,3.16
002910,2020-12-31,2020Q4,600486,扬农化工,7.77
002910,2020-12-31,2020Q4,002597,金禾实业,6.04
002910,2020-12-31,2020Q4,002648,卫星化学,5.89
002910,2020-12-31,2020Q4,002258,利尔化学,5.81
002910,2020-12-31,2020Q4,000902,新洋丰,5.49
002910,2020-12-31,2020Q4,600409,三友化工,5.08
002910,2020-12-31,2020Q4,002734,利民股份,4.86
002910,2020-12-31,2020Q4,603378,亚士创能,4.34
002910,2020-12-31,2020Q4,600309,万华化学,4.17
002910,2020-12-31,2020Q4,002250,联化科技,2.81
