fund_code,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha
6616,-0.40066465185412614,-0.25217421995621103,-0.36525768726799285,0.07518092064716497,-0.3906517488833168,-0.26671347746289636,0.04123749515301879
6769,0.02770734966199724,-0.8380205067121189,-0.6411384727154603,-0.40017895646289753,-0.6167490740155476,-0.49367593204880544,0.0051328128007715
6887,-0.039969502753400166,0.19789643062440823,0.4201243825404237,-0.4798290715273703,-1.7620969251161167,-0.33277493724641105,0.0220129956510113
6888,-0.13113921942949058,0.19398386139972115,0.4254847676139452,-0.4825608875802821,-1.6709421264686604,-0.33303472089295333,0.021929657693006
6904,-0.2816249381936672,-0.5701331178342759,-0.6652820997833602,0.1366799430547456,-0.587435585551113,-0.3935591596615341,0.0213415121179596
6905,-0.2768039138369577,-0.5491805426834783,-0.6722549261930776,0.14294538953137462,-0.5945317904270064,-0.3899651567218291,0.019958596302428196
6969,0.05951928461711301,-0.16662343851759742,-0.6512530888901908,0.005900790521568461,-0.4118155178562708,-0.23285439402507552,0.034462987286061
6976,-0.44544708392943005,-0.5442722804290011,-0.607057287538055,0.33013371946902187,-0.18856761991093524,-0.2910421104676799,0.0030471789401624
7049,-0.10804249188037593,-1.1497349373436694,-0.8779843753051553,0.2055272229622481,-2.235385488501843,-0.8331240140137591,0.0104020065265001
7113,-0.26885753449378097,-0.4939677424207891,-0.2635390265688955,-0.4589887383415568,-0.7778924413248721,-0.4526490966299789,-0.007358893081740899
7114,-0.24666944518338385,-0.49917038249628276,-0.25757559834232524,-0.47990099838389266,-0.776552742381839,-0.45197383335754465,-0.0079559135186638
7305,0.34849757241212154,0.4128194125047179,0.3373893131604936,0.43400706486455326,0.5320763185870332,0.4129579363057839,0.0122866362965343
7340,-0.06738265409384384,0.3718741358199105,-0.3129617780717353,-0.12460338466242565,-0.2918565711971623,-0.08498605044105131,0.0239576516023514
7341,-0.0803229289592669,0.3807109408117469,-0.30963810472465225,-0.1971547008088198,-0.2915441412573743,-0.09958978698767328,0.0219031045523169
7343,-0.5737246916870961,0.2621418787406101,-0.6400259241017644,0.5309129541443031,0.07195646961579888,-0.06974786265762968,0.0364658813893364
7346,0.06812023510935211,0.09946252750938717,-0.16134770580972796,0.22650487866245364,-0.023930946039145612,0.04176179788646387,0.0560373816486776
7349,-0.29413969945276836,0.2610738295701728,-0.24261064814439082,-0.4665565994353023,0.23231828366362733,-0.10198296675973229,-0.0033993739330328
7350,-0.4931117650661825,0.4001844260915837,-0.4882667771741172,-1.3497825280775642,0.12514258999663042,-0.36116681084592994,-0.0165622978751739
7353,-0.3602133437306223,-0.3391069527838858,-0.3725767260126112,-1.1632013526584106,-0.04931424803905049,-0.4568825246449161,-0.0185234001310069
7449,-0.3109208230939998,-0.24208438202093244,-0.7787315653429161,0.454194458229223,0.30112355182192346,-0.11528375208134038,0.0106113842612039
7450,-0.4425509732939086,-0.24860366837077194,-0.757868411380678,0.3902986203054713,0.3027322720710738,-0.1511984321337627,0.0091784177910204
7490,0.057348984704057304,1.4466167356401929,-0.47259112739758286,-0.3315871788929444,-0.08503080535897117,0.12295132173895036,0.0074374515095833
7491,0.06611525305732813,1.5141718265106299,-0.4499277478321805,-0.3513239439983446,-0.08305327322917361,0.13919642290165185,0.0053984948993299
7639,-0.1501447168622392,-0.6431292907496757,-0.3675602031266436,-0.13296983955611616,0.6250652653059491,-0.1337477569977451,-0.009249383909816
7731,-0.11042179883183498,0.3726310622528187,-0.5895006398281537,0.3332591856802632,-0.4765903827328628,-0.09412451469195392,0.0179791639420916
7895,-0.7086948347994677,-0.7494882053850984,-0.8373194826744533,-0.7513990846417293,-0.38038404791559743,-0.6854571310832693,0.0027070779812084006
8185,0.27619052220668927,-0.3239095376232085,0.29228148114365493,-0.6183444090756846,-0.02979079608410351,-0.08071454788653047,-0.0074382039301495
8208,-0.7112493494021115,-0.41447253326886396,-0.8943750080502568,0.24895956409797296,-0.15869765806085478,-0.38596699693682285,0.0191571416184537
8467,-0.7152900940196807,-0.41122958466394594,-0.8780119410963514,0.015963856962358206,-0.20596893619204276,-0.4389073398019326,0.0161639076453774
8528,0.35953024937298494,-1.192091905800033,0.39876542723892544,-0.601698738044966,0.027232907502603765,-0.20165241194609695,-0.0106957681568864
8555,-0.3929390382727554,-0.7268275911056714,0.2484332560271448,-0.6501736757921871,0.6073257510369218,-0.18283625962130945,0.0033973546185805
8734,-0.10195099180146486,0.21313159869855516,-0.1566289201558471,-0.0005997102660446988,0.590971916852793,0.1089847786655983,0.0151252455904933
8988,0.45998571889673984,-0.4203617869656135,0.48904533507418035,0.284683595985733,-0.1533878152571001,0.13199300954678791,0.0428614500549803
8989,0.4599832225861853,-0.39880632415176315,0.4749214389987872,0.2507014144179722,-0.1533878152571001,0.1266823873188163,0.0418353149511181
9049,-0.24957435968633113,-0.22486736805405214,0.1726641225630305,0.49757102991006114,0.8553647761104302,0.21023164016862772,0.0329709264115956
9062,0.11169481540707862,-0.6845633655148171,0.760678572433781,-0.2128275860570974,0.43874562978974574,0.08274561321173816,0.0256743948552309
9063,0.30920820687033623,-0.6809645247088248,0.7569337794596922,-0.17483133383941343,0.43874562978974574,0.12981835151430718,0.023616281665645503
9242,0.0180640986516995,-0.260874624559104,-0.04001994583892135,0.6146565138397864,0.6841385349787019,0.20319291541443246,0.0278539936319685
9243,-0.0342450592815528,-0.2598909749204897,-0.04279860012998113,0.5595770427164998,0.6841385349787019,0.18135618867263562,0.0267336053243368
9707,0.3049581481476734,-0.3624144530147033,0.39772840808918986,0.5731125953272732,0.5624833959716544,0.2951736189042175,0.0380681713736838
9708,0.22832292555521363,-0.36370246522128896,0.3980672045436764,0.5354673234198439,0.5624833959716544,0.2721276768538199,0.0370220395263921
9808,-0.10492892809212243,0.25865732482044634,0.23718786333317593,-0.626882939398961,0.7570741265331938,0.10422148943914653,0.0197974039453076
9855,0.46054316882319263,-0.5857534284465763,0.5647583927111799,-0.11560469601369965,0.23965390796094194,0.11271946900700769,0.048877750818615805
