fund_code,report_date,rc_mom,lead2,fut4q
16262,2026-01-01,,1.2331576966503577,
16262,2026-04-01,,,
16262,2026-07-01,,,
16263,2022-10-01,,0.0130187144019513,-0.3692147683431122
16263,2023-01-01,,-0.0281124497991964,-0.22829335912901927
16263,2023-04-01,,-0.1867768595041326,-0.2475751215476721
16263,2023-07-01,,-0.0264227642276416,-0.1690425036812493
16263,2023-10-01,,-0.0062630480167015,0.1037343558228831
16263,2024-01-01,0.0705882352941176,0.0504201680672264,0.1283154994243735
16263,2024-04-01,,0.0859999999999998,0.1142833444890458
16263,2024-07-01,0.1526315789473684,-0.0018416206261512,0.060096698079069394
16263,2024-10-01,,-0.0202952029520292,0.5809019910847409
16263,2025-01-01,-0.0153846153846153,-0.00376647834275,0.5974494940638336
16263,2025-04-01,,0.6068052930056713,0.6241215086100659
16263,2025-07-01,0.0285714285714285,0.0147058823529415,1.6578419040035062
16263,2025-10-01,,0.0063768115942031,
16263,2026-01-01,-0.2823529411764706,1.0299539170506904,
16263,2026-04-01,,,
16263,2026-07-01,,,
16370,2022-10-01,,-0.0963675213675216,-0.45670753392648883
16370,2023-01-01,,-0.1315913927642471,-0.46985730285816263
16370,2023-04-01,,-0.1671885636487404,-0.4687194634694394
16370,2023-07-01,,-0.0747098250776535,-0.24183418279267588
16370,2023-10-01,,-0.0952296819787984,-0.014563608090272483
16370,2024-01-01,,0.0952938879125164,0.2818078382453688
16370,2024-04-01,,0.060082011053663,0.3588657140567655
16370,2024-07-01,,0.2216616212579878,0.42846245990756904
16370,2024-10-01,,-0.0181718061674017,1.2070901262732598
16370,2025-01-01,-0.0636363636363636,0.16489063376332,1.141359376971283
16370,2025-04-01,,0.8387096774193536,1.2579001943517336
16370,2025-07-01,-0.1032967032967033,0.155930871956011,1.9914369903383486
16370,2025-10-01,,0.0983690112130488,
16370,2026-01-01,0.4529411764705882,0.8984274297499353,
16370,2026-04-01,,,
16370,2026-07-01,-0.7575757575757575,,
16371,2022-10-01,,-0.0977620730270909,-0.462046684457936
16371,2023-01-01,,-0.1329219083788271,-0.4752402066228836
16371,2023-04-01,,-0.1683547768957026,-0.47403968713222594
16371,2023-07-01,,-0.076201448321263,-0.24744789115726357
16371,2023-10-01,,-0.0965615535364332,-0.020672631030404884
16371,2024-01-01,,0.0936698875961352,0.27529031643907054
16371,2024-04-01,,0.0584204832311561,0.35229879734980546
16371,2024-07-01,-0.1636363636363636,0.2197614991482124,0.42173432285908324
16371,2024-10-01,0.2484848484848484,-0.0195530726256983,1.1995661360149446
16371,2025-01-01,-0.39010989010989,0.163105413105413,1.1339432348791367
16371,2025-04-01,,0.8362522963870174,1.2502369455076103
16371,2025-07-01,-0.1032967032967033,0.1541385980124048,1.9828002013873378
16371,2025-10-01,,0.0967406380027751,
16371,2026-01-01,0.4529411764705882,0.8956686689851405,
16371,2026-04-01,,,
16371,2026-07-01,-0.7575757575757575,,
16461,2022-10-01,,0.0931239848402825,0.02663473965979829
16461,2023-01-01,,-0.0044576523031204,-0.023638039641678397
16461,2023-04-01,,-0.0985074626865669,-0.07814982526539581
16461,2023-07-01,0.2428571428571428,-0.0137969094922736,-0.06614906951400011
16461,2023-10-01,,0.0386121992165651,0.2147113343490371
16461,2024-01-01,0.0107142857142857,0.0075431034482753,0.1878026807476882
16461,2024-04-01,0.406060606060606,0.1823529411764703,0.0959137252840696
16461,2024-07-01,0.6923076923076924,-0.0407055630936225,0.2706415381704548
16461,2024-10-01,0.4181818181818181,-0.0532767562470535,0.9004200207513561
16461,2025-01-01,-0.2263736263736263,0.1822709163346605,1.0059791403303349
16461,2025-04-01,,0.8121314237573716,1.079338847898061
16461,2025-07-01,-0.1428571428571428,0.0648535564853562,1.2666378010262713
16461,2025-10-01,-0.3039527718400323,0.0200829513206726,
16461,2026-01-01,0.1321428571428571,0.369569869462871,
16461,2026-04-01,0.2363636363636363,,
16461,2026-07-01,,,
16500,2022-10-01,,0.170264020042397,0.0864813734959161
16500,2023-01-01,,-0.0108686702346649,0.0345447477475047
16500,2023-04-01,,-0.1132106884208773,-0.2259462644119022
16500,2023-07-01,,-0.0116399136393501,-0.199105154465367
16500,2023-10-01,,-0.0902269921170099,0.03771835762998521
16500,2024-01-01,0.1735294117647058,0.0159724397118703,0.1984209141591385
16500,2024-04-01,,0.1236128236744749,0.31085244268681367
16500,2024-07-01,-0.3617647058823529,0.1490626428898032,0.3279693832303154
16500,2024-10-01,,0.0222045364106653,0.7080870592167028
16500,2025-01-01,0.8065934065934066,0.033089380255372,0.5686470294677805
16500,2025-04-01,-0.6090909090909091,0.5037304996608623,0.5543352704212258
16500,2025-07-01,0.6713471466826939,0.0096226131408809,1.705101288116997
16500,2025-10-01,0.009090909090909,0.0078927773641106,
16500,2026-01-01,-0.1506131906927444,1.183855397951143,
16500,2026-04-01,0.3818181818181818,,
16500,2026-07-01,,,
16501,2022-10-01,,0.1689814814814805,0.08226179283469842
16501,2023-01-01,,-0.0119636963696373,0.030231320726827816
16501,2023-04-01,,-0.1141544885177452,-0.22983284167884618
16501,2023-07-01,0.4125874125874127,-0.0126319758672702,-0.2029531789226546
16501,2023-10-01,-0.2097902097902098,-0.0910826809241935,0.0336397281419744
16501,2024-01-01,0.3828689370485036,0.0149159663865543,0.1927908372503683
16501,2024-04-01,0.1818181818181818,0.1224384185468838,0.3050251990495827
16501,2024-07-01,0.0340557275541795,0.1465191332411237,0.3222428075232318
16501,2024-10-01,-0.0699300699300699,0.0211516808750209,0.702055438194202
16501,2025-01-01,0.7890109890109891,0.0321335748602034,0.564019060070669
16501,2025-04-01,-0.6090909090909091,0.502251049217854,0.5497677519165101
16501,2025-07-01,0.6713471466826939,0.0084827551175907,1.699365956356993
16501,2025-10-01,0.009090909090909,0.006900372720862,
16501,2026-01-01,-0.1506131906927444,1.1817317793006863,
16501,2026-04-01,0.3818181818181818,,
16501,2026-07-01,,,
16579,2022-10-01,,0.2080592105263166,0.09632715325971408
16579,2023-01-01,,0.1647379169503053,0.09767943492769196
16579,2023-04-01,,-0.2331969608416129,-0.1429971184784973
16579,2023-07-01,,-0.041920731707317,-0.36365608806038124
16579,2023-10-01,,-0.0326173428798727,-0.00937898784594629
16579,2024-01-01,,-0.0559210526315786,-0.023402312082685506
16579,2024-04-01,,0.121080139372822,-0.023706779902401297
16579,2024-07-01,,-0.0559440559440562,-0.05118998258997231
16579,2024-10-01,,-0.0329218106995885,0.785947148232191
16579,2025-01-01,,-0.0834042553191496,0.9637499049823162
16579,2025-04-01,,0.9582172701949854,1.076553372486638
16579,2025-07-01,,0.1218587008060689,2.085593635633577
16579,2025-10-01,0.7212121212121211,0.0798816568047335,
16579,2026-01-01,0.2285714285714285,0.9256360078277894,
16579,2026-04-01,,,
16579,2026-07-01,-0.2727272727272727,,
16721,2025-01-01,,0.0142526407176963,0.5040050784101012
16721,2025-04-01,,0.4430415864184307,0.4303709207727262
16721,2025-07-01,,-0.012852199703411,1.7545305914979674
16721,2025-10-01,-0.3454545454545454,-0.0140711066599898,
16721,2026-01-01,0.1758241758241758,1.3384123114429376,
16721,2026-04-01,,,
16721,2026-07-01,,,
16772,2023-01-01,,-0.0639825218476901,-0.21023661416545739
16772,2023-04-01,,-0.0251194842725361,-0.1687991453688757
16772,2023-07-01,-0.1151515151515151,-0.0824307376581924,-0.139884777176701
16772,2023-10-01,0.1757575757575757,0.0027335984095429,0.007875005028286516
16772,2024-01-01,0.1151969981238274,-0.0350681536555154,0.017210341176526908
16772,2024-04-01,0.1151515151515151,0.1226402979324514,-0.0753665251584756
16772,2024-07-01,0.2261567133943765,-0.073095401509952,-0.1064678630283841
16772,2024-10-01,,-0.0898432679254596,0.33790214831751497
16772,2025-01-01,-0.0536736120525716,-0.0661694915254239,0.5803822792566735
16772,2025-04-01,,0.5670103092783505,0.7044569259460006
16772,2025-07-01,,0.1693847294292065,1.6278130555345562
16772,2025-10-01,,0.0342313787638675,
16772,2026-01-01,,0.8571866380631317,
16772,2026-04-01,,,
16772,2026-07-01,,,
16773,2023-01-01,,-0.0653465346534649,-0.21616331151141938
16773,2023-04-01,,-0.026650312221231,-0.17460478097325
16773,2023-07-01,-0.1151515151515151,-0.0838584030244008,-0.1457263367406669
16773,2023-10-01,0.1757575757575757,0.0012504689258467,0.0018572224021464884
16773,2024-01-01,0.1151969981238274,-0.0364680904208818,0.011131906647638204
16773,2024-04-01,0.1151515151515151,0.1209332469215824,-0.08120940321285729
16773,2024-07-01,0.2261567133943765,-0.0745837187789091,-0.11224200017168388
16773,2024-10-01,,-0.0910908409346488,0.33132423691086194
