fund_code,report_date,sharpe8_lag,ir8_lag,bull
10238,2026-01-01,0.41939441513728265,0.21733306513143882,1.0
10238,2026-04-01,0.5059389941408272,0.25596359048732054,0.0
10238,2026-07-01,0.5107541868177613,0.24988452781904255,0.0
10335,2021-01-01,,,1.0
10335,2021-04-01,,,0.0
10335,2021-07-01,,,0.0
10335,2021-10-01,,,1.0
10335,2022-01-01,0.32072428847452034,-0.05970840465207548,1.0
10335,2022-04-01,0.4652937239302336,-0.2265636722155809,0.0
10335,2022-07-01,-0.27720692958646237,-0.07578896435081142,1.0
10335,2022-10-01,-0.12840488338897948,-0.1835854339229417,0.0
10335,2023-01-01,-0.27709652441005234,-0.09785705952821853,1.0
10335,2023-04-01,-0.41679341861673663,-0.09057371421239332,0.0
10335,2023-07-01,-0.5736767729473419,-0.5576432779957171,1.0
10335,2023-10-01,-0.5964564888656062,-0.15628024751569614,0.0
10335,2024-01-01,-0.7411189713271413,-0.2930890961478835,0.0
10335,2024-04-01,-0.8137041447292326,-0.10841659748118067,1.0
10335,2024-07-01,-0.7216970091536073,-0.28563698586174,0.0
10335,2024-10-01,-0.919412633847553,-0.19515479032648578,1.0
10335,2025-01-01,-0.47888092399992116,-0.28124467478998116,1.0
10335,2025-04-01,-0.24716832376391215,-0.08385991095817652,0.0
10335,2025-07-01,-0.05322662905511331,0.062055089751450104,1.0
10335,2025-10-01,-0.13899636697238898,-0.38217703113901635,1.0
10335,2026-01-01,0.41545094468266086,0.27246513681956436,1.0
10335,2026-04-01,0.40992753534508336,0.18109683018320394,0.0
10335,2026-07-01,0.4818448935631126,0.23006623684262986,0.0
10389,2021-01-01,,,1.0
10389,2021-04-01,,,0.0
10389,2021-07-01,,,0.0
10389,2021-10-01,,,1.0
10389,2022-01-01,0.18157705384364714,-0.19703934496288047,1.0
10389,2022-04-01,0.4786377269631565,0.05788800078887702,0.0
10389,2022-07-01,-0.03173717953573957,0.17075449861786202,1.0
10389,2022-10-01,0.01539650879060539,-0.1303831815780567,0.0
10389,2023-01-01,-0.07943139627918297,0.03749385405544122,1.0
10389,2023-04-01,-0.06418279080269147,0.26104260108192284,0.0
10389,2023-07-01,0.07841336427978238,0.24510028915522894,1.0
10389,2023-10-01,-0.1026785916942865,0.2608094431032859,0.0
10389,2024-01-01,-0.11385167732256454,0.25197401613883236,0.0
