fund_code,alpha_2nd,sharpe_1st,ir_1st,log_aum,mgr_total_tenure_v2,log_fund_age
2376,-0.003987689345952369,0.15193170505060372,-4.5214788558112874e-14,0.7519194897084309,1171.8048780487804,1.353374255031329
2420,0.0382762319965551,0.5556492245747646,-2.9236139426760665e-14,2.291864557841392,580.2682926829268,1.291560991713201
2450,0.00814720288367517,0.4174261857289044,-3.289483116446592e-14,0.17864372645568025,1730.55,1.3751069705853003
2451,0.02470019230949335,0.3962179975649036,-3.2682544050450604e-14,0.2824091595783833,1730.55,1.3751069705853003
2692,0.043220225285333036,-0.002443823162223822,-2.117351263721339e-14,3.701860364875533,2082.8,1.8779320312697112
2910,0.0312837404854018,0.43063713777112417,-6.519868803725038e-14,2.4244407675157804,1052.972972972973,1.2648976765167939
3567,0.002456271637303224,0.49358438027439117,-1.4980756196016703e-14,3.385545277730663,1031.36,1.770319785930356
3857,0.024195903074323198,0.4280923319830336,-1.7563846822249416e-13,-0.10189405300781676,854.4594594594595,1.2648976765167939
3858,0.023917153960097005,0.42379788592222295,-1.7578121932485794e-13,-1.1123503093034186,854.4594594594595,1.2648976765167939
3961,0.0005352022803443296,0.543759910690757,-1.3715694773276057e-13,1.6534951013259807,852.8947368421053,1.2018658850864938
3962,3.770081024562222e-05,0.5388008601887532,-1.4106239721292497e-13,0.1852126759137778,852.8947368421053,1.2018658850864938
4148,0.03259708031823611,0.22979367397383327,-2.3361990914028057e-14,1.4887734601595892,816.2,1.743951341918037
4232,-0.004686549358896401,0.2634506880075486,-7.863405628524784e-15,1.5578868206920067,743.8,1.781526907588776
4320,0.036313367159169094,0.2172876494467246,-8.692936641953629e-14,-0.021853640780140206,559.3888888888889,1.2144853017155546
4374,0.017504736106787225,0.19605529444257017,-1.7981439215512535e-14,1.6302346797075802,2199.72,1.7464722469117486
4375,0.01702369718148181,0.19210125315492635,-1.804531234414126e-14,0.6350178140648485,2199.72,1.7464722469117486
5001,0.001454078174148969,0.3754921712766601,-5.2656186502680273e-14,2.922066142678606,1905.72,1.5844846668426265
5094,0.03180127495276755,0.48093842031186756,-1.1073060428225287e-14,2.7288448969101586,1928.72,1.5983006175532748
5119,0.002056816332438115,0.3629563482892164,-2.312152972782801e-15,0.5603565430707833,1312.8285714285714,1.05060804027712
5136,-0.00764962923791327,0.30967378301202925,-1.5624664404769523e-14,2.285494088494704,998.4,1.6304670961427394
5207,0.016203573982327895,0.30118997117756313,-2.5939114631295308e-14,0.4632378546321912,1149.72,1.609548605049551
5449,-0.024412812675849046,0.13296215916883175,-3.368369007941482e-14,2.02141876080089,820.32,1.551140213652882
5550,0.03935557364056005,0.2620592256107829,-8.030492218591436e-15,-0.906242850065543,519.9090909090909,1.1233124212450372
5551,0.037252798925059984,0.24419121719551096,-7.531168179799662e-15,-0.8997531330326485,519.9090909090909,1.1233124212450372
5729,0.040965278411726105,0.25213725329666054,-3.054712552287469e-14,1.1475531159914754,1632.72,1.4002483659167333
5765,-0.0008627439975187201,0.30627153203685425,-1.9036019043676755e-14,2.030199056271198,840.32,1.5467201744023233
5774,0.012543788948016743,0.31389588005483826,-2.792580503313467e-14,1.9505936293090398,959.84,1.4365275641256587
5775,0.05294337338422017,0.915327178134799,-1.985911688013995e-14,-0.2221560636135032,628.6129032258065,1.0163345546262268
5776,0.05083775925990733,0.8851624835737975,-1.958351212866652e-14,-0.911163847543556,628.6129032258065,1.0163345546262268
5787,0.007941335212951279,0.26967101633423834,-6.821708446857585e-14,1.059719760931346,1837.72,1.5422768477052993
5819,0.03169270690115094,0.24970814701833763,-2.18195332138907e-14,0.9844132819062784,1780.72,1.5051908650384238
5844,0.031261615233723984,-0.18578484670864293,-2.0890345090184675e-14,0.428598130636284,1076.52,1.4910996347316834
5875,-0.014765846722808834,0.2031301624658385,-5.258954704855008e-14,3.8577592780861876,1336.88,1.472620427394794
5903,0.03501016727712557,0.2549758569992674,-2.165750905736626e-14,-0.0633844261956569,647.5,1.0280830396245673
5914,0.06038426945204225,0.2690019108533329,-3.1103765799455767e-14,0.4509696066269953,955.0,1.3111966578030942
5939,0.006858713289037641,0.36395469980573597,-1.660907356807662e-14,2.9635065686060513,421.96,1.3748373951996091
5940,0.005710280878391173,0.36037565335958444,-1.668602376717427e-14,2.929907439119159,421.96,1.3748373951996091
6025,0.06609935506073603,-0.017746377837992256,-1.1075885555758217e-14,0.24043401673917977,664.52,1.416742534985069
6154,-0.03749508401337423,0.34449058797749604,-1.739048647499597e-14,1.5197079725985605,1455.44,1.3420538133360762
6250,0.006546996882053501,0.3518499818456455,-2.0492568987320318e-14,1.7823753788259384,591.56,1.3128977051757587
6271,-0.030735156071184665,0.21102568831838198,-3.2183605867562903e-14,-2.6853313814943123,861.36,1.3162881115202867
6281,0.07588240491111135,0.23533169608211646,-1.6913850956415452e-14,1.5482343949866881,1071.72,1.3162881115202867
6314,-0.025418986324872314,0.3757079894941519,-2.2510429619406056e-14,1.908156440033001,1142.0,1.2234700835018624
6315,-0.02590978138043849,0.3689073063450054,-2.27212745691268e-14,0.40943950593824885,1142.0,1.2234700835018624
6522,0.0291198498004998,0.16517128714126686,-1.2529533038399281e-14,-1.260519122580064,685.32,1.2869585971701634
6523,0.02702074593775178,0.15028781355762408,-1.2688329465134909e-14,-2.590292876553788,685.32,1.2869585971701634
6533,0.06855000020121248,0.45688988389725954,-1.7358250547651696e-14,2.845299051598283,1047.24,1.2637013465396212
6615,0.020734649560430935,0.34252247298266836,-1.730517217796569e-14,1.6218715878116443,681.72,1.236826415381125
6616,0.019802487492770388,0.3362825756774374,-1.7361894972293458e-14,0.3823544039359435,681.72,1.236826415381125
6769,-0.042853348852974524,0.2430370287153658,-2.2425030718268773e-14,1.4851755753650173,619.52,1.1215140553046508
6887,-0.0010581838136109615,-0.06443299817372974,-2.1275460883797253e-14,0.1158979180744798,606.92,1.2618805400660618
6888,-0.0012373540650125242,-0.06443342273783505,-2.1080605001553023e-14,1.7403055137148618,606.92,1.2618805400660618
6904,0.03199805580193184,0.2748077816054512,-3.191158829176304e-14,1.4334103273933965,1415.72,1.2147437315088865
6905,0.030511943938017764,0.26448127950662625,-3.2116947892177204e-14,0.8288876703156143,1415.72,1.2147437315088865
6969,0.0008904005114102767,0.3002280113406582,-2.3789896690560464e-14,0.054624795965149534,769.4,1.2554705288132062
6976,0.001849829748541646,0.30251908687314355,-4.266860031602596e-14,0.8948170948806202,746.92,1.2563898191927978
7049,0.04302194692688318,0.22731640997711963,-2.2209609304023836e-14,-0.8653276053344137,385.96,1.2948374539011436
7113,0.027675198905110953,-0.026618759025032974,-2.069739776018835e-14,0.8989677425751538,416.04,1.0243204048426715
7114,0.027222292191369374,-0.031222044824043952,-2.074524979965192e-14,-0.8282680782975536,416.04,1.0243204048426715
7305,-0.00430328268197404,0.35469831053558426,-3.482475912180822e-14,0.413840208149787,1191.4074074074074,0.7736176637148741
7340,0.001770558345470835,0.3050669982525108,-1.9134406234686998e-14,2.773206550150633,1237.72,1.225394150307189
7341,-0.0004950223404783469,0.2916093856923335,-1.909827442230128e-14,0.40198006374533757,1237.72,1.225394150307189
7343,0.04837994198025715,0.2975359854421963,-3.067019967155431e-14,2.751768100779833,1319.88,1.2244327954390704
7346,0.04747337672486729,0.3682823335330289,-1.8941732601865132e-14,2.74850743226014,737.4,1.2320860688775688
7349,-0.018769995020094736,0.21562692113437706,-3.338066314917047e-14,2.337875190276133,906.2,1.225394150307189
7350,-6.326667320655927e-05,-0.15204001929643418,1.383261549286211e-14,-0.12051962979287754,976.9545454545455,1.3748863341434516
7353,0.015971235958568756,-0.24349021393441056,-1.4352899355930985e-14,2.179280434527486,895.2,1.225394150307189
7449,0.01191159421388013,0.4423451731152905,-4.019992511438738e-14,3.279182038518392,808.32,1.1888769197568754
7450,0.010552581770759198,0.42855228396280676,-4.0217862341302896e-14,1.532160173384161,808.32,1.1888769197568754
7490,0.03137031853886728,0.03913124540421685,-2.3784452131631505e-14,3.317889516704235,1382.72,1.1817359596244976
7491,0.02931683888603063,0.026927712659133664,-2.3724765608401503e-14,2.065688182029994,1382.72,1.1817359596244976
7639,-0.013584665710273305,0.14601034951447173,-3.805570995795187e-14,1.9800456919841949,1049.0740740740741,0.878000424048249
7731,0.03971684526017903,0.21567337022487304,-2.5014731795597186e-14,1.7497839523264493,586.6,1.0732353298811748
7895,0.003747748151868166,0.07093095346661246,-2.653386278048578e-14,2.060558607402508,835.32,1.090184877147608
8185,0.035796553648028945,0.11636653176646253,-1.6663564383952585e-14,0.6694798087848429,630.625,0.8232744107029347
8208,-0.014648767683952908,0.3433757882045612,-2.751537318241651e-14,2.183871748990521,1199.72,0.9543981393083061
8467,-0.015101543637763304,0.31061168453432947,-2.6184873494190035e-14,1.9454601301165528,1188.72,0.9365803706141722
8528,-0.03570325582531506,0.07671128425375788,-1.536101685664955e-14,1.7746312879838333,611.8,0.7524508411136288
8555,0.016957699939893413,-0.01088576693586731,-5.947062416386676e-14,0.6903245276305595,403.3333333333333,0.7929934682968843
8734,0.010278587364091714,0.23156049379747506,-3.499776711229021e-14,1.41367675317871,735.28,0.899873185617626
8988,0.08449396453914076,0.1765493563851026,-4.4893736949281584e-14,0.6627388078152013,784.4583333333334,0.8442698932626619
8989,0.0833960189315702,0.16973959802933464,-4.5133183495102604e-14,0.5922829266964666,784.4583333333334,0.8442698932626619
9049,0.033324338650959254,0.4162715991929913,-2.6556857195724873e-14,3.827414479020782,1111.72,0.7608950102670655
9062,0.07561982144785906,0.23392914469797702,1.4943638778745113e-15,0.8688347382279421,522.5,0.8928405344991807
9063,0.07343102874652907,0.21444310521508414,1.4897481524739243e-15,0.40830365504224453,522.5,0.8928405344991807
9242,0.05525614551288134,0.33556590684941034,7.632955529905713e-14,-0.3535871501792353,482.0,0.8189363428140553
9243,0.054202670293129404,0.32108163055628874,7.61403316838899e-14,-1.6781098762147006,482.0,0.8189363428140553
9707,0.08668073375745064,0.26197046099683313,9.696240812166441e-14,1.8316399627464504,614.4782608695652,0.7546667177321205
9708,0.08556846575213398,0.25430076393741063,9.698001918907865e-14,1.4870380550214382,614.4782608695652,0.7546667177321205
9808,0.02921223889957448,0.019111626950630626,1.3370089304271396e-13,3.4976580721139983,542.9565217391304,0.8149446867576318
9855,0.03978986216217866,0.16901815629600944,7.635217562598906e-14,-1.5782397055556516,685.8260869565217,0.6630091876117207
9856,0.03873624983826264,0.16142325819442982,7.645039838973829e-14,-1.3209616593305968,685.8260869565217,0.6630091876117207
9913,0.025419365065932557,0.2466609948521493,9.876391924473579e-14,1.1969831507197521,271.95652173913044,0.6956638168372392
9993,0.03127019505788089,-0.053299629147496745,1.4276121223820888e-13,2.8481075197067374,386.7391304347826,0.6763749015159747
10115,-0.044785216449631154,0.10357457631764351,7.205451281048961e-16,3.118789815978291,940.2857142857143,0.6194822769884466
10237,0.02237437466710629,-0.29930459450171265,7.75337829733546e-15,-0.676736152504964,929.0454545454545,0.7588910008384727
10238,0.02096362783897065,-0.31023654155707436,8.118177270455582e-15,0.002764353056253398,929.0454545454545,0.7588910008384727
10335,0.016010897716602905,-0.4113047461442283,5.294867672712046e-15,1.1078966992549757,351.90909090909093,0.6549272867227365
10389,0.002960696543251432,-0.014494678555400079,1.6744632310224482e-14,1.91001281990632,432.59090909090907,0.7523089346639934
