fund_code,year,quarter,anchor_high,cgo
481006,2010,1,0.7861354867370787,0.3202444001202519
481006,2010,2,0.6406245828940338,-0.05810924088685557
481006,2010,3,0.7998781912909143,0.10637891127850185
481006,2010,4,0.8459555470048215,0.2124153148004945
481006,2011,1,0.9452448077013386,0.26140552759082475
481006,2011,2,0.8869640153490322,0.06879038783891418
481006,2011,3,0.6423239208056969,-0.1698508942527183
481006,2011,4,0.7075624797152358,-0.03322369636693467
481006,2012,1,0.6426484907504894,-0.08166814826258123
481006,2012,2,0.48725050003995424,-0.2630862317115059
481006,2012,3,0.4374155195555838,-0.28743186267638177
481006,2012,4,0.260629665693384,-0.3662194159428196
481006,2013,1,,
481006,2013,2,0.8123118099698902,-0.023657931774009402
481006,2013,3,,
481006,2013,4,0.6951918679738774,-0.18225078944871254
481006,2014,1,0.7630320636624265,0.15085012653202615
481006,2014,2,0.680413231680163,0.00544904013849909
481006,2014,3,0.9147905336211177,0.4494625314898729
481006,2014,4,0.8937452041819182,0.40370587206183095
481006,2015,1,1.0,0.44843430905375675
481006,2015,2,0.7620002497456047,0.9759926778363981
481006,2015,3,0.43677204658862784,-0.2586927104787687
481006,2015,4,0.8411726448803534,0.44294394861047265
481006,2016,1,0.8939936521694739,0.16871472380343633
481006,2016,2,1.078508988872648,0.07103515789933981
481006,2016,3,0.9089429536796368,0.050291371162927735
481006,2016,4,0.9037049527588498,0.0657026735345591
481006,2017,1,0.935978790663511,0.12904541469025343
481006,2017,2,0.9477634176207421,0.1485351504588813
481006,2017,3,0.9782843904353613,0.1632639416494147
481006,2017,4,0.9752005142351706,0.2603235972764387
481006,2018,1,0.854623157403608,0.09309019965987876
481006,2018,2,0.8366040589910445,0.040972243607259845
481006,2018,3,0.8798552058393209,0.04632589178585803
481006,2018,4,0.7752193427761259,-0.048034489793808165
481006,2019,1,0.8882084329599895,0.2208194056455648
481006,2019,2,0.8984074675141465,0.19336897653391052
481006,2019,3,0.934580792596836,0.1974169880582932
481006,2019,4,0.9560619339062073,0.19571754511743833
481006,2020,1,0.8313365125661304,0.07924398585080626
481006,2020,2,0.960004652850789,0.4502869683859392
481006,2020,3,0.917403526474928,0.3641962404784015
481006,2020,4,0.9697675940783168,0.5142413806724049
481006,2021,1,0.8514537419560358,0.17463462182542575
481006,2021,2,0.9494597012118692,0.35561436107433303
481006,2021,3,0.8848895836455469,0.2951745928148087
481006,2021,4,0.8817107227596157,0.3084731853520843
481006,2022,1,0.801475968680562,0.1314490134571075
481006,2022,2,0.859373581302404,0.16970687037274004
481006,2022,3,0.804007555225373,0.11851832169416414
481006,2022,4,0.6947190219748247,0.04929198615022007
481006,2023,1,0.752687335755208,0.22449140383702101
481006,2023,2,0.8100679200391073,0.1956175329177896
481006,2023,3,0.8334753536423889,0.08318378865822368
481006,2023,4,0.8393600784740519,0.04809264891372919
481006,2024,1,0.9639263595903268,0.13851419711735052
481006,2024,2,0.9137384180982118,0.19603711987906944
481006,2024,3,0.9537947761499427,0.18772467512968705
481006,2024,4,0.9198959142718114,0.16632435174862206
481006,2025,1,0.9536242633833505,0.1132339929913427
481006,2025,2,0.9111975834879478,0.10708128764157934
481006,2025,3,0.9708479755996112,0.4044798837352145
481006,2025,4,0.9330081040691212,0.23162235268772524
481006,2026,1,0.8384477300819372,0.09131326738254776
481006,2026,2,0.9832606138451696,0.7646107361896987
481008,2018,2,0.8314108946136957,0.025953658619233398
481008,2018,4,0.7417196817938412,-0.07045326654445212
481008,2019,2,0.9075884378683823,0.17409415925879296
481008,2019,4,0.9274774911670477,0.17603440235917842
481008,2020,1,0.8778083831003325,0.10132301021101645
481008,2020,2,0.9263917676030533,0.33888131291822865
481008,2020,3,0.8936974163577822,0.3060962776187062
481008,2020,4,0.9343953104319094,0.34685034329353776
481008,2021,1,0.8833850330331025,0.13109748037142263
481008,2021,2,0.8848040658147692,0.143304102783712
481008,2021,3,0.7972826712259099,0.05242082229928832
481008,2021,4,0.8114606165421426,0.09346548956326431
481008,2022,1,0.8451702225239914,0.07778037843298481
481008,2022,2,0.7787612051470504,0.03875757901458093
481008,2022,3,0.7626684286592248,0.033775871850531096
