spec,var,beta,se,t,n,r2,r2_adj
M4_idio_substitute,ff5_SMB,-0.005894222631944243,2.476167689818391,-0.00238038104453925,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,ff5_HML,-0.02948631930868491,2.9831358852819903,-0.009884336631851964,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,ff5_RMW,0.026408466965341586,11.961620942866347,0.002207766580422449,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,ff5_CMA,0.0621704135512039,14.080406484736804,0.004415384855444108,1502,0.07384054970081666,0.06259923472752915
M4_idio_substitute,idio_vol_annual,0.06514950961366242,0.3953425744332578,0.16479254658332032,1502,0.07384054970081666,0.06259923472752915
M4_tm_substitute,_const,0.025172833426876748,0.2284649816303014,0.11018245880504807,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,log_aum,-1.2360557558033497e-05,0.004433700250117536,-0.0027878649572004384,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,log_fund_age,-0.004092772543477748,0.010767609460674715,-0.3801003888955394,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,mgr_total_tenure_v2,1.9752576578310672e-06,2.2883091687047094e-06,0.8631952731060183,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,AS_improved,-1.078681052581616e-05,0.07304063357804373,-0.0001476823241722086,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,ICI,0.016319483931617838,0.011842897437594277,1.377997573449637,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,industry_hhi,0.006811151950075793,0.5305676983529111,0.012837479498318996,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,TO_wind,1.6032826871089525e-09,1.254955881803123e-08,0.12775609966506177,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,ARG,-0.006443773920513599,0.034285274036939685,-0.18794581935004923,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,return_volatility,-0.04085650617194258,0.6996575252695697,-0.05839500712323655,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,de,-0.004138911409675358,0.1236119641818838,-0.03348309718293389,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,lsv,0.026756821200492574,1.2761857010320836,0.02096624431605342,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,risk_asym,0.0350378172455963,0.5293684883078745,0.06618795417459514,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,ff5_MKT_excess,0.012669366597391938,4.512945622354652,0.0028073386336930056,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,ff5_SMB,0.012107093444930113,2.7068064246128767,0.004472833127201422,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,ff5_HML,-0.007340188534428936,2.8805233046131087,-0.002548213556430441,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,ff5_RMW,0.02990099113064404,12.24880246525116,0.0024411358755658504,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,ff5_CMA,0.04704889355454797,14.148085179341557,0.0033254601564914805,1502,0.057671795645396595,0.04623423146577221
M4_tm_substitute,TM_beta2,-3.255753141444581e-05,0.0046238572523819264,-0.007041205996935604,1502,0.057671795645396595,0.04623423146577221
M4_daily_full,_const,0.020658827867336884,0.051032415382565484,0.4048177557826253,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,log_aum,-7.314037899482183e-05,0.00821958356405288,-0.008898307125277045,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,log_fund_age,-0.0042545393451260596,0.01114015944523308,-0.3819100943789987,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,mgr_total_tenure_v2,2.450506528799408e-06,4.183693160252673e-06,0.5857280720490052,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,AS_improved,-0.01660965528891335,0.17901555787911141,-0.09278330601930024,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,ICI,0.011797398118364406,0.014617767314948625,0.8070588253446876,1502,0.08437982442734349,0.07326643052288773
M4_daily_full,industry_hhi,-0.005757700785272363,0.498087885235199,-0.011559608165441637,1502,0.08437982442734349,0.07326643052288773
