组别,代码,基金简称,近3年收益,季度数,sharpe8,sortino8,mppm8,risk_asym,timing,年化收益,年化波动
绩优,001480,财通成长优选混合A,406.22,30,0.2630641308272691,0.5279279759424476,0.07681647285924363,0.05412308123323387,1.4968550095092237,0.48790996281741245,0.6195688999466012
绩优,006502,财通集成电路产业股票A,415.67,30,0.20706844526924556,0.3186493311061757,0.07831432483446014,-0.008327809522443603,-0.0500068254172088,0.42838920406055114,0.5999944544820197
绩优,001412,德邦鑫星价值灵活配置混合A,416.55,30,0.31524786942616856,3.587466399328852,0.09384141620962794,0.059001580246794874,-0.33678701976531716,0.3239978231733308,0.42830593206714124
绩差,006926,长城量化精选股票A,-48.07,28,-0.016870561496293856,0.001337312490929837,-0.10686210569224229,-0.003903893392149253,0.12185058803078341,-0.015927072072890475,0.22551212353753006
绩差,008840,德邦大消费混合A,-47.75,24,-0.141243092435849,-0.3191279575951685,-0.11518981109080433,0.012895197872297282,0.99129229647556,-0.05648937627945164,0.21003095545097017
绩差,004634,前海联合泳涛混合A,-46.21,30,-0.02020120078916802,0.14912485571542053,-0.04933739948225003,0.007632993330129336,0.6700314601411261,0.0696605603170329,0.2529744035353135
绩差,006235,东方城镇消费主题混合A,-46.1,28,-0.15730829931905968,-0.21463110521864937,-0.15648264611263407,-0.012702308224079976,1.340698945269769,-0.041175857171356064,0.27132663890023134
绩差,001978,泰信互联网+主题混合A,-44.84,30,0.08212781565983258,0.3310619519522383,-0.0013128542636732436,-0.009856589894877584,0.4093200223487825,0.0694615514185001,0.2443469978230296
绩差,350008,天治新消费混合,-43.95,30,-0.3079295866298372,1.4660746805310185,-0.15215734700518066,0.011929224276627575,0.030965721525313794,-0.04808539854649754,0.22126202168467893
绩差,008050,同泰慧择混合A,-41.64,26,-0.22738747625026706,-0.2794742802915245,-0.17783652694878818,-0.03190223977625161,-0.4495683588346324,-0.08746518911916532,0.2193662315719298
绩差,002303,金鹰智慧生活混合A,-41.32,30,-0.10914234118668195,-0.30522301463198204,-0.24118749582793694,-0.018161197614715383,1.3308442107607357,-0.017962752530037356,0.33352779358441126
绩差,004805,长信消费精选量化股票A,-40.52,30,-0.02186671389128303,0.8050708121512021,-0.09469762604539614,0.015892928388587312,0.6846931295062243,0.025945711573181804,0.2685175947644785
绩差,007084,天治转型升级混合,-40.06,28,-0.5498090723821543,-0.771547765529863,-0.1517915765073749,-0.007740164667562477,0.11697901977005287,-0.051773852544614654,0.2311230302448369
绩差,580003,东吴行业轮动混合A,-39.32,30,-0.040828914589926095,-0.15167127552332785,-0.07303281603218184,-0.009364894839900648,0.1670433003687738,0.06182332737571102,0.25527450351905867
绩差,006877,天治量化核心精选混合A,-39.27,28,-0.5438002230923105,-0.5578831115738841,-0.18637453998186443,-0.03146898587639579,0.21641782403118437,-0.09074765606859467,0.1652472992429479
绩差,006882,华泰保兴健康消费A,-38.89,28,-0.25888206309505135,-0.5288241662666971,-0.08008673176987838,-0.001945140455825872,1.2081734035366678,-0.028209821435261184,0.17374859257806913
绩差,008234,光大消费主题股票A,-38.73,24,-0.18286207002648,-0.4033940652477181,-0.1254984538229099,0.005109442671726722,0.47223733671787826,-0.02984558029804324,0.24398510222241548
绩差,003684,汇安丰融混合A,-38.3,30,0.11012740784279447,0.006532045557246435,-0.029736739117159655,0.004667019521872869,-0.5614834045813129,-0.009019851569658854,0.2021041975803976
