fund_code,report_date,rc_mom,n_stk
501054,2019-01-01,0.4538123167155425,32
501054,2019-07-01,0.42704354469060346,34
501054,2020-01-01,-0.13251427339749908,19
501054,2020-04-01,0.5272727272727272,10
501054,2020-07-01,0.1894736842105263,20
501054,2021-01-01,0.1623076923076923,25
501054,2021-07-01,0.14285714285714285,28
501054,2022-01-01,0.17036874931611773,38
501054,2022-04-01,0.39090909090909093,11
501054,2022-07-01,-0.12647577732248336,48
501054,2022-10-01,-0.0303030303030303,10
501054,2023-01-01,0.23889789381522022,42
501054,2023-04-01,0.18181818181818182,11
501054,2023-07-01,-0.04687941446470389,22
501054,2023-10-01,0.03214285714285714,15
501054,2024-01-01,-0.4001094690749863,28
501054,2024-04-01,0.0,11
501054,2024-07-01,0.2374384236453201,29
501054,2024-10-01,0.2418340030832325,64
501054,2025-01-01,0.1630541871921182,29
501054,2025-07-01,0.35539215686274517,17
501054,2025-10-01,0.7818181818181819,11
501054,2026-01-01,0.3913043478260869,24
501054,2026-04-01,0.03636363636363637,11
501054,2026-07-01,-0.03636363636363637,11
501079,2021-01-01,0.4727272727272727,11
501079,2021-10-01,0.7575757575757575,10
501079,2022-01-01,-0.22832752494304434,19
501079,2022-07-01,0.41540617014995074,13
501079,2022-10-01,-0.2727272727272727,10
501079,2023-01-01,-0.04019299273924568,24
501079,2023-07-01,-0.027972027972027972,12
501079,2024-01-01,0.19504643962848298,18
501079,2024-04-01,0.32121212121212117,10
501079,2024-07-01,-0.3142857142857143,15
501079,2024-10-01,0.43030303030303024,10
501079,2025-01-01,0.04195804195804196,12
501079,2025-07-01,-0.2088235294117647,16
501079,2026-01-01,-0.09787089204293828,44
501082,2021-01-01,0.27941176470588236,16
501082,2021-07-01,0.31428571428571433,21
501082,2022-01-01,-0.33241414004251557,33
501082,2022-04-01,0.8267515394048879,10
501082,2022-07-01,0.17588932806324112,23
501082,2023-01-01,-0.0931451612903226,31
501082,2023-07-01,-0.10694364498653985,25
501082,2024-01-01,-0.06744868035190615,32
501082,2024-07-01,0.6355462543588424,29
501082,2025-01-01,0.04160394181563641,28
501082,2025-07-01,0.3761649401625637,22
501082,2026-01-01,0.1928475935828877,33
519005,2019-01-01,0.4153846153846154,14
519005,2019-07-01,0.8637770897832818,18
519005,2020-01-01,0.34545454545454546,10
519005,2020-07-01,0.6153846153846154,12
519005,2021-01-01,0.2879120879120879,14
519005,2021-07-01,0.24805194805194808,21
519005,2022-01-01,-0.028597617345779994,32
519005,2022-07-01,-0.072070885114364,45
519005,2023-01-01,0.23225611597704623,43
519005,2023-07-01,-0.2502463054187192,29
519005,2023-10-01,-0.5090909090909091,11
519005,2024-01-01,-0.012612612612612614,36
519005,2024-04-01,-0.34705882352941175,16
519005,2024-07-01,0.3572649572649573,26
519005,2025-01-01,0.012987012987012988,22
519005,2025-07-01,-0.10526939737536796,37
519005,2026-01-01,0.00959787228292717,47
519013,2019-01-01,0.002632733908559584,19
519013,2019-07-01,0.00307744918158229,26
519013,2020-01-01,0.49240239418262954,25
519013,2020-07-01,0.1749876634945866,23
519013,2021-01-01,-0.2425180598555212,18
519013,2021-04-01,0.04242424242424241,10
519013,2021-07-01,0.4530434782608695,24
519013,2022-01-01,0.09391304347826085,24
519013,2022-04-01,0.32121212121212117,10
519013,2022-07-01,0.16927453769559034,38
519013,2023-01-01,0.14919354838709678,31
519013,2023-07-01,0.13005648144198753,27
519013,2024-01-01,0.042155425219941346,32
519013,2024-04-01,0.3939393939393939,10
519013,2024-07-01,0.13642213642213644,36
519013,2024-10-01,-0.0303030303030303,10
519013,2025-01-01,-0.03359413475510355,38
519013,2025-07-01,-0.06306620209059235,41
519013,2026-01-01,0.0523230568823274,48
519018,2019-01-01,0.48606811145510836,18
519018,2019-07-01,-0.030645161290322586,31
519018,2020-01-01,-0.16076923076923075,25
519018,2020-04-01,0.4787878787878787,10
519018,2020-07-01,0.3565323565323565,27
519018,2020-10-01,-0.2912087912087912,13
519018,2021-01-01,-0.005747913014002398,28
519018,2021-04-01,0.16783216783216784,12
519018,2021-07-01,0.07279693486590037,28
519018,2021-10-01,0.29090909090909095,11
519018,2022-01-01,0.2631578947368421,19
519018,2022-04-01,0.4035714285714285,15
519018,2022-07-01,0.3189570119802678,44
519018,2022-10-01,-0.006060606060606061,10
519018,2023-01-01,0.0234716739719536,75
519018,2023-04-01,0.17575757575757575,10
519018,2023-07-01,0.13475232873544205,93
519018,2023-10-01,-0.10909090909090911,11
519018,2024-01-01,0.22868230130876108,134
519018,2024-04-01,0.17272727272727276,11
519018,2024-07-01,0.32143476752067296,130
519018,2024-10-01,0.4424242424242424,10
519018,2025-01-01,0.30614653511594325,87
519018,2025-04-01,0.11515151515151514,10
519018,2025-07-01,0.34754689297601027,70
519018,2026-01-01,0.3347070548454461,64
519018,2026-04-01,-0.16363636363636364,10
519026,2020-01-01,0.18181818181818185,12
519026,2020-07-01,0.2964285714285714,15
519026,2021-01-01,-0.42857142857142855,14
519026,2021-07-01,-0.28529411764705886,16
