fund_code,year,mkt2_mean,n_days
1412,2025,0.00013718187835461877,485
1412,2026,9.07999055118287e-05,299
14282,2022,0.00013158557450552498,269
14282,2023,9.82096774663666e-05,484
14282,2024,0.00012074188131685313,484
14282,2025,0.00013718187835461877,485
14282,2026,9.07999055118287e-05,299
14319,2022,0.00014134263503495602,241
14319,2023,9.851811271433454e-05,481
14319,2024,0.00012074188131685313,484
14319,2025,0.00013718187835461877,485
14319,2026,9.07999055118287e-05,299
14320,2022,0.00014134263503495602,241
14320,2023,9.851811271433454e-05,481
14320,2024,0.00012074188131685313,484
14320,2025,0.00013718187835461877,485
14320,2026,9.07999055118287e-05,299
1437,2016,0.00037519851103550805,367
1437,2017,0.00012870606087436696,488
1437,2018,9.950091302437261e-05,486
1437,2019,0.00015408549808874921,486
1437,2020,0.0001660678296102018,487
1437,2021,0.0001385099331417171,486
1437,2022,0.0001145390831437884,485
1437,2023,9.82096774663666e-05,484
1437,2024,0.00012074188131685313,484
1437,2025,0.00013718187835461877,485
1437,2026,9.07999055118287e-05,299
1438,2016,0.00037519851103550805,367
1438,2017,0.00012870606087436696,488
1438,2018,9.950091302437261e-05,486
1438,2019,0.00015408549808874921,486
1438,2020,0.0001660678296102018,487
1438,2021,0.0001385099331417171,486
1438,2022,0.0001145390831437884,485
1438,2023,9.82096774663666e-05,484
1438,2024,0.00012074188131685313,484
1438,2025,0.00013718187835461877,485
1438,2026,9.07999055118287e-05,299
14497,2022,0.0001377707704213257,250
14497,2023,9.82096774663666e-05,484
14497,2024,0.00012074188131685313,484
14497,2025,0.00013718187835461877,485
14497,2026,9.07999055118287e-05,299
14549,2022,0.00013776058346782653,253
14549,2023,9.82096774663666e-05,484
14549,2024,0.00012074188131685313,484
14549,2025,0.00013718187835461877,485
14549,2026,9.07999055118287e-05,299
14611,2022,0.0001456976012521483,212
14611,2023,9.749965010263669e-05,454
14611,2024,0.00012074188131685313,484
14611,2025,0.00013718187835461877,485
14611,2026,9.07999055118287e-05,299
14612,2022,0.0001456976012521483,212
14612,2023,9.749965010263669e-05,454
14612,2024,0.00012074188131685313,484
14612,2025,0.00013718187835461877,485
14612,2026,9.07999055118287e-05,299
1480,2016,0.00028120354297211437,338
1480,2017,0.00012870606087436696,488
1480,2018,9.94979535814225e-05,487
1480,2019,0.00015397045530891122,487
1480,2020,0.0001660678296102018,487
1480,2021,0.0001385099331417171,486
1480,2022,0.0001145390831437884,485
1480,2023,9.82096774663666e-05,484
1480,2024,0.00012074188131685313,484
1480,2025,0.00013718187835461877,485
1480,2026,9.07999055118287e-05,299
14833,2022,0.00014475123710898195,232
14833,2023,9.907011960005363e-05,474
14833,2024,0.00012074188131685313,484
14833,2025,0.00013718187835461877,485
14833,2026,9.07999055118287e-05,299
14975,2023,7.613299162612866e-05,410
14975,2024,0.00012074188131685313,484
14975,2025,0.00013718187835461877,485
14975,2026,9.07999055118287e-05,299
14989,2022,0.00014459588203881958,218
14989,2023,9.760619992522668e-05,460
14989,2024,0.00012074188131685313,484
14989,2025,0.00013718187835461877,485
14989,2026,9.07999055118287e-05,299
15389,2023,8.656327565700339e-05,426
15389,2024,0.00012074188131685313,484
15389,2025,0.00013718187835461877,485
15389,2026,9.07999055118287e-05,299
15491,2023,6.959700326592618e-05,371
15491,2024,0.00012074188131685313,484
15491,2025,0.00013718187835461877,485
15491,2026,9.07999055118287e-05,299
15576,2023,7.051336150191673e-05,382
15576,2024,0.00012074188131685313,484
15576,2025,0.00013718187835461877,485
15576,2026,9.07999055118287e-05,299
15585,2023,7.23973726613989e-05,399
15585,2024,0.00012074188131685313,484
15585,2025,0.00013718187835461877,485
15585,2026,9.07999055118287e-05,299
15967,2023,6.343059219881883e-05,294
15967,2024,0.00012074188131685313,484
15967,2025,0.00013718187835461877,485
15967,2026,9.07999055118287e-05,299
160220,2014,0.00011661240828021507,246
160220,2015,0.0003397877412534604,488
160220,2016,0.0003925624282460721,488
160220,2017,0.00012870606087436696,488
160220,2018,9.94979535814225e-05,487
160220,2019,0.00015397045530891122,487
160220,2020,0.0001660678296102018,487
160220,2021,0.0001385099331417171,486
160220,2022,0.0001145390831437884,485
160220,2023,9.82096774663666e-05,484
160220,2024,0.00012074188131685313,484
160220,2025,0.00013718187835461877,485
160220,2026,9.07999055118287e-05,299
160226,2016,0.00022154673296670148,277
160226,2017,0.00012870606087436696,488
160226,2018,9.94979535814225e-05,487
160226,2019,0.00015397045530891122,487
160226,2020,0.0001660678296102018,487
160226,2021,0.0001385099331417171,486
160226,2022,0.0001145390831437884,485
160226,2023,9.82096774663666e-05,484
160226,2024,0.00012074188131685313,484
160226,2025,0.00013718187835461877,485
160226,2026,9.07999055118287e-05,299
16262,2023,6.857211948434933e-05,353
16262,2024,0.00012074188131685313,484
16262,2025,0.00013718187835461877,485
16262,2026,9.07999055118287e-05,299
16263,2023,6.921920541182351e-05,345
16263,2024,0.00012074188131685313,484
16263,2025,0.00013718187835461877,485
16263,2026,9.07999055118287e-05,299
16370,2023,6.796271055906471e-05,313
16370,2024,0.00012074188131685313,484
16370,2025,0.00013718187835461877,485
16370,2026,9.07999055118287e-05,299
16371,2023,6.796271055906471e-05,313
16371,2024,0.00012074188131685313,484
16371,2025,0.00013718187835461877,485
16371,2026,9.07999055118287e-05,299
16461,2023,6.82971337093322e-05,329
16461,2024,0.00012074188131685313,484
16461,2025,0.00013718187835461877,485
16461,2026,9.07999055118287e-05,299
16500,2023,6.485669058014197e-05,303
16500,2024,0.00012074188131685313,484
16500,2025,0.00013718187835461877,485
16500,2026,9.07999055118287e-05,299
16501,2023,6.485669058014197e-05,303
16501,2024,0.00012074188131685313,484
16501,2025,0.00013718187835461877,485
16501,2026,9.07999055118287e-05,299
16579,2023,6.633397238789537e-05,312
16579,2024,0.00012074188131685313,484
16579,2025,0.00013718187835461877,485
16579,2026,9.07999055118287e-05,299
16721,2025,8.76285358526252e-05,258
16721,2026,9.07999055118287e-05,299
16772,2023,5.6046054860101865e-05,234
16772,2024,0.00012263245163310511,473
16772,2025,0.00013718187835461877,485
16772,2026,9.07999055118287e-05,299
16773,2023,5.6046054860101865e-05,234
16773,2024,0.00012263245163310511,473
16773,2025,0.00013718187835461877,485
16773,2026,9.07999055118287e-05,299
16780,2023,6.316229606655338e-05,297
16780,2024,0.00012074188131685313,484
16780,2025,0.00013718187835461877,485
16780,2026,9.07999055118287e-05,299
168401,2018,0.00011432599860632228,395
168401,2019,0.00015397045530891122,487
168401,2020,0.0001660678296102018,487
168401,2021,0.0001385099331417171,486
168401,2022,0.0001145390831437884,485
168401,2023,9.82096774663666e-05,484
168401,2024,0.00012074188131685313,484
168401,2025,0.00013718187835461877,485
168401,2026,9.07999055118287e-05,299
17102,2024,0.00013305744040626914,416
17102,2025,0.00013718187835461877,485
17102,2026,9.07999055118287e-05,299
17103,2024,0.00013305744040626914,416
17103,2025,0.00013718187835461877,485
17103,2026,9.07999055118287e-05,299
1715,2017,3.730461475352709e-05,269
1715,2018,9.94979535814225e-05,487
1715,2019,0.00015397045530891122,487
1715,2020,0.0001660678296102018,487
1715,2021,0.0001385099331417171,486
1715,2022,0.0001145390831437884,485
1715,2023,9.82096774663666e-05,484
1715,2024,0.00012074188131685313,484
1715,2025,0.00013718187835461877,485
1715,2026,9.07999055118287e-05,299
17234,2025,8.639002867991748e-05,233
17234,2026,8.832748226259775e-05,284
1753,2016,0.00022334514289066543,300
1753,2017,0.00012870606087436696,488
1753,2018,9.94979535814225e-05,487
1753,2019,0.00015397045530891122,487
1753,2020,0.0001660678296102018,487
1753,2021,0.0001385099331417171,486
1753,2022,0.0001145390831437884,485
1753,2023,9.82096774663666e-05,484
1753,2024,0.00012074188131685313,484
1753,2025,0.00013718187835461877,485
1753,2026,9.07999055118287e-05,299
1759,2017,3.4829141665089674e-05,259
1759,2018,9.94979535814225e-05,487
1759,2019,0.00015397045530891122,487
1759,2020,0.0001660678296102018,487
1759,2021,0.0001385099331417171,486
1759,2022,0.0001145390831437884,485
1759,2023,9.82096774663666e-05,484
1759,2024,0.00012074188131685313,484
1759,2025,0.00013718187835461877,485
1759,2026,9.07999055118287e-05,299
17612,2023,5.5001002643263e-05,212
17612,2024,0.00012493906043301118,454
17612,2025,0.00013718187835461877,485
17612,2026,9.07999055118287e-05,299
17732,2023,5.593499111881734e-05,234
17732,2024,0.00012216577478575328,476
17732,2025,0.00013718187835461877,485
17732,2026,9.07999055118287e-05,299
17811,2023,5.5193591015752206e-05,211
17811,2024,0.00012518315359942388,453
17811,2025,0.00013718187835461877,485
17811,2026,9.07999055118287e-05,299
17876,2024,0.00013441763494202242,405
17876,2025,0.00013718187835461877,485
17876,2026,9.07999055118287e-05,299
17927,2023,5.649165896979593e-05,213
17927,2024,0.00012548317414677327,455
17927,2025,0.00013718187835461877,485
17927,2026,9.07999055118287e-05,299
18291,2024,0.00013290282726474782,415
18291,2025,0.00013718187835461877,485
18291,2026,9.07999055118287e-05,299
