fund_code,composite,ff5_adj_return,V0 现行(对照),V1 优先级修正,V2 分位数交集,V3 综合分末十分位,V4 剔风险转化后末十分位
310358,-0.1485962424000393,0.0191640364870465,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
320005,-0.2550914855745115,0.015368139211424,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
320007,0.3141952389868511,0.020947304307366,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
340007,-0.6167562127308343,-0.0069460720915497,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家)
360016,-0.3313727583620801,0.0095682356568504,均衡型(其他),均衡型(其他),高换手噪声型(输家),均衡型(其他),均衡型(其他)
370024,-0.2597051305620074,0.0185079752680766,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
370027,-0.2084212463363745,0.0185762783198391,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
375010,-0.224873399303899,0.0247806965060898,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
377010,-0.3036313082669952,-0.0070198973838912,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
377240,-0.0517397968686361,0.0271977082789619,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
378010,-0.3756345152397295,0.001453077105757,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
379010,-0.2189896895054781,0.0069594556515096,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
400001,-0.4128529259433041,-0.0055343969791061,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
460007,-0.418151538381332,0.0079498032712863,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家)
470009,-0.1917924434448844,0.0168785227472689,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
470028,-0.4686641395314126,-0.0179155227121846,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),均衡型(其他)
470098,-0.3745571435566394,0.015325974461731,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家)
481001,-0.4496573769275866,0.0144872572293903,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家)
481008,-0.3673424458215601,0.0086963181205361,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家)
481010,-0.2222809071084455,0.030141046277584,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
481015,-0.0990439183262394,0.0284786862063731,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
501026,-0.4858389045369624,0.0028151641844839,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),均衡型(其他)
501054,-0.4128614322124517,0.0132374992141653,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
501079,0.0714844462338709,0.044100397778233,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
501082,0.150285331931787,0.0312643183601546,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
