fund_code,hm_beta,hm_gamma,timing
8467,1.526333692242361,-0.5722549320196025,0.5722549320196025
8528,1.9142835745774118,-0.6331059560640376,0.6331059560640376
8555,1.4957747523589466,-0.38582008087564323,0.38582008087564323
8734,1.3427215687865677,-0.6987450847224278,0.6987450847224278
8988,1.898805747718179,-0.15347096993427983,0.15347096993427983
8989,1.8975745926827834,-0.1542978250028274,0.1542978250028274
9049,1.8758118615033907,-0.8068289193795318,0.8068289193795318
9062,1.9889505156559237,-2.2355912506706903,2.2355912506706903
9063,1.9846886787328928,-2.23049533429954,2.23049533429954
9242,1.7386414259646332,-1.1608186624181667,1.1608186624181667
9243,1.7363912413737452,-1.1581613922628342,1.1581613922628342
9707,1.67052034082977,-0.03323602700634476,0.03323602700634476
9708,1.6697303673466997,-0.03408031508793652,0.03408031508793652
9808,1.996911147076286,-0.39236892028763903,0.39236892028763903
9855,2.096042452501051,-1.4049811118571702,1.4049811118571702
9856,2.094119199357496,-1.4040992825832848,1.4040992825832848
9913,2.2344435767462882,-1.1267420084395896,1.1267420084395896
9993,1.7007547440707127,-0.3651769523329808,0.3651769523329808
10115,2.1329406392810086,-0.7781041521510065,0.7781041521510065
10237,2.309169107936298,-0.8854710259412133,0.8854710259412133
10238,2.3072133719621415,-0.8849689001514397,0.8849689001514397
10335,1.8573996498412695,-0.9138179387295163,0.9138179387295163
10389,1.4146962025908654,-0.6373010320131771,0.6373010320131771
10390,1.4124795728790063,-0.6370438745197566,0.6370438745197566
10415,1.9900062047266538,-0.33939275769842575,0.33939275769842575
10416,1.9875332536691614,-0.33790038344859463,0.33790038344859463
10912,2.0548666489866707,-1.4886822022415032,1.4886822022415032
10913,2.0526317622178993,-1.4868041384032737,1.4868041384032737
11120,2.700330624083293,-1.3886407355014947,1.3886407355014947
11300,2.108871988982109,-1.0007953502886635,1.0007953502886635
11301,2.1070002789881315,-0.9999088594754179,0.9999088594754179
11369,1.9031415768430193,-0.4071052397729788,0.4071052397729788
11370,1.9006307802778342,-0.40652414995419617,0.40652414995419617
11399,2.3548372314148702,-1.2916284985829714,1.2916284985829714
11400,2.350025200344341,-1.2879874706413337,1.2879874706413337
11412,2.130627835000375,-0.7766227280537635,0.7766227280537635
11452,2.111927013749485,-0.5417885775824306,0.5417885775824306
11488,1.611497281422586,-0.3695002783257374,0.3695002783257374
11822,2.208187494489787,-1.4090801569748437,1.4090801569748437
11823,2.2054446679086164,-1.4070384630652701,1.4070384630652701
11891,2.2988699550918255,-1.2581417480065136,1.2581417480065136
11892,2.2960309262679015,-1.2551137708135496,1.2551137708135496
12301,2.136655609661646,-1.4444213105105976,1.4444213105105976
12456,2.000720610509301,-0.7355469423409676,0.7355469423409676
12457,1.9958934808292732,-0.7322608916718899,0.7322608916718899
13107,1.7534987194265024,-0.8794276853081385,0.8794276853081385
13108,1.7509860485132716,-0.877742860770085,0.877742860770085
13238,0.902662900032913,0.5356433225613395,-0.5356433225613395
13239,0.9004068082661653,0.5365000994746526,-0.5365000994746526
13312,1.7259110163625924,-0.6693818238559044,0.6693818238559044
13369,2.6870196150474177,-2.1507405130008688,2.1507405130008688
13370,2.6855330976906786,-2.152919108198273,2.152919108198273
13840,2.2053717199540452,-1.857590706855081,1.857590706855081
13841,2.204342411773041,-1.8565564109233321,1.8565564109233321
13949,1.266500756791898,-0.536775501118263,0.536775501118263
14282,2.6655481199281583,-1.9109331050240344,1.9109331050240344
14319,2.335941952468855,-1.7448145929791359,1.7448145929791359
14320,2.333101816500402,-1.7431857657697116,1.7431857657697116
14497,2.5964439041095053,-1.9785559879103156,1.9785559879103156
14549,1.602792284431144,-0.69246776481587,0.69246776481587
14611,2.3435038631261498,-2.434109063631407,2.434109063631407
14612,2.3403723993553993,-2.4330629567625826,2.4330629567625826
14833,1.824858485268669,-1.4504823686713957,1.4504823686713957
14975,2.2069285297274654,-0.8301894556315236,0.8301894556315236
14989,2.1489948012856046,-2.35051829332985,2.35051829332985
15389,2.158144352788936,-1.4151996466052927,1.4151996466052927
15491,2.130033606971597,-1.8058349125911737,1.8058349125911737
15576,1.8099026262596987,-1.5279695621017926,1.5279695621017926
15585,2.2068531294286533,-2.054827234860052,2.054827234860052
15967,2.1432079008799114,-2.0745887183289162,2.0745887183289162
16262,1.9002182048630125,-0.6677922782322278,0.6677922782322278
16263,2.283337581704444,-1.7254620383539914,1.7254620383539914
16370,2.669435250966985,-2.56276205571591,2.56276205571591
16371,2.66662225183389,-2.566757422320225,2.566757422320225
16461,3.211469758216065,-2.8489058323456056,2.8489058323456056
16500,2.0925585460274734,-2.067217252596399,2.067217252596399
16501,2.09229790764542,-2.076616354141695,2.076616354141695
16579,3.5459576989010895,-3.683205710613671,3.683205710613671
16772,2.293134041937045,-2.385106280261499,2.385106280261499
16773,2.287888130412934,-2.3709159071507497,2.3709159071507497
16780,2.0752060802568812,-1.9055768645668176,1.9055768645668176
17102,1.5127413240897842,2.4930636829987254,-2.4930636829987254
