fund_code,基金简称,基金经理人,management_company,基本面优势,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha,quarter_return,grp
8555,华商龙头优势混合,彭雾,华商基金,0.6534530083906906,0.0327639428154585,-0.7268275911056714,-0.0857110426195233,-0.6501736757921871,0.0742798460250313,-0.1170359187143668,0.0033973546185805,0.0722065540319334,Q3
8734,交银科锐科技创新混合A,高扬,交银施罗德基金,0.3105407836597054,-0.1446785447751896,0.2131315986985551,0.1041857333664712,-0.0005997102660446,0.5334574321155972,0.1693395487998491,0.0151252455904933,0.0710433524669672,Q4
8988,大成科技创新混合A,郭玮羚,大成基金,0.4796481288839477,0.3702518846217443,-0.4203617869656135,-0.1622500011041587,0.284683595985733,1.0337995048078263,0.2642952210382465,0.0428614500549803,0.1067767827075935,Q5最高
8989,大成科技创新混合C,郭玮羚,大成基金,0.4763833995650706,0.3719512428876174,-0.3988063241517631,-0.1744561100282726,0.2507014144179722,1.0337995048078263,0.2599288545830751,0.0418353149511181,0.1056938531085582,Q5最高
9049,易方达高端制造混合发起式A,祁禾,易方达基金,-0.4648150063947919,-0.2265334857468922,-0.2248673680540521,0.2077910695582079,0.4975710299100611,1.1811744588639936,0.1617201163560877,0.0329709264115956,0.078989020885655,Q4
9062,财通智慧成长混合A,贾雅楠,财通基金,0.5594157308808984,0.073397715187896,-0.6845633655148171,1.2450226671489777,-0.2128275860570974,1.2912200880359443,0.378610874946967,0.0256743948552309,0.0887039358961193,Q5最高
9063,财通智慧成长混合C,贾雅楠,财通基金,0.6630881684608352,0.0813462084901149,-0.6809645247088248,1.2413781907969552,-0.1748313338394134,1.357762270752486,0.4146298299920254,0.0236162816656455,0.086536927100385,Q5最高
9242,中加核心智造混合A,于成琨,中加基金,0.768077659620238,-0.2989173458550833,-0.260874624559104,0.3909232710510371,0.6146565138397864,1.7495240062522277,0.4938982467248503,0.0278539936319685,0.073869529600917,Q5最高
9243,中加核心智造混合C,于成琨,中加基金,0.8419397780212753,-0.3441727570635827,-0.2598909749204897,0.3891943552023179,0.5595770427164998,1.7097801924282734,0.4827379393973823,0.0267336053243368,0.0727540118742057,Q5最高
9707,工银新兴制造混合A,马丽娜,工银瑞信基金,0.2817737523747979,-0.0796445717986203,-0.3624144530147033,-0.3581902952521812,0.5731125953272732,0.7055458120175753,0.1266971399423569,0.0380681713736838,0.1045564990684587,Q4
