fund_code,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha,quarter_return
1076,-0.003052789789872279,-0.21212716400317494,0.12672154045538586,0.2507610468859546,-0.7941701854714054,-0.12637351038462244,0.0359882904287955,0.06916001417415465
1088,-0.49495765943896575,-0.877105235675623,-1.0682645131418114,0.02975617239815806,-0.9268186631455788,-0.6674779798007642,0.0099084712319878,0.03721540944293178
1170,0.22586095871219602,-0.8502260812343231,-0.452769311680001,-0.32662254266172025,-0.06878165120013957,-0.2945077256127976,0.0230825530010874,0.058539167300752606
1184,-0.15845621371489624,-0.6616004082877229,-0.3100855812013597,-0.8371555439157089,0.07413917995774816,-0.3786317134323879,0.0055573141940628,0.04026706389307427
1194,0.3881201619058734,-1.2231853922207558,-0.17725296060095236,1.1553859962600301,0.22576873966164007,0.0737673090011671,0.0471055233046176,0.05804224671654191
1198,1.1452558622958087,-0.5907478648956737,-0.08154065827150891,-0.5397822869833123,0.9161160662717018,0.16986022368340312,0.0216410769014476,0.04924944870532053
1267,0.29442906612493375,-1.2608081244779967,-0.4455643103445299,-0.568665371809677,-0.45656489971674163,-0.4874347280448023,0.0147682793306558,0.036186587884820993
1407,-0.6804992510423634,-0.882040432324358,-0.07067811625670489,1.1010957985042524,0.45887107588684684,-0.014650185046465447,0.0456990060087916,0.05686080883466666
1411,-0.4024772083593484,-0.7701951440775152,-0.4802866927890555,-0.2982909560880888,1.3313077020641386,-0.12398845984997386,0.0207264845833167,0.04048633982025569
1412,-0.4368817699258636,-0.7552302802583166,-0.26056541014608364,0.29539474493624923,0.054782058873567185,-0.22050013130408946,0.0435415798796138,0.054766589858850946
1437,0.4432892532300721,-0.7278696274640826,0.40572413798524,0.6311232420422382,0.6585448603826164,0.2821623732352168,0.0593786015805047,0.07610539002532694
1438,0.39234997913422215,-0.7388308079739879,0.051525578433526786,0.4929540565055776,0.7457262003429757,0.18874500128846286,0.0502021692969099,0.07088929991178981
1475,-0.5886969438643134,1.5922132759342313,-1.0165370439012653,-0.13941523203363212,-0.8197149377369132,-0.1944301763203785,0.0013426567563733,0.051814653868368366
1480,-0.5310855449274247,-0.7620457377990946,0.31430705468742093,-0.06488177834904862,0.902165086417563,-0.02830818399411683,0.0399517113148676,0.07575910339873136
1513,0.38623444817439423,0.5760231832914234,0.21413588564392083,0.08893923678963676,-0.5859625451894913,0.1358740417419768,0.0467116104318334,0.09898568647874012
1664,-0.23985436757394876,-1.2094627926579342,-0.623830327669673,0.23734078815807683,-0.5242211094105725,-0.4720055618308104,0.0106987988722928,0.04870293788573624
1665,-0.2402939847529948,-1.2110811407221689,-0.6238761989128022,0.13789877413066878,-0.5242211094105725,-0.49231473193357395,0.0095692848150145,0.04757436405320851
1702,-0.29757812088505425,0.6461566414487961,-0.5485676721409803,0.23915341252185263,-0.42961183877499837,-0.07808951556607684,0.0215979835834719,0.08341379340401091
1715,-0.04704734680966277,-0.909064007661751,-0.5030366763177643,0.32659153409241165,0.5128566189775535,-0.12393997554384255,0.0355899850324437,0.04938905528331854
1723,1.4568196659030626,0.3456052788550462,-0.40827437032680064,0.0208506986980965,-1.0353762573883627,0.07592500314820842,0.027173834256919795,0.06843566584931868
1753,0.14279956176646727,-1.151514141724536,0.20947688993966948,-0.4340785589967943,-0.6924893818188644,-0.38516112616681164,0.05315957277952979,0.06068986837013128
1759,-0.06865560578602106,-0.5701263690094773,-0.33700284186786594,0.05373530330061583,0.036458438003134586,-0.17711821507192277,0.0059405694618421,0.052143011390848495
1811,0.27084471157965256,0.05705687586113234,-0.3101914271974495,0.04640293457661265,-0.16764957059567032,-0.020707295155144457,0.0295950408943053,0.06213673766953271
1856,-0.6293008526558773,-0.01105377714656064,0.14816665535981002,1.0721324569195483,-0.6924893818188644,-0.022508979868388825,0.0381132262994896,0.07480388560870063
1881,-0.4409384785411317,-0.6892781667472274,-0.3748450250260262,-0.07541530269196707,-0.438574300126151,-0.40381025462650066,0.0176115317554051,0.0364531602267963
1985,0.07098760136434225,-0.4406521494097753,-0.488480321788473,-0.06323949745837587,-1.0169764689656333,-0.38767216725158304,0.0164904967550533,0.06143335844346925
1998,-0.09806886446822706,-0.8923631799587626,-0.449092184615989,0.2329925101068128,0.326997386754315,-0.17590686643637016,0.0340359479893788,0.04781272552214588
2051,-0.3943063222640531,-0.7233056705567618,-0.8241050828424785,-0.3396025603063764,1.7155180811590525,-0.11316031096212345,0.019168136020958,0.04180935824774881
2112,-0.4177565512208044,-0.7466079149451075,-0.4232233668500339,0.3221764076730908,0.18826165895084168,-0.21542995327840261,0.0410840981359171,0.056625587611450846
2125,0.1850688321792403,-1.066100097423998,-0.24098389592539587,-0.7478017109244631,0.265379325140274,-0.3208875093908685,0.001950677708882,0.04823147683666847
2152,0.1321088634128799,-0.5323986672360032,0.31551140057812993,0.4097950433912971,-0.4820143105342176,-0.03139953407758278,0.0420819081333534,0.05635020486664758
2163,1.7989975959056206,-0.6543051699133489,-1.2274896205059855,-0.9752412604770724,0.8860840211333817,-0.0343908867714809,0.0333941350822328,0.05935936417356669
2244,-0.8781399334872101,-0.469076481349311,0.1812302942144693,-0.32055901367496736,0.654851921455814,-0.16633864256824107,0.014968761854289,0.041499874485500375
2376,0.08154230229927269,-0.8631636175633637,-0.24259721942588924,-0.7014550180463486,-0.21565358962565495,-0.38826542847239676,-0.0051890261597323,0.029723958164317128
2420,-0.07826422670399891,-0.03207452370640876,-0.11946129406629066,0.26718875058875374,-0.0698062657875248,-0.006483511935093877,0.028484011467578403,0.03906755272355144
2450,0.2502927974290066,-0.4645652870317851,0.009114349006129084,0.10771900536602734,0.9466993442432853,0.16985204180253263,0.0186145566771846,0.05260854994829756
