fund_code,report_date,sharpe8_lag,sortino8_lag,rc_mom,oc_conf
40001,2024-04-01,-0.6963790975601246,-1.0377296358642722,,0.0
40001,2024-07-01,-0.650697749740426,-1.3266458011713482,0.0917293233082706,0.0
40001,2024-10-01,-1.9309469957961383,-1.9309469957961383,,0.0
40001,2025-01-01,-0.41412107641190954,-1.2876045522571269,-0.3406862745098039,13.473214758275105
40001,2025-04-01,-0.3630193154894952,-0.9093908161508529,,0.0
40001,2025-07-01,-0.24979699471275654,-0.6531363847594437,0.2714285714285714,114.65488532399301
40001,2025-10-01,-0.06812551838805396,-0.16576859519585457,,0.0
40001,2026-01-01,0.2668461935480138,0.7186725393426336,0.1678571428571428,
40001,2026-04-01,0.5070073729248836,,,
40001,2026-07-01,0.9118303847129006,,,
40008,2020-04-01,,,0.5757575757575757,
40008,2020-07-01,,,0.5607142857142856,-0.0
40008,2020-10-01,,,-0.0545454545454545,0.0
40008,2021-01-01,,,0.0563765736179529,-59.631198454144
40008,2021-04-01,0.6552688317632964,,,0.0
40008,2021-07-01,0.6169311831227426,,0.0,-81.81248317274398
40008,2021-10-01,0.6883157479334435,,,0.0
40008,2022-01-01,0.5299293234370404,,0.1388683017437469,-0.0
40008,2022-04-01,0.46139199127393915,,-0.4272727272727273,0.0
40008,2022-07-01,0.35575201713736315,,-0.0158023607910558,0.0
40008,2022-10-01,0.19650797112752222,,0.3696969696969697,0.0
40008,2023-01-01,-0.09850063788848074,-0.1505636570139242,0.1808695652173912,-0.0
40008,2023-04-01,-0.33894349130181667,-0.40319319617608396,-0.3636363636363637,0.0
40008,2023-07-01,-0.40515100623890654,-0.47824404221979455,0.0557264957264957,-0.0
40008,2023-10-01,-0.7556845454324487,-0.8621277822501059,0.1151515151515151,0.0
40008,2024-01-01,-0.7452711815202301,-0.8433223454806325,-0.0565217391304347,0.0
40008,2024-04-01,-0.8108629476495179,-0.971994650297067,0.4303030303030302,0.0
40008,2024-07-01,-0.5180403311837052,-0.6298554511550432,0.0592885375494071,13.572081763307011
40008,2024-10-01,-0.5412669398504467,-0.6482172419001119,0.0909090909090908,0.0
40008,2025-01-01,-0.1320782730120329,-0.22573952651079113,0.0105263157894736,81.56588418850299
40008,2025-04-01,-0.3201950642699446,-0.6406489996007841,0.2242424242424242,0.0
40008,2025-07-01,-0.3412730498230969,-0.7614817991898233,0.585544889892716,0.0
40008,2025-10-01,-0.2948911728515998,-1.0647611483157495,0.5545454545454546,0.0
