fund_code,report_date,TO_wind,TO_wind_clean
2376,2021-10-01,151.671448151407,151.671448151407
2376,2022-01-01,155.34867748079,155.34867748079
2376,2022-04-01,155.34867748079,155.34867748079
2376,2022-07-01,189.573010308874,189.573010308874
2376,2022-10-01,189.573010308874,189.573010308874
2376,2023-01-01,177.35284337835,177.35284337835
2376,2023-04-01,177.35284337835,177.35284337835
2376,2023-07-01,188.128278313853,188.128278313853
2376,2023-10-01,188.128278313853,188.128278313853
2376,2024-01-01,299.589949540616,299.589949540616
2376,2024-04-01,299.589949540616,299.589949540616
2376,2024-07-01,280.167704840022,280.167704840022
2376,2024-10-01,280.167704840022,280.167704840022
2376,2025-01-01,152.215552154496,152.215552154496
2376,2025-04-01,152.215552154496,152.215552154496
2376,2025-07-01,95.0510195039628,95.0510195039628
2376,2025-10-01,95.0510195039628,95.0510195039628
2420,2016-07-01,237.605234549749,237.605234549749
2420,2016-10-01,237.605234549749,237.605234549749
2420,2017-01-01,195.911946217654,195.911946217654
2420,2017-04-01,195.911946217654,195.911946217654
2420,2017-07-01,50.5861035288748,50.5861035288748
2420,2017-10-01,50.5861035288748,50.5861035288748
2420,2018-01-01,108.14532270944,108.14532270944
2420,2018-04-01,108.14532270944,108.14532270944
2420,2018-07-01,311.513424999614,311.513424999614
2420,2018-10-01,311.513424999614,311.513424999614
2420,2019-01-01,24.36486826886,24.36486826886
2420,2019-04-01,24.36486826886,24.36486826886
2420,2019-07-01,126.701622758246,126.701622758246
2420,2019-10-01,126.701622758246,126.701622758246
2420,2020-01-01,144.09370819719,144.09370819719
2420,2020-04-01,144.09370819719,144.09370819719
2420,2020-07-01,70.9984722349008,70.9984722349008
2420,2020-10-01,70.9984722349008,70.9984722349008
2420,2021-01-01,67.9002617251374,67.9002617251374
2420,2021-04-01,67.9002617251374,67.9002617251374
2420,2021-07-01,276.402072114712,276.402072114712
2420,2021-10-01,276.402072114712,276.402072114712
2420,2022-01-01,182.638061592179,182.638061592179
2420,2022-04-01,182.638061592179,182.638061592179
2420,2022-07-01,204.87047422371,204.87047422371
2420,2022-10-01,204.87047422371,204.87047422371
2420,2023-01-01,161.062835800137,161.062835800137
2420,2023-04-01,161.062835800137,161.062835800137
2420,2023-07-01,129.637212746095,129.637212746095
2420,2023-10-01,129.637212746095,129.637212746095
2420,2024-01-01,116.841736588884,116.841736588884
2420,2024-04-01,116.841736588884,116.841736588884
2420,2024-07-01,179.529309168482,179.529309168482
2420,2024-10-01,179.529309168482,179.529309168482
2420,2025-01-01,176.724121986969,176.724121986969
2420,2025-04-01,176.724121986969,176.724121986969
2420,2025-07-01,324.474384732114,324.474384732114
2420,2025-10-01,324.474384732114,324.474384732114
2450,2016-07-01,1216.31113615415,1216.31113615415
2450,2016-10-01,1216.31113615415,1216.31113615415
2450,2017-01-01,1498.66303522019,1498.66303522019
2450,2017-04-01,1498.66303522019,1498.66303522019
2450,2017-07-01,1467.81503085836,1467.81503085836
2450,2017-10-01,1467.81503085836,1467.81503085836
2450,2018-01-01,1326.10204293558,1326.10204293558
2450,2018-04-01,1326.10204293558,1326.10204293558
2450,2018-07-01,1389.4168949911,1389.4168949911
2450,2018-10-01,1389.4168949911,1389.4168949911
2450,2019-01-01,200.016626831955,200.016626831955
2450,2019-04-01,200.016626831955,200.016626831955
2450,2019-07-01,125.062912279937,125.062912279937
2450,2019-10-01,125.062912279937,125.062912279937
2450,2020-01-01,169.350532615923,169.350532615923
2450,2020-04-01,169.350532615923,169.350532615923
2450,2020-07-01,175.975730101687,175.975730101687
2450,2020-10-01,175.975730101687,175.975730101687
2450,2021-01-01,198.360948564968,198.360948564968
2450,2021-04-01,198.360948564968,198.360948564968
2450,2021-07-01,325.734424622602,325.734424622602
2450,2021-10-01,325.734424622602,325.734424622602
2450,2022-01-01,244.714289364146,244.714289364146
2450,2022-04-01,244.714289364146,244.714289364146
2450,2022-07-01,229.884010418093,229.884010418093
2450,2022-10-01,229.884010418093,229.884010418093
2450,2023-01-01,228.794498263194,228.794498263194
2450,2023-04-01,228.794498263194,228.794498263194
