fund_code,year,quarter,report_date,mgr_total_tenure_v2,log_fund_age,gender,education,CFA,school,AS_improved,ICI,industry_hhi,ICI_raw,industry_hhi_raw,ISDI,SDI,TO_two_sided,OCI_two_sided,total_buy,total_sell,ARG,return_volatility,de,pgr,plr,lsv,risk_asym,n_gain,n_loss,quarter_return,future_return,excess_return,RG,abs_return,ff3_adj_return,ff4_adj_return,ff5_adj_return,MKT_excess,SMB,HML,MOM,rf,ff5_MKT_excess,ff5_SMB,ff5_HML,ff5_RMW,ff5_CMA,ff5_RF,avg_aum,TO_wind,TO_wind_clean,sharpe8,sortino8,mppm8,rsstab,log_aum,ex,sharpe8_lag,sortino8_lag,mppm8_lag,rsstab_lag,oc_conf,alpha_q
160605,2026,2,2026-07-01,1377.0,3.097101589229722,男,硕士,否,,0.8029599293321555,0.445653,0.107124,0.168228,0.040438,0.1079320615371594,0.2780435162826431,,,,,0.0232637499042416,0.1051107504612361,-0.2053571428571429,0.6875,0.8928571428571429,0.0575784609751533,0.0208286517505937,6.0,2.0,-0.0306121434815016,,,0.0054718778430213,0.0306121434815016,0.0222824334685515,0.0047718682758031,0.0087479175098927,,,,,0.0025,,,,,,,30.94,,,0.5538606815916246,,0.1715814635576934,-0.0366207646516794,3.43204984514492,-0.0331121434815016,0.5525422138938965,,0.1711514288061614,-0.0042411948395378,,
161606,2020,1,2020-04-01,2829.0,2.76770383643187,男,硕士,否,,0.8861931107185119,0.189131,0.099193,0.120772,0.063341,0.0720728090664763,,,,,,0.026072442908983,,,,,0.0247592280899115,,,,-0.0212965573663652,0.2697599777092081,-0.0237965573663652,-0.0694589699169611,0.0212965573663652,0.0182078989743278,0.0034390695015883,-0.002619648951114,-0.0669393001203791,-0.010742354130266,-0.0236504363426955,-0.0398160868484914,0.0025,-0.0815508045995108,0.0676415657078447,-0.0639494697939244,-0.0035560049293466,-0.0510078103996129,0.0039896966053394,64.88,62.6070205968895,62.6070205968895,,,,,4.1725394098071575,-0.023796557366365198,,,,,,0.02429316584844682
161606,2020,2,2020-07-01,2920.0,2.7832291845257497,男,硕士,否,,0.9513129585493092,0.12019,0.068302,0.108335,0.061564,0.206011597679789,,,,,,0.048689653627904,,-0.3863636363636363,0.3636363636363636,0.75,0.0663472952505923,,,,0.2697599777092081,0.1586814254720983,0.2672599777092081,-0.0075179862123947,0.2697599777092081,0.0182078989743278,0.0034390695015883,-0.002619648951114,0.0742880097946145,0.0079414004903473,-0.0334048297458239,0.0946845864187219,0.0025,0.1202213978122816,-0.0104279623124276,-0.1594389877849423,0.059865014309694,-0.0790681800330151,0.002592650501375,80.82,71.2416794974626,71.2416794974626,,,,,4.392224459650327,0.2672599777092081,,,,,0.0,0.04349767720407022
161606,2020,3,2020-10-01,3012.0,2.798683884871608,男,硕士,否,,0.8754431132185536,0.169866,0.09615,0.102632,0.058094,0.1963345270697283,,,,,,0.0116098814093879,0.1583897812197673,,,,0.0917952754614558,,,,0.1586814254720983,0.1202655194428428,0.1561814254720983,0.1786082547788858,0.1586814254720983,0.0182078989743278,0.0034390695015883,-0.002619648951114,-0.050010337474552,-0.0238599529669955,0.021135437471268,0.2033647441356879,0.0025,0.0986193007248001,0.0057437756309392,-0.0365939161415855,-0.0045854686690272,-0.0013686131614662,0.0045829870321277,96.23,71.2416794974626,71.2416794974626,,,,,4.566741159368309,0.1561814254720983,,,,,0.0,0.054940508748959435
161606,2020,4,2021-01-01,3104.0,2.813903368054999,男,硕士,否,,0.9481929123818732,0.152161,0.06896,0.13695,0.062067,0.427181054776712,,0.8372977947683268,-1.903879740261132,1200.65,1637.8899999999996,0.0585524717363727,0.1293823512275075,-0.4884615384615384,0.4615384615384615,0.95,0.0981421235419885,,,,0.1202655194428428,-0.0101155868788986,0.1177655194428428,0.0910879542483846,0.1202655194428428,0.0182078989743278,0.0034390695015883,-0.002619648951114,0.0481097270864462,-0.0433052801557347,-0.0145525357641029,0.2599599555825196,0.0025,0.0772605072507496,-0.099022413113348,-0.0045306772734945,-1.633238474719849e-05,-0.0167140647187894,0.0048351696298313,86.84,96.2860129591704,96.2860129591704,1.0763553445014993,,0.4326152148073081,-0.0267046704963687,4.464067345010091,0.1177655194428428,,,,,25.044333461707808,-0.016851221088408527
161606,2021,1,2021-04-01,3194.0,2.828571166877788,男,硕士,否,,0.8783898048300804,0.242469,0.101946,0.147594,0.062056,0.1186276923909989,,,,,,0.0270826337868209,0.1279901011816169,,,,0.0161928379615296,0.0478114828085343,3.0,2.0,-0.0101155868788986,0.0359182445054986,-0.0126155868788986,0.0878369990153598,0.0101155868788986,0.0182078989743278,0.0034390695015883,-0.002619648951114,-0.0565402689946206,0.036712034687064,0.0031758350461555,0.3330840637955585,0.0025,-0.018387959935281,-0.0065251524063853,0.0952295006399945,0.060542839196871,0.0228005420949827,0.0043100105004975,74.83,96.2860129591704,96.2860129591704,0.8281229134456464,,0.3261669344176011,-0.0047119006532531,4.315218874092267,-0.012615586878898601,1.0763553445014993,,0.4326152148073081,-0.0267046704963687,0.0,0.02015577553200796
161606,2021,2,2021-07-01,3285.0,2.8431863792487584,男,硕士,否,,0.9364060484341404,0.158425,0.071789,0.142077,0.064381,0.052868744293492,,0.9928894578101984,0.6050175548287691,796.57,1468.3299999999997,0.0428141019110127,0.1172982353225465,-0.0791666666666666,0.775,0.8541666666666666,0.1182576752434064,0.068429454139691,4.0,2.0,0.0359182445054986,-0.1116943785058443,0.0334182445054986,-0.1872305596877714,0.0359182445054986,0.0182078989743278,0.0034390695015883,-0.002619648951114,-0.0226683556625908,0.0319371334778681,0.0171102431429312,0.241840489582544,0.0025,0.0673780057200432,0.0384436559068217,-0.1048621688642355,-0.0745216642484342,-0.001034167681472,0.0041494809108363,54.41,174.747103660975,174.747103660975,0.7975332930991988,,0.2923175700539809,-0.038397600854312,3.996547960497834,0.0334182445054986,0.8281229134456464,,0.3261669344176011,-0.0047119006532531,0.0,-0.011165306442737123
161606,2021,3,2021-10-01,3377.0,2.857748206676192,男,硕士,否,,0.8617731562192704,0.151559,0.107786,0.084074,0.059792,0.3095732240542523,,,,,,0.0234518694430229,0.1310824207301835,,,,0.0438546003570241,0.0421817768378031,4.0,3.0,-0.1116943785058443,-0.0006481327819319,-0.1141943785058443,-0.2282271410868678,0.1116943785058443,0.0182078989743278,0.0034390695015883,-0.002619648951114,0.0101462613487154,-0.0335596793516158,-0.0310321590305567,0.0684583154306194,0.0025,-0.0054312421421896,0.0428321043629952,0.098892596846445,-0.0855277650769835,0.0455682688685867,0.0041862400495986,35.91,174.747103660975,174.747103660975,0.4718373790973548,1.0875034806285897,0.1612568507046438,-0.0196051271832849,3.5810158082379915,-0.1141943785058443,0.7975332930991988,,0.2923175700539809,-0.038397600854312,0.0,-0.03861428173453653
161606,2021,4,2022-01-01,3469.0,2.8721010271682994,男,硕士,否,,0.9441430598843314,0.129105,0.070296,0.114734,0.062471,0.3896613208603802,,0.9803958017559412,0.4035588181105035,580.29,790.97,0.042557707100979,0.1232350299117189,0.0576923076923077,0.8461538461538461,0.7884615384615384,0.0794849840717339,0.0407140854494099,4.0,4.0,-0.0006481327819319,-0.1599248701266145,-0.0031481327819319,-0.1269797812712278,0.0006481327819319,0.0182078989743278,0.0034390695015883,-0.002619648951114,0.0199226856395226,-0.0077183422555258,-0.0520544129924097,-0.0466036410114274,0.0025,0.0312476592306879,0.1098661851352277,-0.0715511479143139,-0.0027746796229767,-0.0400899854222325,0.0041271866225277,32.38,174.77121345207,174.77121345207,0.4348828324189916,1.027434086067318,0.138682684479991,-0.0334365278121828,3.477540948249489,-0.0031481327819319,0.4718373790973548,1.0875034806285897,0.1612568507046438,-0.0196051271832849,0.0,-0.047477544174806964
161606,2022,1,2022-04-01,3559.0,2.8859452722796406,男,硕士,否,,0.8112231145519093,0.204556,0.10526,0.08608,0.044295,0.5712759657755836,,,,,,0.0265885486770213,0.1420698534528763,,,,0.1156185155012181,0.016241913938187,4.0,4.0,-0.1599248701266145,0.0386102298688264,-0.1624248701266145,0.013635607695607,0.1599248701266145,0.0182078989743278,0.0034390695015883,-0.002619648951114,-0.0808668140227332,0.0012730951938115,0.0168792771246358,-0.1673966005746484,0.0025,-0.1190123728522933,0.0410961120889667,0.1902925160544236,-0.009162629710109,0.0804329496989201,0.0038432290142346,28.09,174.77121345207,174.77121345207,0.2490783752864131,0.4527168356680052,0.0406811704022001,-0.0287370859820355,3.335413641116152,-0.1624248701266145,0.4348828324189916,1.027434086067318,0.138682684479991,-0.0334365278121828,0.0,0.06401591464074047
