fund_code,基本面优势,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha_in,quarter_return,excess_return,abnormal_alpha,grp,score_pct
7450,0.4898147898400978,-0.6523204654787698,-0.16007619398013498,-0.6586753399982932,0.6900242634043003,0.3859149109183681,0.015780327450928045,0.0004539353657697082,0.126096775479375,0.12359677547937498,0.006448586984705118,Q3,0.5398773006134969
7490,-0.22690308721507024,-0.001102459630431818,1.75737912618023,-0.043022221649207715,-0.5759147340247625,-0.39530148917856067,0.08585585574703286,0.00265539908075134,0.3170762514612437,0.31457625146124363,0.23592862121188682,Q4,0.6042944785276073
7491,0.15267196019079365,-0.012023698070940142,1.847023386029206,-0.01492596496230364,-0.46876345749378734,-0.452980354231202,0.1751669785769611,0.0006371142704216495,0.31420327206582777,0.31170327206582776,0.23342552789936466,Q4,0.6993865030674846
7639,0.3074521951464703,-0.315193169663495,-0.5238755613491907,0.19344554355714097,0.18827257145706766,0.08048222926700838,-0.011569365264166381,-0.010358125334021681,0.2607739426751781,0.2582739426751781,0.19021217820346067,Q3,0.50920245398773
7731,0.5010646026885023,-0.16913510198794057,0.8304487971073748,-0.06656396856025859,0.9996110490093839,-0.10349194111775306,0.3319889061898848,0.005940116646147333,0.15497102441118202,0.15247102441118202,0.09261633126562209,Q5最高,0.8404907975460123
7895,0.16921595690219085,-0.07520073984897119,-0.5468432299976297,-0.05504573796113987,-0.7459499143956435,-1.0717706379123824,-0.38759905053559596,-0.006726859331911199,0.12007076020906876,0.11757076020906876,0.0797803265036214,Q1最低,0.1165644171779141
8185,0.7686211447684327,-0.5600736408569967,-0.711354942514546,0.3270849291987954,-0.3249980796024155,0.5661754791566045,0.010909148358312396,-0.03605547843815316,0.2870610272451157,0.2845610272451157,0.2621580924865763,Q3,0.5337423312883436
8208,0.21736190799448116,-0.5090927072293657,-0.03271248024184134,-0.15093608387999924,0.4204826437292299,0.28326731053595894,0.03806176515141061,0.022759939206878438,0.12768663668345875,0.12518663668345875,0.05664804575556026,Q3,0.5644171779141104
8467,0.26991143625217656,-0.5795486872042814,-0.11178071467124731,-0.23142308498926883,0.30450791950654893,0.17523899479014782,-0.028849022719320706,0.01879100965948976,0.1208778970726569,0.11837789707265689,0.052209402580771426,Q3,0.5
8528,0.5678818285301511,0.11002294576835753,-1.532200297931581,0.3526501814045888,-0.7066303327558222,0.8596465068328861,-0.05810486135856994,-0.017367979749116982,0.3608756140542985,0.35837561405429846,0.2794267396449721,Q3,0.46932515337423314
8555,0.9151727317847179,-0.13897220264479093,-0.710247776916696,-0.2283163040411652,-0.8190101984356623,0.06349973415334442,-0.15297900268337536,-0.007391750253872057,0.33137714528580214,0.32887714528580214,0.24419459616880523,Q2,0.35276073619631904
8734,0.6262147870879672,-0.17967921470269993,0.2804159937279016,0.4761737852495629,0.5488358767099893,0.46140108140395913,0.3688937182461134,0.00946617263053713,0.27545270152704376,0.2729527015270437,0.22100356556906772,Q5最高,0.8680981595092024
8988,0.9271905392415428,0.4393142678599783,-0.3861233633640557,-0.5960774410438396,0.5358574748994912,1.4244515166026617,0.3907688323659631,0.02520967626537748,0.37190699915492714,0.3694069991549272,0.2806294327751964,Q5最高,0.8742331288343558
8989,0.9662652419377317,0.43944888935218257,-0.3861233633640557,-0.5932611994285966,0.4938996586663816,1.4244515166026617,0.39078012396105083,0.024190377006210344,0.3706318962995912,0.36813189629959125,0.27955502220713385,Q5最高,0.8773006134969326
9049,-0.07941772191668946,-0.18636962914077532,0.07681459193977,0.17434829871355395,0.9088814305961006,1.2103053745757864,0.3507603907946244,0.019950198841077217,0.2357279233389082,0.2332279233389082,0.08976484891967174,Q5最高,0.8619631901840491
9062,0.7534731903350605,0.11895224477024202,-0.3305440952123829,0.17505036837067522,0.028844558298920974,0.7497028448642915,0.24924651857113456,0.008256656133426462,0.2968641962601279,0.29436419626012783,0.16295763686924875,Q4,0.7699386503067485
9063,0.9110398928752851,0.13123954090950093,-0.32626529515266955,0.17519761874733453,0.12473445496794326,0.8420294281615691,0.3096626067514939,0.006240551807833246,0.2942922822742067,0.29179228227420667,0.16066224894533912,Q5最高,0.8220858895705522
9242,1.0060439390410156,-0.8428246534563417,-0.36901565483682264,0.09165248851721142,0.34157227016650377,1.9611246526555228,0.36475884034784817,-0.0011178521382918518,0.2571280975394122,0.25462809753941223,0.20009574466419863,Q5最高,0.8650306748466258
9243,1.1164553061525881,-1.003609893819974,-0.367722372147955,0.09068091717726012,0.2799462900014172,1.9611246526555228,0.34614581666980987,-0.0022111306802621894,0.25586654754827676,0.25336654754827675,0.19882630614346533,Q5最高,0.852760736196319
9707,0.6395868983115894,-0.2995969524454211,-1.0377253821140093,-0.9676627686709788,0.32711460804552717,0.5699880982956159,-0.12804924976294613,0.0193771423609735,0.3040516183423297,0.3015516183423297,0.1348892828539943,Q2,0.3803680981595092
9708,0.7637502636429812,-0.29923865420643964,-1.0377253821140093,-0.9676627686709788,0.28212511525736494,0.5699880982956159,-0.11479388796591093,0.018368580489969824,0.30261418380018906,0.3001141838001891,0.13355142069835724,Q2,0.3987730061349693
9808,0.15556803253573284,-0.46147216409272424,0.5514873896353247,-0.11888232066227611,-0.6015580411629746,0.9081457133358488,0.07221476826482191,0.005300036509319184,0.3097566954485631,0.3072566954485631,0.2512346562991095,Q3,0.588957055214724
9855,1.1333444965280428,0.6638199923059487,-0.7267928800411056,0.5271738716341479,-0.09893904199412673,0.903909111094169,0.4004192582545127,0.026271620474236413,0.31255667467579507,0.3100566746757951,0.2768558485007826,Q5最高,0.8834355828220859
9856,1.1356619869567088,0.6629544337114035,-0.7267928800411056,0.5274688641238431,-0.14663346381994283,0.903909111094169,0.39276134200417934,0.025200627664411668,0.3112236016671201,0.30872360166712015,0.27562341912180427,Q5最高,0.8803680981595092
9913,0.8647220941302004,-0.20884220638557247,0.5746947814614142,-0.7057719087773198,-0.01018956924721238,0.4022482093297089,0.15281023341853647,0.01664696346046775,0.26084167592529867,0.2583416759252987,0.10473772785420511,Q4,0.6809815950920245
9993,0.41785445265785714,-0.848896100748548,0.3572761044692505,0.755328115678734,-0.76968353477343,1.0474016328388522,0.15988011168711933,-0.006573423921214083,0.27537412400587663,0.2728741240058767,0.22803355059995503,Q4,0.6932515337423313
10115,0.2491979081434074,-0.24802105234542526,0.07576689672886419,0.4875361718924569,-0.33930700143684,1.1446117412362224,0.2282974440364476,0.005393715923713567,0.32984149189647705,0.32734149189647704,0.24681527286374674,Q4,0.7515337423312883
10237,1.0049302294057034,-0.5340791029484647,2.421587899655876,-0.18884201642197085,-1.7612004068274523,0.555868647503072,0.2497108750611273,-0.030604873025858872,0.3211875250675441,0.3186875250675441,0.2254095622420008,Q4,0.7730061349693251
10238,0.9926037561452725,-0.5464783317868536,2.421100736026283,-0.1874664116491055,-1.8137710732528263,0.6545158307589969,0.2534174177069612,-0.03181905246281746,0.3196790828311346,0.31717908283113466,0.22406445821846452,Q4,0.7760736196319018
10335,0.9461986998437636,-0.6320446658066976,0.34836319274977134,-0.04824677706587788,-2.2048599155095947,0.26816388993110574,-0.2204042626429216,-0.039497419326699035,0.3003492292498265,0.29784922924982654,0.168688266138604,Q2,0.27607361963190186
10389,0.566079142928225,-0.538895164791047,-0.8961529400242815,0.07955936259477431,-0.44146408350108707,0.93642754595552,-0.049074356139649354,-0.009571830192644345,0.15117534848314937,0.14867534848314937,0.10559683390298985,Q3,0.4785276073619632
10390,1.0689504638408218,-0.7599072763883394,-0.9043597735981115,0.08285692078282869,-0.5580236887296178,0.8108856480381595,-0.04326628434237647,-0.01152277857923922,0.14858777362075562,0.14608777362075562,0.10315215903337042,Q3,0.49079754601226994
10415,1.067762813585275,-0.18323643242759927,-1.3860858300446512,-0.38301823224963105,-2.310803765794336,0.9146751643218795,-0.3801177137681771,-0.04099919242308334,0.36536316002631425,0.3628631600263142,0.2968715228519941,Q1最低,0.1196319018404908
10416,1.1704439128607522,-0.18459982408469958,-1.3860858300446512,-0.38133540791597,-2.3623087354529297,0.9146751643218795,-0.37153512005260314,-0.04221232998909332,0.363934421610256,0.3614344216102561,0.29554041290725513,Q1最低,0.12883435582822086
10912,0.8837692422756945,0.5170463903433541,1.4983981471124408,0.8860249764322183,-1.6840194918262534,0.5839582839835282,0.44752959138683046,-0.0010021895111470072,0.2787241444592356,0.27622414445923565,0.19521053753446546,Q5最高,0.911042944785276
10913,1.1370362456452876,0.5358457253977329,1.4982892761383595,0.8871140153570709,-1.741810215756929,0.5712136707548873,0.48128145292273494,-0.002265738287189002,0.27712523132751093,0.274625231327511,0.19389303476921183,Q5最高,0.9294478527607362
11120,1.1008113462794713,-0.029915560729356527,1.1551282489702284,-0.057140657283415,-2.112814030648366,0.6096192941136956,0.11094810678370964,-0.02164244615042842,0.3570718139831898,0.35457181398318977,0.31036038736901755,Q4,0.6349693251533742
