fund_code,risk_asym,de,oc_conf,rc_mom,anchor_high,ICI,ISDI,AS_improved,ARG,return_volatility,rsstab_lag,mppm8_lag,sortino8_lag,sharpe8_lag,SDI,lsv,TO_wind_clean,mgr_total_tenure_v2,log_fund_age,log_aum,timing,基金经理人,gender,education,CFA,school,male,has_CFA,master_up,top_school,ff3_alpha,ff5_alpha,ex_hs300
601,0.03084987768318261,-0.17191445153743445,14.444646846206773,0.14168924092035964,0.8694516132244097,0.22555872000000002,0.33531610321716726,0.7892189536825613,0.05980666482528271,0.1386085316855748,-0.028867610063810445,0.022254650901903223,-0.2935322807505969,0.0512078159582109,0.3401749300138803,0.07869339332845836,286.21728979383397,899.04,2.16272087546244,2.356721956962257,1.330915203933085,张金涛,男,硕士,否,,1.0,0.0,1.0,,0.033700192721252,0.0247740204065876,0.034313605195796654
742,0.05836799048319177,-0.17608558355806408,-3.7283648108536784,0.024658507042273004,0.8724490555391367,0.301842641025641,0.3811846112402537,0.7280709249835787,0.20269987018756816,0.16940434879084276,-0.03926895763901797,-0.025533835187116362,0.5301991361385903,0.13254678320081356,0.0,0.0732700377794576,257.59677838120274,1786.1333333333334,1.4190277587529834,2.177352831550658,0.4856798329289721,彭凌志,男,硕士,否,上海交通大学,1.0,0.0,1.0,1.0,0.0281181015954057,0.0094496121602618,0.01318311253547661
800,0.014541543234209638,-0.0486722542901449,-13.69181777146886,0.11805669655088695,0.83546108231107,0.14996656,0.3462016794947928,0.7707269761496025,0.06243484554770312,0.10817073291001449,-0.021455707517521138,-0.020012121296062918,0.04828450086918433,0.053699525343317824,0.32705549740875905,0.09816293413850846,176.92559568380162,675.0,2.11215221797976,1.8403212441242596,0.5455421623816795,王毅文,男,硕士,否,,1.0,0.0,1.0,,0.0182356454597942,0.0043489068422433,0.017501507992484514
823,0.008117449783433338,-0.21186099698488992,-2.2436868943268844,0.07312883930315128,0.8478942980982974,0.19624025,0.22132265781983948,0.7834840150848473,0.17302806134570772,0.14133752397404756,-0.03241488330975783,-0.0916859750805977,0.242495558740371,0.07024918302790537,0.0,0.06461310309038196,427.4021259340054,766.1521739130435,1.4535754779649688,1.3759950259194624,-0.2843810674989484,薄官辉、王浩,,,,,,,,,0.0229608959969406,0.0094689412426303,0.004791601323892946
845,0.04613344599267909,-0.11435513112899513,7.499726097187085,0.05342645730610871,0.8494261217467447,0.1514728611111111,0.4605883000377105,0.7144220553027235,0.14240290564226404,0.09930175633257661,-0.028336729370400163,-0.05403466657253101,-0.5659176999700999,-0.15893221399781599,0.0,0.06302473506190455,267.86122834750495,478.89130434782606,1.4237208373241017,0.390715379615172,0.6993101944302035,马柯,男,硕士,否,,1.0,0.0,1.0,,0.0086695196208126,-0.0096163974742206,-0.01062129531155301
940,0.007965897699536149,-0.14416606219729414,-22.035077680865456,0.1287527604607435,0.8258978800395237,0.20017172,0.3674849393151374,0.7833488541809029,0.08288911812759933,0.11582346786264643,-0.032951207591903585,0.08126663783674315,-0.03998605819491826,0.3784991756784442,0.41375300096005024,0.08478183424463222,318.773122360923,2990.72,2.0772352769452316,2.266112131842136,1.3585508757733038,曹晋,男,硕士,否,,1.0,0.0,1.0,,0.0566502054988395,0.040730266272866,0.0510782814199603
1000,0.0734276793208023,-0.2886383878522803,2.4947913310024545,0.14500056059386668,0.8382059380706676,0.33292532,0.30263619342453313,0.8199296322605376,0.056898548881783785,0.15634745482432147,-0.030204768453479552,-0.046104955313213535,0.18444287371944926,-0.061504491184229834,0.27300889506288833,0.09519643528157307,149.20091590761353,1724.72,2.075120020312255,2.982470076302596,2.104864005561097,代云锋,男,硕士,否,,1.0,0.0,1.0,,0.027652055366537,0.0275394459193409,0.022094912023931303
1037,0.0038495243522782326,-0.06266384724930715,-13.312432406611805,0.17018413039801483,0.8241548262838065,0.16409255172413792,0.2713993541931527,0.8573802094302146,0.17749320168826793,0.1330344012604202,-0.032902265687682605,-0.0795585927139612,-0.2916157485900649,0.01702992068569813,0.0,0.11366137746808248,182.47089928158624,500.26666666666665,1.463343427416543,1.7375108865632418,0.496290269576866,马柯,男,硕士,否,,1.0,0.0,1.0,,0.0224540946746953,0.0044610465246065,0.009251147454831594
1060,0.005477406209394208,-0.20931545832665327,1.9438656026830063,0.03681641054448953,0.8112286529164101,0.30308562162162167,0.23185782622852816,0.6920358099567425,0.183017723909149,0.08194333210654467,-0.02633965375044653,-0.0054202940358954385,0.2046022636759585,0.149922764296425,0.0,0.06195661933751434,204.64013554409328,498.6818181818182,1.4676440149764238,0.790644916206617,0.4414727840675,魏淳,女,硕士,否,香港中文大学,0.0,0.0,1.0,0.0,0.0202409043648848,0.0193381303205619,0.013604041438561537
1075,0.017510511067497368,-0.07134544114052349,-0.36141812277100005,0.02248687411360719,0.8262047828046326,0.14595566666666668,0.26742607620626685,0.8032537084239283,0.19290066579962034,0.15271369629104983,-0.034575522654240236,-0.05661325236153656,0.11711160645150838,0.11532808291051706,0.0,0.10131916971813695,174.70925756296106,353.3636363636364,1.4297158999984871,2.503529917557646,0.2144222634713247,容志能、叶秀贤,,,,,,,,,0.0342712774812112,0.0193667332588229,0.02868672211852551
1076,0.04743707612078009,-0.16681613479478144,5.049567158517214,0.30156986254883605,0.8018685497878199,0.22916748,0.24022411912000932,0.8126996422607042,0.05212886739530989,0.13502720714440225,-0.030544486441660676,0.044401831075650655,0.523093905860904,0.1214988191963642,0.38507579544006804,0.07757136477295573,124.72863195168287,1230.64,2.0449992070676406,2.7441699606636427,1.8121522437117343,陈皓,男,硕士,否,,1.0,0.0,1.0,,0.0471314475187115,0.0359882904287955,0.04365558461707795
