quarter_end,nav,quarter_return,year_quarter,mkt
2022-06-30,3.0667,0.0837161636864796,2022Q2,0.06180385220257901
2022-09-30,2.6195,-0.145824501907588,2022Q3,-0.1148322001626977
2022-12-31,2.6548,0.013475854170643231,2022Q4,0.030915264337314206
2023-03-31,2.7602,0.03970167244236866,2023Q1,0.0644007612525877
2023-06-30,2.6498,-0.03999710165930015,2023Q2,-0.013633149684269616
2023-09-30,2.5756,-0.0280021133670465,2023Q3,-0.0243925601199987
2023-12-31,2.3938,-0.07058549464202513,2023Q4,-0.03855108613301727
2024-03-31,2.3799,-0.005806667223661188,2024Q1,0.01150129281475235
2024-06-30,2.3521,-0.011681163074078738,2024Q2,-0.0214329610010002
2024-09-30,2.5975,0.10433229879681982,2024Q3,0.1510693792013932
2024-12-31,2.4233,-0.06706448508180951,2024Q4,0.022726887647897893
2025-03-31,2.5095,0.03557132835389765,2025Q1,0.008014267849369303
2025-06-30,2.4492,-0.024028690974297717,2025Q2,0.044526752780127195
2025-09-30,2.8766,0.17450596113016492,2025Q3,0.1414132682915976
2025-12-31,2.9087,0.011159007161232193,2025Q4,0.024075874648947837
2026-03-31,2.8561,-0.018083679994499224,2026Q1,-0.006577019764142822
2026-06-30,3.2688,0.1444977416757116,2026Q2,
2026-09-30,3.0539,-0.06574278022515911,2026Q3,
