date,nav,daily_return,fund_code
2026-07-10,2.806,0.29,160605
2026-07-13,2.752,-1.92,160605
2026-07-14,2.785,1.2,160605
2026-07-15,2.795,0.36,160605
2026-07-16,2.691,-3.72,160605
2026-07-17,2.623,-2.53,160605
2026-07-20,2.668,1.72,160605
2026-07-21,2.71,1.57,160605
2026-07-22,2.762,1.92,160605
2026-07-23,2.811,1.77,160605
2026-07-24,2.729,-2.92,160605
2026-07-27,2.782,1.94,160605
2026-07-28,2.751,-1.11,160605
2026-07-29,2.798,1.71,160605
2026-07-30,2.821,0.82,160605
2026-07-31,2.833,0.43,160605
2026-08-03,2.797,-1.27,160605
2020-01-02,2.251,2.5046,161810
2020-01-03,2.243,-0.3554,161810
2020-01-06,2.262,0.8471,161810
2020-01-07,2.317,2.4315,161810
2020-01-08,2.289,-1.2085,161810
2020-01-09,2.321,1.398,161810
2020-01-10,2.305,-0.6894,161810
2020-01-13,2.363,2.5163,161810
2020-01-14,2.358,-0.2116,161810
2020-01-15,2.357,-0.0424,161810
2020-01-16,2.343,-0.594,161810
2020-01-17,2.361,0.7682,161810
2020-01-20,2.407,1.9483,161810
2020-01-21,2.373,-1.4125,161810
2020-01-22,2.395,0.9271,161810
2020-01-23,2.273,-5.0939,161810
2020-02-03,2.087,-8.183,161810
2020-02-04,2.157,3.3541,161810
2020-02-05,2.222,3.0134,161810
2020-02-06,2.295,3.2853,161810
2020-02-07,2.372,3.3551,161810
2020-02-10,2.383,0.4637,161810
2020-02-11,2.362,-0.8812,161810
2020-02-12,2.422,2.5402,161810
2020-02-13,2.42,-0.0826,161810
2020-02-14,2.44,0.8264,161810
2020-02-17,2.522,3.3607,161810
2020-02-18,2.568,1.8239,161810
2020-02-19,2.593,0.9735,161810
2020-02-20,2.657,2.4682,161810
2020-02-21,2.704,1.7689,161810
2020-02-24,2.775,2.6257,161810
2020-02-25,2.806,1.1171,161810
2020-02-26,2.694,-3.9914,161810
2020-02-27,2.705,0.4083,161810
2020-02-28,2.572,-4.9168,161810
2020-03-02,2.671,3.8491,161810
2020-03-03,2.715,1.6473,161810
2020-03-04,2.689,-0.9576,161810
2020-03-05,2.769,2.9751,161810
2020-03-06,2.747,-0.7945,161810
