stock_code,bench_weight,benchmark
600299,0.00035999999999999997,000905
600312,0.0017100000000000001,000905
600316,0.00115,000905
600329,0.00116,000905
600332,0.00167,000905
600339,0.00061,000905
600348,0.00166,000905
600350,0.00082,000905
600352,0.00368,000905
600363,0.00099,000905
600369,0.00178,000905
600377,0.00064,000905
600378,0.00219,000905
600380,0.0012,000905
600390,0.0012,000905
600392,0.00309,000905
600398,0.00161,000905
600435,0.0012,000905
600483,0.0012900000000000001,000905
600486,0.00146,000905
600497,0.00295,000905
600498,0.0028699999999999997,000905
600499,0.00202,000905
600511,0.00114,000905
600516,0.00156,000905
600517,0.0009299999999999999,000905
600521,0.00187,000905
600535,0.00128,000905
600536,0.00197,000905
600546,0.00133,000905
600562,0.00128,000905
600563,0.00197,000905
600566,0.00105,000905
600578,0.00123,000905
600582,0.0008699999999999999,000905
600583,0.00135,000905
600595,0.00202,000905
600598,0.00094,000905
600601,0.00293,000905
600602,0.00121,000905
600606,0.00058,000905
600637,0.0017699999999999999,000905
600642,0.00178,000905
600655,0.00096,000905
600663,0.00101,000905
600685,0.00117,000905
600688,0.00067,000905
600699,0.00215,000905
600704,0.00167,000905
600707,0.0011899999999999999,000905
600711,0.0034999999999999996,000905
600737,0.0014299999999999998,000905
600754,0.00095,000905
600763,0.00123,000905
600764,0.00057,000905
600765,0.00158,000905
600801,0.00128,000905
600808,0.00067,000905
600816,0.00107,000905
600820,0.00133,000905
600848,0.00091,000905
600862,0.00167,000905
600863,0.00165,000905
600871,0.00097,000905
600873,0.0017000000000000001,000905
600879,0.0040999999999999995,000905
600884,0.00244,000905
600885,0.00469,000905
600901,0.00161,000905
600906,0.00089,000905
600909,0.00245,000905
600927,0.00041,000905
600967,0.00105,000905
600968,0.0008500000000000001,000905
600970,0.00111,000905
600977,0.00099,000905
600985,0.0017399999999999998,000905
600988,0.007019999999999999,000905
600995,0.00132,000905
600998,0.0013800000000000002,000905
601000,0.00153,000905
601001,0.00147,000905
601016,0.00148,000905
601019,0.0005,000905
601098,0.00084,000905
601099,0.00251,000905
601106,0.00113,000905
601108,0.0029,000905
601112,0.00031,000905
601118,0.00091,000905
601128,0.0025,000905
601139,0.0006,000905
601155,0.00108,000905
601156,0.00116,000905
601162,0.0027900000000000004,000905
601179,0.00364,000905
601198,0.0028599999999999997,000905
601212,0.00158,000905
601216,0.0017100000000000001,000905
601228,0.0005,000905
601233,0.0034100000000000003,000905
601236,0.00107,000905
601298,0.00068,000905
601399,0.0010199999999999999,000905
601555,0.00344,000905
601567,0.00124,000905
601577,0.00245,000905
601598,0.00108,000905
601608,0.00091,000905
601611,0.00136,000905
601615,0.00215,000905
601665,0.00292,000905
601666,0.00126,000905
601696,0.0021,000905
601699,0.00193,000905
601717,0.0018599999999999999,000905
601799,0.00151,000905
601808,0.0008,000905
601865,0.0010199999999999999,000905
601866,0.0010299999999999999,000905
601869,0.0035299999999999997,000905
601880,0.0011899999999999999,000905
601928,0.00082,000905
601958,0.00217,000905
601966,0.00091,000905
601990,0.0016,000905
601991,0.00234,000905
601997,0.0018,000905
603000,0.00099,000905
603049,0.0005099999999999999,000905
603077,0.00156,000905
603087,0.00263,000905
603092,0.00018999999999999998,000905
603119,0.0013800000000000002,000905
603129,0.0035099999999999997,000905
603156,0.00208,000905
603160,0.00156,000905
603175,0.00037999999999999997,000905
603179,0.0020599999999999998,000905
603225,0.0017499999999999998,000905
603233,0.00092,000905
603256,0.00247,000905
603290,0.0010299999999999999,000905
603298,0.00157,000905
603308,0.00217,000905
603338,0.00159,000905
603341,0.0011,000905
603345,0.00197,000905
603379,0.00196,000905
603444,0.00179,000905
603486,0.0015,000905
603529,0.0006,000905
603565,0.00121,000905
603568,0.00134,000905
603589,0.0009299999999999999,000905
603596,0.0017499999999999998,000905
603605,0.00155,000905
603606,0.00217,000905
603650,0.0014199999999999998,000905
603658,0.0006,000905
603659,0.00271,000905
603688,0.00121,000905
603699,0.00151,000905
603728,0.0011,000905
