fund_code,year,quarter,industry_hhi,hhi_normalized,ICI,ICI_normalized,industry_count,industry_max_pct,total_weight_pct
31,2024,4,0.03131,0.063372,0.060519,0.122491,17,17.4,70.29
31,2025,1,0.043212,0.087412,0.067588,0.136722,7,16.12,70.31
31,2025,2,0.050971,0.068901,0.10435,0.141056,15,22.34,86.01
31,2025,3,0.046984,0.107274,0.082949,0.18939,6,24.66,66.18
31,2025,4,0.052015,0.071087,0.092134,0.125916,18,22.88,85.54
31,2026,1,0.030225,0.108581,0.045949,0.165069,7,17.91,52.76
31,2026,2,0.041414,0.110284,0.048186,0.128316,8,16.63,61.28
61,2018,2,0.015342,0.044631,0.035892,0.104415,19,17.38,58.63
61,2018,4,0.008291,0.01969,0.012213,0.029004,28,7.15,64.89
61,2019,2,0.014479,0.02203,0.023547,0.035828,25,9.69,81.07
61,2019,4,0.015496,0.021296,0.032652,0.044876,25,10.68,85.3
61,2020,1,0.015,0.090422,0.028138,0.169616,7,11.94,40.73
61,2020,2,0.023889,0.035193,0.052202,0.076902,21,16.61,82.39
61,2020,3,0.01835,0.109053,0.022685,0.134816,7,8.69,41.02
61,2020,4,0.023767,0.034268,0.070341,0.101421,26,23.25,83.28
61,2021,1,0.019815,0.113245,0.028364,0.162106,7,13.8,41.83
61,2021,2,0.028504,0.034933,0.082417,0.101007,28,22.33,90.33
61,2021,3,0.009814,0.092632,0.011132,0.105065,9,6.19,32.55
61,2021,4,0.013667,0.024784,0.043037,0.078044,27,15.44,74.26
61,2022,1,0.009537,0.09192,0.01414,0.136287,8,8.21,32.21
61,2022,2,0.018967,0.022302,0.06765,0.079546,24,18.39,92.22
61,2022,3,0.007573,0.101838,0.015306,0.205822,5,8.59,27.27
61,2022,4,0.012376,0.019116,0.066189,0.10224,22,22.62,80.46
61,2023,1,0.00736,0.094478,0.022171,0.284618,6,14.31,27.91
61,2023,2,0.017147,0.020058,0.092439,0.108131,23,22.86,92.46
61,2023,3,0.011141,0.096148,0.03238,0.279446,5,15.66,34.04
61,2023,4,0.01697,0.020475,0.09953,0.120085,22,25.73,91.04
61,2024,1,0.007978,0.103602,0.025112,0.326105,4,12.69,27.75
61,2024,2,0.017627,0.020835,0.106301,0.125646,22,27.04,91.98
61,2024,3,0.012008,0.107125,0.033213,0.296303,4,15.87,33.48
61,2024,4,0.018133,0.023464,0.10691,0.138338,17,27.63,87.91
61,2025,1,0.010671,0.106936,0.018149,0.181867,7,11.81,31.59
61,2025,2,0.017593,0.021657,0.084189,0.103638,14,22.91,90.13
