fund_code,report_date,stock_code,stock_name,hold_ratio,hold_shares,hold_value,year,quarter
320005,2019-12-31,002475,立讯精密,4.64,209.40,7643.09,2019,4
320005,2019-12-31,002555,三七互娱,2.20,134.41,3619.66,2019,4
320005,2019-12-31,002567,唐人神,1.57,289.60,2594.78,2019,4
320005,2019-12-31,002597,金禾实业,0.15,10.74,242.75,2019,4
320005,2019-12-31,002601,龙佰集团,0.67,71.81,1105.17,2019,4
320005,2019-12-31,002605,姚记科技,2.06,174.74,3398.69,2019,4
320005,2019-12-31,002624,完美世界,0.90,33.64,1484.71,2019,4
320005,2019-12-31,002643,万润股份,0.68,74.13,1126.04,2019,4
320005,2019-12-31,002677,浙江美大,1.64,202.41,2704.17,2019,4
320005,2019-12-31,002714,牧原股份,4.07,75.48,6702.22,2019,4
320005,2019-12-31,002867,周大生,0.60,51.95,989.13,2019,4
320005,2019-12-31,002972,科安达,0.00,0.11,2.15,2019,4
320005,2019-12-31,002973,侨银股份,0.00,0.11,0.66,2019,4
320005,2019-12-31,300003,乐普医疗,2.50,124.52,4119.13,2019,4
320005,2019-12-31,300122,智飞生物,1.54,51.20,2542.62,2019,4
320005,2019-12-31,300383,光环新网,0.32,26.67,535.27,2019,4
320005,2019-12-31,300498,温氏股份,2.86,140.03,4705.08,2019,4
320005,2019-12-31,300596,利安隆,0.61,27.41,1006.17,2019,4
320005,2019-12-31,300639,凯普生物,0.11,7.24,176.85,2019,4
320005,2019-12-31,300685,艾德生物,0.28,6.94,463.86,2019,4
320005,2019-12-31,302132,中航成飞,1.20,173.86,1978.53,2019,4
320005,2019-12-31,600036,招商银行,2.06,90.34,3394.98,2019,4
320005,2019-12-31,600300,维维股份,0.30,168.61,497.40,2019,4
320005,2019-12-31,600309,万华化学,1.23,36.06,2025.49,2019,4
320005,2019-12-31,600352,浙江龙盛,0.60,68.23,987.29,2019,4
320005,2019-12-31,600438,通威股份,0.86,108.29,1421.85,2019,4
320005,2019-12-31,600519,贵州茅台,3.59,5.00,5915.00,2019,4
320005,2019-12-31,600729,重庆百货,2.91,160.57,4793.15,2019,4
320005,2019-12-31,600809,山西汾酒,2.53,46.47,4168.44,2019,4
320005,2019-12-31,600867,通化东宝,1.55,202.02,2555.55,2019,4
320005,2019-12-31,600887,伊利股份,1.68,89.24,2761.09,2019,4
320005,2019-12-31,601077,渝农商行,0.06,14.78,92.51,2019,4
320005,2019-12-31,601318,中国平安,1.39,26.82,2292.37,2019,4
320005,2019-12-31,601658,邮储银行,0.14,39.83,227.42,2019,4
320005,2019-12-31,601818,光大银行,0.58,216.50,954.77,2019,4
320005,2019-12-31,603109,神驰机电,0.00,0.07,1.81,2019,4
320005,2019-12-31,603369,今世缘,3.86,194.49,6363.87,2019,4
320005,2019-12-31,603501,韦尔股份,0.27,3.11,445.97,2019,4
320005,2019-12-31,603556,海兴电力,0.48,48.94,797.72,2019,4
320005,2019-12-31,603707,健友股份,0.79,31.52,1307.50,2019,4
320005,2019-12-31,603708,家家悦,3.69,249.77,6079.47,2019,4
320005,2019-12-31,603801,志邦家居,0.36,25.68,598.13,2019,4
320005,2019-12-31,603986,兆易创新,0.48,3.90,799.07,2019,4
320005,2019-12-31,688006,杭可科技,0.07,2.79,108.25,2019,4
320005,2019-12-31,688037,芯源微,0.01,0.30,17.86,2019,4
320005,2019-12-31,688078,龙软科技,0.01,0.28,11.79,2019,4
320005,2019-12-31,688081,兴图新科,0.01,0.32,8.89,2019,4
320005,2019-12-31,688181,八亿时空,0.01,0.43,18.94,2019,4
320005,2019-12-31,688199,久日新材,0.02,0.45,26.81,2019,4
320005,2019-12-31,688202,美迪西,0.01,0.21,10.77,2019,4
320005,2019-12-31,688357,建龙微纳,0.01,0.23,10.69,2019,4
320005,2019-12-31,688389,普门科技,0.01,0.69,9.40,2019,4
320005,2020-06-30,2120,韵达股份,2.91,185.19,"4,527.95",2020,2
320005,2020-06-30,2317,众生药业,0.63,57.62,988.76,2020,2
320005,2020-06-30,2332,仙琚制药,0.72,66.99,"1,128.11",2020,2
320005,2020-06-30,2398,垒知集团,0.01,1.04,11.01,2020,2
320005,2020-06-30,2475,立讯精密,6.85,207.95,"10,678.02",2020,2
320005,2020-06-30,2541,鸿路钢构,0.36,19.14,559.65,2020,2
320005,2020-06-30,2555,三七互娱,1.29,43.07,"2,015.68",2020,2
320005,2020-06-30,2602,世纪华通,1.75,177.81,"2,722.34",2020,2
320005,2020-06-30,2605,姚记科技,3.12,127.89,"4,859.90",2020,2
320005,2020-06-30,2607,中公教育,0.15,8.68,240.81,2020,2
320005,2020-06-30,2624,完美世界,2.00,53.94,"3,108.89",2020,2
320005,2020-06-30,2641,公元股份,2.41,559.31,"3,752.97",2020,2
320005,2020-06-30,2643,万润股份,0.69,62.52,"1,073.44",2020,2
320005,2020-06-30,2653,海思科,0.40,23.54,626.40,2020,2
320005,2020-06-30,2677,浙江美大,1.47,202.41,"2,283.16",2020,2
320005,2020-06-30,2697,红旗连锁,0.40,57.15,624.08,2020,2
320005,2020-06-30,2773,康弘药业,0.80,25.12,"1,245.95",2020,2
320005,2020-06-30,2810,山东赫达,1.12,51.79,"1,748.51",2020,2
320005,2020-06-30,2867,周大生,0.74,51.95,"1,151.73",2020,2
320005,2020-06-30,2918,蒙娜丽莎,0.32,16.91,505.78,2020,2
320005,2020-06-30,2950,奥美医疗,0.36,19.68,558.52,2020,2
320005,2020-06-30,300003,乐普医疗,2.44,104.27,"3,807.80",2020,2
320005,2020-06-30,300010,豆神教育,0.23,18.43,360.68,2020,2
320005,2020-06-30,300132,青松股份,0.15,10.26,237.01,2020,2
320005,2020-06-30,300144,宋城演艺,0.19,16.78,290.36,2020,2
320005,2020-06-30,300363,博腾股份,1.06,47.82,"1,652.66",2020,2
320005,2020-06-30,300383,光环新网,0.45,26.67,695.29,2020,2
320005,2020-06-30,300482,万孚生物,0.92,13.81,"1,436.03",2020,2
320005,2020-06-30,300502,新易盛,1.16,28.56,"1,802.71",2020,2
320005,2020-06-30,300558,贝达药业,0.58,6.51,911.27,2020,2
320005,2020-06-30,300568,星源材质,0.29,24.46,455.52,2020,2
320005,2020-06-30,300575,中旗股份,1.45,57.25,"2,260.72",2020,2
320005,2020-06-30,300599,雄塑科技,0.32,37.67,493.48,2020,2
320005,2020-06-30,300628,亿联网络,0.77,17.50,"1,194.81",2020,2
320005,2020-06-30,300685,艾德生物,1.68,34.10,"2,624.25",2020,2
320005,2020-06-30,300725,药石科技,1.73,21.75,"2,702.25",2020,2
320005,2020-06-30,300782,卓胜微,0.46,1.76,715.78,2020,2
320005,2020-06-30,300824,北鼎股份,0.00,0.20,2.68,2020,2
320005,2020-06-30,300837,浙矿股份,0.00,0.07,3.32,2020,2
320005,2020-06-30,300839,博汇股份,0.00,0.05,1.18,2020,2
320005,2020-06-30,300840,酷特智能,0.00,0.12,0.70,2020,2
320005,2020-06-30,300842,帝科股份,0.00,0.05,1.85,2020,2
320005,2020-06-30,300843,胜蓝股份,0.00,0.08,0.75,2020,2
320005,2020-06-30,300845,捷安高科,0.00,0.05,0.83,2020,2
320005,2020-06-30,300846,首都在线,0.00,0.11,0.38,2020,2
320005,2020-06-30,300847,中船汉光,0.00,0.14,0.99,2020,2
320005,2020-06-30,568,泸州老窖,4.34,74.19,"6,759.78",2020,2
320005,2020-06-30,600305,恒顺醋业,0.84,70.32,"1,304.51",2020,2
320005,2020-06-30,600315,上海家化,0.32,10.48,501.88,2020,2
320005,2020-06-30,600380,健康元,1.28,123.01,"1,997.61",2020,2
320005,2020-06-30,600452,涪陵电力,0.32,35.07,506.02,2020,2
320005,2020-06-30,600519,贵州茅台,5.44,5.79,"8,470.08",2020,2
320005,2020-06-30,600690,海尔智家,0.33,28.74,508.70,2020,2
320005,2020-06-30,600809,山西汾酒,5.24,56.36,"8,172.33",2020,2
320005,2020-06-30,600887,伊利股份,0.96,47.85,"1,489.57",2020,2
320005,2020-06-30,600956,新天绿能,0.00,0.25,1.28,2020,2
320005,2020-06-30,600998,九州通,0.27,22.44,417.83,2020,2
320005,2020-06-30,601816,京沪高铁,0.36,90.65,559.33,2020,2
320005,2020-06-30,601872,招商轮船,0.62,186.57,967.35,2020,2
320005,2020-06-30,601933,永辉超市,0.13,21.29,199.70,2020,2
320005,2020-06-30,603010,万盛股份,0.64,71.21,997.68,2020,2
320005,2020-06-30,603087,甘李药业,0.01,0.11,10.79,2020,2
320005,2020-06-30,603181,皇马科技,0.40,27.31,619.94,2020,2
320005,2020-06-30,603233,大参林,0.49,9.38,762.17,2020,2
320005,2020-06-30,603236,移远通信,0.48,3.56,741.31,2020,2
320005,2020-06-30,603259,药明康德,0.36,5.86,566.08,2020,2
320005,2020-06-30,603369,今世缘,5.14,201.41,"8,014.29",2020,2
320005,2020-06-30,603520,司太立,0.55,10.26,862.62,2020,2
320005,2020-06-30,603538,美诺华,2.45,74.84,"3,815.34",2020,2
320005,2020-06-30,603707,健友股份,0.40,9.68,625.12,2020,2
320005,2020-06-30,603708,家家悦,3.83,121.30,"5,975.26",2020,2
320005,2020-06-30,603737,三棵树,0.45,7.66,706.22,2020,2
320005,2020-06-30,603801,志邦家居,0.44,25.68,685.45,2020,2
320005,2020-06-30,603987,康德莱,1.68,151.08,"2,615.25",2020,2
320005,2020-06-30,661,长春高新,4.02,14.38,"6,259.61",2020,2
320005,2020-06-30,688027,国盾量子,0.01,0.28,10.24,2020,2
320005,2020-06-30,688037,芯源微,0.02,0.30,38.49,2020,2
320005,2020-06-30,688058,宝兰德,0.36,3.98,565.00,2020,2
320005,2020-06-30,688078,龙软科技,0.01,0.28,11.58,2020,2
320005,2020-06-30,688090,瑞松科技,0.01,0.30,17.91,2020,2
320005,2020-06-30,688106,金宏气体,0.07,2.61,107.85,2020,2
320005,2020-06-30,688186,广大特材,0.02,0.80,27.43,2020,2
320005,2020-06-30,688222,成都先导,0.03,0.92,40.21,2020,2
320005,2020-06-30,688277,天智航,0.01,0.88,10.61,2020,2
320005,2020-06-30,688377,迪威尔,0.01,0.79,12.96,2020,2
320005,2020-06-30,688388,嘉元科技,0.13,3.55,200.17,2020,2
320005,2020-06-30,688505,复旦张江,0.05,2.27,77.21,2020,2
320005,2020-06-30,688518,联赢激光,0.03,1.41,38.99,2020,2
320005,2020-06-30,688520,神州细胞,0.06,1.24,93.27,2020,2
320005,2020-06-30,688528,秦川物联,0.01,0.83,9.45,2020,2
320005,2020-06-30,688555,退市泽达,0.02,0.30,23.43,2020,2
320005,2020-06-30,688558,国盛智科,0.02,0.85,37.60,2020,2
320005,2020-06-30,688568,中科星图,0.01,1.10,17.86,2020,2
320005,2020-06-30,688600,皖仪科技,0.01,0.55,8.48,2020,2
320005,2020-06-30,810,创维数字,0.70,90.93,"1,098.41",2020,2
320005,2020-06-30,858,五粮液,2.60,23.66,"4,048.20",2020,2
320005,2020-12-31,2080,中材科技,2.26,142.11,"3,436.22",2020,4
320005,2020-12-31,2241,歌尔股份,0.69,28.24,"1,053.92",2020,4
320005,2020-12-31,2304,洋河股份,1.14,7.31,"1,725.09",2020,4
320005,2020-12-31,2332,仙琚制药,0.59,66.99,894.99,2020,4
