stock_code,stock_name,weight,index_code
688065,凯赛生物,0.002,000905
688099,晶晨股份,0.002,000905
688114,华大智造,0.002,000905
688120,华海清科,0.002,000905
688122,西部超导,0.002,000905
688166,博瑞医药,0.002,000905
688169,石头科技,0.002,000905
688172,燕东微,0.002,000905
688180,君实生物,0.002,000905
688187,时代电气,0.002,000905
688188,柏楚电子,0.002,000905
688192,迪哲医药,0.002,000905
688200,华峰测控,0.002,000905
688213,思特威,0.002,000905
688220,翱捷科技,0.002,000905
688234,天岳先进,0.002,000905
688235,百济神州,0.002,000905
688248,南网科技,0.002,000905
688266,泽璟制药,0.002,000905
688278,特宝生物,0.002,000905
688281,华秦科技,0.002,000905
688295,中复神鹰,0.002,000905
688297,中无人机,0.002,000905
688301,奕瑞科技,0.002,000905
688313,仕佳光子,0.002,000905
688318,财富趋势,0.002,000905
688322,奥比中光,0.002,000905
688331,荣昌生物,0.002,000905
688336,三生国健,0.002,000905
688343,云天励飞,0.002,000905
688347,华虹宏力,0.002,000905
688349,三一重能,0.002,000905
688361,中科飞测,0.002,000905
688363,华熙生物,0.002,000905
688375,国博电子,0.002,000905
688385,复旦微电,0.002,000905
688387,信科移动,0.002,000905
688411,海博思创,0.002,000905
688425,铁建重工,0.002,000905
688469,芯联集成,0.002,000905
688475,萤石网络,0.002,000905
688498,源杰科技,0.002,000905
688520,神州细胞,0.002,000905
688538,和辉光电,0.002,000905
688561,奇安信,0.002,000905
688563,航材股份,0.002,000905
688568,中科星图,0.002,000905
688578,艾力斯,0.002,000905
688582,芯动联科,0.002,000905
688599,天合光能,0.002,000905
688608,恒玄科技,0.002,000905
688615,合合信息,0.002,000905
688617,惠泰医疗,0.002,000905
688629,华丰科技,0.002,000905
688676,金盘科技,0.002,000905
688692,达梦数据,0.002,000905
688702,盛科通信,0.002,000905
688708,佳驰科技,0.002,000905
688709,成都华微,0.002,000905
688728,格科微,0.002,000905
688772,珠海冠宇,0.002,000905
688777,中控技术,0.002,000905
688778,厦钨新能,0.002,000905
688819,天能股份,0.002,000905
689009,九号公司,0.002,000905
