date,open,high,low,close,volume,index_code,index_name
2012-01-12,4300.583,4373.473,4292.699,4299.971,1791030272,sz399005,中小板指
2012-01-13,4300.367,4313.382,4122.069,4146.568,1770791680,sz399005,中小板指
2012-01-16,4097.007,4111.625,3986.137,3986.387,1142341888,sz399005,中小板指
2012-01-17,3980.23,4194.415,3943.286,4187.766,1730757376,sz399005,中小板指
2012-01-18,4200.015,4225.179,4047.368,4062.326,1793468928,sz399005,中小板指
2012-01-19,4055.036,4149.411,4026.862,4124.631,1456268416,sz399005,中小板指
2012-01-20,4132.706,4221.681,4123.213,4210.464,1325910016,sz399005,中小板指
2012-01-30,4233.283,4247.553,4173.075,4184.388,1183272192,sz399005,中小板指
2012-01-31,4182.848,4195.426,4144.638,4188.037,1032266560,sz399005,中小板指
2012-02-01,4178.71,4248.989,4165.445,4175.301,1200227584,sz399005,中小板指
2012-02-02,4186.937,4252.395,4171.485,4252.122,1330274688,sz399005,中小板指
2012-02-03,4250.763,4341.548,4232.837,4330.386,1952466304,sz399005,中小板指
2012-02-06,4339.635,4381.356,4331.138,4369.139,2027202176,sz399005,中小板指
2012-02-07,4350.059,4350.059,4260.857,4292.981,1674796416,sz399005,中小板指
2012-02-08,4287.564,4417.158,4274.942,4416.617,2021668608,sz399005,中小板指
2012-02-09,4407.433,4481.395,4396.386,4447.219,2482539776,sz399005,中小板指
2012-02-10,4434.716,4493.668,4430.807,4460.054,2123372160,sz399005,中小板指
2012-02-13,4417.346,4546.947,4399.474,4513.718,2403194880,sz399005,中小板指
2012-02-14,4515.163,4531.884,4481.336,4513.803,2006692096,sz399005,中小板指
2012-02-15,4508.45,4576.774,4491.861,4567.384,2395579136,sz399005,中小板指
2012-02-16,4560.773,4594.102,4507.267,4539.916,2419278592,sz399005,中小板指
2012-02-17,4552.853,4579.101,4482.948,4517.567,2117153536,sz399005,中小板指
2012-02-20,4575.874,4591.255,4526.676,4528.262,2327672320,sz399005,中小板指
2012-02-21,4529.836,4584.382,4483.303,4583.17,2254904320,sz399005,中小板指
2012-02-22,4591.686,4694.009,4589.06,4694.009,3234901760,sz399005,中小板指
2012-02-23,4694.483,4737.605,4678.896,4726.8,3097314560,sz399005,中小板指
2012-02-24,4722.186,4773.679,4703.691,4772.895,2875955968,sz399005,中小板指
2012-02-27,4786.877,4857.087,4783.646,4790.465,3632669184,sz399005,中小板指
2012-02-28,4770.863,4789.446,4700.242,4749.399,2880094720,sz399005,中小板指
2012-02-29,4738.342,4753.096,4688.069,4690.789,2284552192,sz399005,中小板指
2012-03-01,4670.645,4738.442,4667.069,4709.185,1921369728,sz399005,中小板指
2012-03-02,4716.364,4794.896,4716.364,4794.896,2384300288,sz399005,中小板指
2012-03-05,4808.926,4821.784,4779.443,4781.816,2666170112,sz399005,中小板指
2012-03-06,4768.532,4775.416,4697.694,4743.686,2745013504,sz399005,中小板指
2012-03-07,4694.072,4802.122,4684.849,4747.955,2771496192,sz399005,中小板指
2012-03-08,4763.293,4819.722,4758.958,4806.259,2601190656,sz399005,中小板指
2012-03-09,4817.908,4902.872,4817.908,4902.872,2785944576,sz399005,中小板指
2012-03-12,4903.015,4924.454,4880.771,4924.447,2814371328,sz399005,中小板指
2012-03-13,4922.368,4972.155,4917.29,4972.155,2866333696,sz399005,中小板指
2012-03-14,4989.677,5021.792,4757.359,4783.792,4486638592,sz399005,中小板指
2012-03-15,4776.469,4814.62,4685.399,4766.25,3024590592,sz399005,中小板指
2012-03-16,4773.399,4895.375,4768.729,4895.375,2731520768,sz399005,中小板指
2012-03-19,4887.088,4917.556,4861.151,4916.47,2619978496,sz399005,中小板指
