fund_code,year,quarter,report_date,AS_improved,ICI,industry_hhi,ICI_raw,industry_hhi_raw,ISDI
31,2025,3,2025-10-01,0.8083729578826314,0.18939,0.107274,0.082949,0.046984,0.1876190786392567
31,2025,4,2026-01-01,0.8982661827697129,0.125916,0.071087,0.092134,0.052015,0.1720720012226734
31,2026,1,2026-04-01,0.7294960949349155,0.165069,0.108581,0.045949,0.030225,0.0894511663227485
31,2026,2,2026-07-01,0.7721194286571442,0.128316,0.110284,0.048186,0.041414,0.1297213649869254
61,2020,1,2020-04-01,0.7004699469991167,0.169616,0.090422,0.028138,0.015,0.4804444330591556
61,2020,2,2020-07-01,0.8954926373772896,0.076902,0.035193,0.052202,0.023889,0.322429832042944
61,2020,3,2020-10-01,0.7139197569959499,0.134816,0.109053,0.022685,0.01835,0.0356396179495922
61,2020,4,2021-01-01,0.8742955824263735,0.101421,0.034268,0.070341,0.023767,0.1307049676102797
61,2021,1,2021-04-01,0.7038865789429823,0.162106,0.113245,0.028364,0.019815,0.3602444412140719
61,2021,2,2021-07-01,0.9123726262104366,0.101007,0.034933,0.082417,0.028504,0.2164427036849161
61,2021,3,2021-10-01,0.6559298863314389,0.105065,0.092632,0.011132,0.009814,0.0895654999767876
61,2021,4,2022-01-01,0.8268025675427922,0.078044,0.024784,0.043037,0.013667,0.0759557381939075
61,2022,1,2022-04-01,0.6472931040517341,0.136287,0.09192,0.01414,0.009537,0.2174227290556278
61,2022,2,2022-07-01,0.8964456257604292,0.079546,0.022302,0.06765,0.018967,0.2204200220158442
61,2022,3,2022-10-01,0.6126429382156369,0.205822,0.101838,0.015306,0.007573,0.2309694209499024
61,2022,4,2023-01-01,0.8347722170369505,0.10224,0.019116,0.066189,0.012376,0.2259507829977628
61,2023,1,2023-04-01,0.615642934882248,0.284618,0.094478,0.022171,0.00736,0.2259507829977629
61,2023,2,2023-07-01,0.899292286538109,0.108131,0.020058,0.092439,0.017147,0.2796885139519793
61,2023,3,2023-10-01,0.6478862947715796,0.279446,0.096148,0.03238,0.011141,0.3194281237759498
61,2023,4,2024-01-01,0.8953556709278488,0.120085,0.020475,0.09953,0.01697,0.2341685786803078
61,2024,1,2024-04-01,0.6168863022717046,0.326105,0.103602,0.025112,0.007978,0.1896014028087842
61,2024,2,2024-07-01,0.8798486658110969,0.125646,0.020835,0.106301,0.017627,0.1828371620152441
61,2024,3,2024-10-01,0.6420329105485092,0.296303,0.107125,0.033213,0.012008,0.3572515764296585
61,2024,4,2025-01-01,0.865485435590593,0.138338,0.023464,0.10691,0.018133,0.2734614947104994
61,2025,1,2025-04-01,0.6281861706028433,0.181867,0.106936,0.018149,0.010671,0.1476510067114093
61,2025,2,2025-07-01,0.8697185269754494,0.103638,0.021657,0.084189,0.017593,0.1579940086541662
61,2025,3,2025-10-01,0.6520158385973098,0.265957,0.107536,0.04328,0.0175,0.1579940086541662
61,2025,4,2026-01-01,0.8599949274154566,0.140447,0.036658,0.121708,0.031767,0.0592974540766998
61,2026,1,2026-04-01,,,,,,
61,2026,2,2026-07-01,,,,,,
73,2020,1,2020-04-01,0.7146729328822147,0.242528,0.113217,0.055275,0.025803,0.4606713850665465
73,2020,2,2020-07-01,0.9071558200970016,0.095091,0.043201,0.081099,0.036844,0.419057931781267
73,2020,3,2020-10-01,0.7607464807746797,0.120813,0.103177,0.035727,0.030511,0.1734602577104347
73,2020,4,2021-01-01,0.884355570926182,0.105348,0.046871,0.086092,0.038304,0.274297633500083
73,2021,1,2021-04-01,0.7958096509941832,0.206552,0.102494,0.082894,0.041133,0.1522991737153474
73,2021,2,2021-07-01,0.8977558200970015,0.139512,0.055621,0.113885,0.045404,0.2733381408527479
73,2021,3,2021-10-01,0.7515662727712129,0.300465,0.106101,0.091023,0.032142,0.3501256821019034
73,2021,4,2022-01-01,0.8924591384856413,0.101016,0.045443,0.081369,0.036604,0.1524659908013215
73,2022,1,2022-04-01,0.7371161769362822,0.112991,0.104825,0.032099,0.02978,0.4749622413730028
73,2022,2,2022-07-01,0.8668225145419088,0.094858,0.045798,0.066343,0.032031,0.347696399691395
73,2022,3,2022-10-01,0.7650230378839649,0.663983,0.125318,0.212335,0.040075,1.2744537140088976
73,2022,4,2023-01-01,0.9089793079884665,0.220928,0.046958,0.179349,0.03812,0.707646774239449
73,2023,1,2023-04-01,0.7655530425507092,0.480302,0.110537,0.153867,0.035411,0.8102108768035516
73,2023,2,2023-07-01,0.8541023283721394,0.203075,0.05867,0.141589,0.040906,0.6984431137724549
73,2023,3,2023-10-01,0.7767730003833397,0.257824,0.115763,0.090817,0.040777,0.1464633328120505
73,2023,4,2024-01-01,0.8948025592093203,0.196946,0.05633,0.153452,0.04389,0.2061486885082712
73,2024,1,2024-04-01,0.758989679827997,0.310682,0.118284,0.096181,0.036618,0.3382866290660876
73,2024,2,2024-07-01,0.8464122577042952,0.133726,0.053563,0.092412,0.037015,0.7272771298849134
73,2024,3,2024-10-01,0.681519570326172,0.153961,0.13455,0.026465,0.023128,0.3482041187733961
73,2024,4,2025-01-01,0.8365252720878682,0.093262,0.050497,0.067477,0.036535,0.1378224094022221
73,2025,1,2025-04-01,0.7292761346022434,0.160524,0.110249,0.043807,0.030087,0.1048942481462504
73,2025,2,2025-07-01,0.8789586301438356,0.087292,0.045701,0.076493,0.040047,0.2058788597506222
73,2025,3,2025-10-01,0.7465491774862912,0.129984,0.11274,0.045524,0.039485,0.3040710310792743
73,2025,4,2026-01-01,0.8653219336988948,0.113647,0.05964,0.093327,0.048976,0.2067051290016751
73,2026,1,2026-04-01,0.7734958557642626,0.250917,0.105654,0.104161,0.043859,0.2554683477503159
73,2026,2,2026-07-01,0.7585824880414671,0.269862,0.113357,0.103267,0.043378,0.1278907341300636
263,2020,1,2020-04-01,0.6502897414956916,0.15662,0.103299,0.017222,0.011359,0.2613444030370983
263,2020,2,2020-07-01,0.9117123052050866,0.077818,0.032671,0.069758,0.029287,0.1388077317641086
263,2020,3,2020-10-01,0.6655062151035851,0.108647,0.106609,0.016121,0.015819,0.1774003135006652
263,2020,4,2021-01-01,0.8976889464824414,0.049813,0.028646,0.04253,0.024457,0.2051948051948052
263,2021,1,2021-04-01,0.7045928540475674,0.105317,0.088247,0.022939,0.019221,0.1996389404467399
263,2021,2,2021-07-01,0.8873688969816164,0.072745,0.034023,0.059883,0.028008,0.1800704619727174
263,2021,3,2021-10-01,0.6796260071001183,0.146149,0.096957,0.028089,0.018635,0.1727818903605065
263,2021,4,2022-01-01,0.8767788446474107,0.094801,0.032051,0.075667,0.025582,0.2062388987203809
263,2022,1,2022-04-01,0.6588794371572859,0.090013,0.096299,0.013363,0.014296,0.2141347300394954
263,2022,2,2022-07-01,0.8333989108151801,0.079148,0.030789,0.050667,0.01971,0.0401950794302802
263,2022,3,2022-10-01,0.6627760729345489,0.128987,0.088152,0.020309,0.01388,0.2558359010567227
263,2022,4,2023-01-01,0.8906121527025447,0.076774,0.028452,0.065647,0.024329,0.3070473270319581
