fund_code,year,quarter,report_date
390,2014,1,2014-04-01
390,2014,2,2014-07-01
390,2014,3,2014-10-01
390,2014,4,2015-01-01
390,2015,1,2015-04-01
390,2015,2,2015-07-01
390,2015,3,2015-10-01
390,2015,4,2016-01-01
390,2016,1,2016-04-01
390,2016,2,2016-07-01
390,2016,3,2016-10-01
390,2016,4,2017-01-01
390,2017,1,2017-04-01
390,2017,2,2017-07-01
390,2017,3,2017-10-01
390,2017,4,2018-01-01
390,2018,1,2018-04-01
390,2018,2,2018-07-01
390,2018,3,2018-10-01
390,2018,4,2019-01-01
390,2019,1,2019-04-01
390,2019,2,2019-07-01
390,2019,3,2019-10-01
390,2019,4,2020-01-01
390,2020,1,2020-04-01
390,2020,2,2020-07-01
390,2020,3,2020-10-01
390,2020,4,2021-01-01
390,2021,1,2021-04-01
390,2021,2,2021-07-01
390,2021,3,2021-10-01
390,2021,4,2022-01-01
390,2022,1,2022-04-01
390,2022,2,2022-07-01
390,2022,3,2022-10-01
390,2022,4,2023-01-01
390,2023,1,2023-04-01
390,2023,2,2023-07-01
390,2023,3,2023-10-01
390,2023,4,2024-01-01
390,2024,1,2024-04-01
390,2024,2,2024-07-01
390,2024,3,2024-10-01
390,2024,4,2025-01-01
390,2025,1,2025-04-01
390,2025,2,2025-07-01
390,2025,3,2025-10-01
390,2025,4,2026-01-01
390,2026,1,2026-04-01
390,2026,2,2026-07-01
404,2013,4,2014-01-01
404,2014,1,2014-04-01
404,2014,2,2014-07-01
404,2014,3,2014-10-01
404,2014,4,2015-01-01
404,2015,1,2015-04-01
404,2015,2,2015-07-01
404,2015,3,2015-10-01
404,2015,4,2016-01-01
404,2016,1,2016-04-01
404,2016,2,2016-07-01
404,2016,3,2016-10-01
404,2016,4,2017-01-01
404,2017,1,2017-04-01
404,2017,2,2017-07-01
404,2017,3,2017-10-01
404,2017,4,2018-01-01
404,2018,1,2018-04-01
404,2018,2,2018-07-01
404,2018,3,2018-10-01
404,2018,4,2019-01-01
404,2019,1,2019-04-01
404,2019,2,2019-07-01
404,2019,3,2019-10-01
404,2019,4,2020-01-01
404,2020,1,2020-04-01
404,2020,2,2020-07-01
404,2020,3,2020-10-01
404,2020,4,2021-01-01
404,2021,1,2021-04-01
404,2021,2,2021-07-01
404,2021,3,2021-10-01
404,2021,4,2022-01-01
404,2022,1,2022-04-01
404,2022,2,2022-07-01
404,2022,3,2022-10-01
404,2022,4,2023-01-01
404,2023,1,2023-04-01
404,2023,2,2023-07-01
404,2023,3,2023-10-01
404,2023,4,2024-01-01
404,2024,1,2024-04-01
404,2024,2,2024-07-01
404,2024,3,2024-10-01
404,2024,4,2025-01-01
404,2025,1,2025-04-01
404,2025,2,2025-07-01
404,2025,3,2025-10-01
404,2025,4,2026-01-01
404,2026,1,2026-04-01
404,2026,2,2026-07-01
522,2020,1,2020-04-01
522,2020,2,2020-07-01
522,2020,3,2020-10-01
522,2020,4,2021-01-01
522,2021,1,2021-04-01
522,2021,2,2021-07-01
522,2021,3,2021-10-01
522,2021,4,2022-01-01
522,2022,1,2022-04-01
522,2022,2,2022-07-01
522,2022,3,2022-10-01
522,2022,4,2023-01-01
522,2023,1,2023-04-01
522,2023,2,2023-07-01
522,2023,3,2023-10-01
522,2023,4,2024-01-01
522,2024,1,2024-04-01
522,2024,2,2024-07-01
522,2024,3,2024-10-01
522,2024,4,2025-01-01
522,2025,1,2025-04-01
522,2025,2,2025-07-01
522,2025,3,2025-10-01
522,2025,4,2026-01-01
522,2026,1,2026-04-01
522,2026,2,2026-07-01
601,2020,1,2020-04-01
601,2020,2,2020-07-01
601,2020,3,2020-10-01
601,2020,4,2021-01-01
601,2021,1,2021-04-01
601,2021,2,2021-07-01
601,2021,3,2021-10-01
601,2021,4,2022-01-01
601,2022,1,2022-04-01
601,2022,2,2022-07-01
601,2022,3,2022-10-01
601,2022,4,2023-01-01
601,2023,1,2023-04-01
601,2023,2,2023-07-01
601,2023,3,2023-10-01
601,2023,4,2024-01-01
601,2024,1,2024-04-01
601,2024,2,2024-07-01
601,2024,3,2024-10-01
601,2024,4,2025-01-01
601,2025,1,2025-04-01
601,2025,2,2025-07-01
601,2025,3,2025-10-01
601,2025,4,2026-01-01
601,2026,1,2026-04-01
601,2026,2,2026-07-01
742,2014,3,2014-10-01
742,2014,4,2015-01-01
742,2015,1,2015-04-01
742,2015,2,2015-07-01
742,2015,3,2015-10-01
742,2015,4,2016-01-01
742,2016,1,2016-04-01
742,2016,2,2016-07-01
742,2016,3,2016-10-01
742,2016,4,2017-01-01
742,2017,1,2017-04-01
742,2017,2,2017-07-01
742,2017,3,2017-10-01
742,2017,4,2018-01-01
742,2018,1,2018-04-01
742,2018,2,2018-07-01
742,2018,3,2018-10-01
742,2018,4,2019-01-01
742,2019,1,2019-04-01
742,2019,2,2019-07-01
742,2019,3,2019-10-01
742,2019,4,2020-01-01
742,2020,1,2020-04-01
742,2020,2,2020-07-01
742,2020,3,2020-10-01
742,2020,4,2021-01-01
742,2021,1,2021-04-01
742,2021,2,2021-07-01
742,2021,3,2021-10-01
742,2021,4,2022-01-01
742,2022,1,2022-04-01
742,2022,2,2022-07-01
742,2022,3,2022-10-01
742,2022,4,2023-01-01
742,2023,1,2023-04-01
742,2023,2,2023-07-01
742,2023,3,2023-10-01
742,2023,4,2024-01-01
742,2024,1,2024-04-01
742,2024,2,2024-07-01
742,2024,3,2024-10-01
742,2024,4,2025-01-01
742,2025,1,2025-04-01
742,2025,2,2025-07-01
742,2025,3,2025-10-01
742,2025,4,2026-01-01
742,2026,1,2026-04-01
742,2026,2,2026-07-01
800,2020,1,2020-04-01
800,2020,2,2020-07-01
800,2020,3,2020-10-01
800,2020,4,2021-01-01
800,2021,1,2021-04-01
800,2021,2,2021-07-01
800,2021,3,2021-10-01
800,2021,4,2022-01-01
800,2022,1,2022-04-01
800,2022,2,2022-07-01
800,2022,3,2022-10-01
800,2022,4,2023-01-01
800,2023,1,2023-04-01
800,2023,2,2023-07-01
800,2023,3,2023-10-01
800,2023,4,2024-01-01
800,2024,1,2024-04-01
800,2024,2,2024-07-01
800,2024,3,2024-10-01
800,2024,4,2025-01-01
800,2025,1,2025-04-01
800,2025,2,2025-07-01
800,2025,3,2025-10-01
800,2025,4,2026-01-01
800,2026,1,2026-04-01
800,2026,2,2026-07-01
823,2014,4,2015-01-01
823,2015,1,2015-04-01
823,2015,2,2015-07-01
823,2015,3,2015-10-01
823,2015,4,2016-01-01
823,2016,1,2016-04-01
823,2016,2,2016-07-01
823,2016,3,2016-10-01
823,2016,4,2017-01-01
823,2017,1,2017-04-01
823,2017,2,2017-07-01
823,2017,3,2017-10-01
823,2017,4,2018-01-01
823,2018,1,2018-04-01
823,2018,2,2018-07-01
823,2018,3,2018-10-01
823,2018,4,2019-01-01
823,2019,1,2019-04-01
823,2019,2,2019-07-01
823,2019,3,2019-10-01
823,2019,4,2020-01-01
823,2020,1,2020-04-01
823,2020,2,2020-07-01
823,2020,3,2020-10-01
823,2020,4,2021-01-01
823,2021,1,2021-04-01
823,2021,2,2021-07-01
823,2021,3,2021-10-01
823,2021,4,2022-01-01
823,2022,1,2022-04-01
823,2022,2,2022-07-01
823,2022,3,2022-10-01
823,2022,4,2023-01-01
823,2023,1,2023-04-01
823,2023,2,2023-07-01
823,2023,3,2023-10-01
823,2023,4,2024-01-01
823,2024,1,2024-04-01
823,2024,2,2024-07-01
823,2024,3,2024-10-01
823,2024,4,2025-01-01
823,2025,1,2025-04-01
823,2025,2,2025-07-01
823,2025,3,2025-10-01
823,2025,4,2026-01-01
823,2026,1,2026-04-01
823,2026,2,2026-07-01
845,2014,4,2015-01-01
845,2015,1,2015-04-01
845,2015,2,2015-07-01
845,2015,3,2015-10-01
845,2015,4,2016-01-01
845,2016,1,2016-04-01
845,2016,2,2016-07-01
845,2016,3,2016-10-01
845,2016,4,2017-01-01
845,2017,1,2017-04-01
845,2017,2,2017-07-01
845,2017,3,2017-10-01
845,2017,4,2018-01-01
845,2018,1,2018-04-01
845,2018,2,2018-07-01
845,2018,3,2018-10-01
845,2018,4,2019-01-01
845,2019,1,2019-04-01
845,2019,2,2019-07-01
845,2019,3,2019-10-01
845,2019,4,2020-01-01
845,2020,1,2020-04-01
845,2020,2,2020-07-01
845,2020,3,2020-10-01
845,2020,4,2021-01-01
845,2021,1,2021-04-01
845,2021,2,2021-07-01
845,2021,3,2021-10-01
845,2021,4,2022-01-01
845,2022,1,2022-04-01
845,2022,2,2022-07-01
845,2022,3,2022-10-01
845,2022,4,2023-01-01
845,2023,1,2023-04-01
845,2023,2,2023-07-01
845,2023,3,2023-10-01
845,2023,4,2024-01-01
845,2024,1,2024-04-01
845,2024,2,2024-07-01
845,2024,3,2024-10-01
845,2024,4,2025-01-01
845,2025,1,2025-04-01
845,2025,2,2025-07-01
845,2025,3,2025-10-01
845,2025,4,2026-01-01
845,2026,1,2026-04-01
845,2026,2,2026-07-01
940,2020,1,2020-04-01
940,2020,2,2020-07-01
940,2020,3,2020-10-01
940,2020,4,2021-01-01
940,2021,1,2021-04-01
940,2021,2,2021-07-01
940,2021,3,2021-10-01
940,2021,4,2022-01-01
940,2022,1,2022-04-01
940,2022,2,2022-07-01
940,2022,3,2022-10-01
940,2022,4,2023-01-01
940,2023,1,2023-04-01
940,2023,2,2023-07-01
940,2023,3,2023-10-01
940,2023,4,2024-01-01
940,2024,1,2024-04-01
940,2024,2,2024-07-01
940,2024,3,2024-10-01
940,2024,4,2025-01-01
940,2025,1,2025-04-01
940,2025,2,2025-07-01
940,2025,3,2025-10-01
940,2025,4,2026-01-01
940,2026,1,2026-04-01
940,2026,2,2026-07-01
1000,2020,1,2020-04-01
1000,2020,2,2020-07-01
1000,2020,3,2020-10-01
1000,2020,4,2021-01-01
1000,2021,1,2021-04-01
1000,2021,2,2021-07-01
1000,2021,3,2021-10-01
1000,2021,4,2022-01-01
1000,2022,1,2022-04-01
1000,2022,2,2022-07-01
1000,2022,3,2022-10-01
1000,2022,4,2023-01-01
1000,2023,1,2023-04-01
1000,2023,2,2023-07-01
1000,2023,3,2023-10-01
1000,2023,4,2024-01-01
1000,2024,1,2024-04-01
1000,2024,2,2024-07-01
1000,2024,3,2024-10-01
1000,2024,4,2025-01-01
1000,2025,1,2025-04-01
1000,2025,2,2025-07-01
1000,2025,3,2025-10-01
1000,2025,4,2026-01-01
1000,2026,1,2026-04-01
1000,2026,2,2026-07-01
1037,2015,2,2015-07-01
1037,2015,3,2015-10-01
1037,2015,4,2016-01-01
1037,2016,1,2016-04-01
1037,2016,2,2016-07-01
1037,2016,3,2016-10-01
1037,2016,4,2017-01-01
1037,2017,1,2017-04-01
1037,2017,2,2017-07-01
1037,2017,3,2017-10-01
1037,2017,4,2018-01-01
1037,2018,1,2018-04-01
1037,2018,2,2018-07-01
1037,2018,3,2018-10-01
1037,2018,4,2019-01-01
1037,2019,1,2019-04-01
1037,2019,2,2019-07-01
1037,2019,3,2019-10-01
1037,2019,4,2020-01-01
1037,2020,1,2020-04-01
1037,2020,2,2020-07-01
1037,2020,3,2020-10-01
1037,2020,4,2021-01-01
1037,2021,1,2021-04-01
1037,2021,2,2021-07-01
1037,2021,3,2021-10-01
1037,2021,4,2022-01-01
1037,2022,1,2022-04-01
1037,2022,2,2022-07-01
1037,2022,3,2022-10-01
1037,2022,4,2023-01-01
1037,2023,1,2023-04-01
1037,2023,2,2023-07-01
1037,2023,3,2023-10-01
1037,2023,4,2024-01-01
1037,2024,1,2024-04-01
1037,2024,2,2024-07-01
1037,2024,3,2024-10-01
1037,2024,4,2025-01-01
1037,2025,1,2025-04-01
1037,2025,2,2025-07-01
1037,2025,3,2025-10-01
1037,2025,4,2026-01-01
1037,2026,1,2026-04-01
1037,2026,2,2026-07-01
1060,2015,2,2015-07-01
1060,2015,3,2015-10-01
1060,2015,4,2016-01-01
1060,2016,1,2016-04-01
1060,2016,2,2016-07-01
1060,2016,3,2016-10-01
1060,2016,4,2017-01-01
1060,2017,1,2017-04-01
1060,2017,2,2017-07-01
1060,2017,3,2017-10-01
1060,2017,4,2018-01-01
1060,2018,1,2018-04-01
1060,2018,2,2018-07-01
1060,2018,3,2018-10-01
1060,2018,4,2019-01-01
1060,2019,1,2019-04-01
1060,2019,2,2019-07-01
1060,2019,3,2019-10-01
1060,2019,4,2020-01-01
1060,2020,1,2020-04-01
1060,2020,2,2020-07-01
1060,2020,3,2020-10-01
1060,2020,4,2021-01-01
1060,2021,1,2021-04-01
1060,2021,2,2021-07-01
1060,2021,3,2021-10-01
1060,2021,4,2022-01-01
1060,2022,1,2022-04-01
1060,2022,2,2022-07-01
1060,2022,3,2022-10-01
1060,2022,4,2023-01-01
1060,2023,1,2023-04-01
1060,2023,2,2023-07-01
1060,2023,3,2023-10-01
1060,2023,4,2024-01-01
1060,2024,1,2024-04-01
1060,2024,2,2024-07-01
1060,2024,3,2024-10-01
1060,2024,4,2025-01-01
1060,2025,1,2025-04-01
1060,2025,2,2025-07-01
1060,2025,3,2025-10-01
1060,2025,4,2026-01-01
1060,2026,1,2026-04-01
1060,2026,2,2026-07-01
1075,2015,2,2015-07-01
1075,2015,3,2015-10-01
1075,2015,4,2016-01-01
1075,2016,1,2016-04-01
1075,2016,2,2016-07-01
1075,2016,3,2016-10-01
1075,2016,4,2017-01-01
1075,2017,1,2017-04-01
1075,2017,2,2017-07-01
1075,2017,3,2017-10-01
1075,2017,4,2018-01-01
1075,2018,1,2018-04-01
1075,2018,2,2018-07-01
1075,2018,3,2018-10-01
1075,2018,4,2019-01-01
1075,2019,1,2019-04-01
1075,2019,2,2019-07-01
1075,2019,3,2019-10-01
1075,2019,4,2020-01-01
1075,2020,1,2020-04-01
1075,2020,2,2020-07-01
1075,2020,3,2020-10-01
1075,2020,4,2021-01-01
1075,2021,1,2021-04-01
1075,2021,2,2021-07-01
1075,2021,3,2021-10-01
