fund_code,n_reports,n_stocks,year_min,year_max,median_stocks_per_report,max_stocks_per_report,has_full_report,n_full_reports,in_panel,is_distressed,is_ifind_sample
005844,29,640,2018,2026,14,65,True,4,True,False,False
005875,29,1275,2018,2026,23,125,True,11,True,False,False
005903,32,844,2018,2026,15,100,True,4,True,False,False
005914,28,990,2019,2026,16,129,True,9,True,False,False
005939,28,1817,2019,2026,22,208,True,13,True,False,False
005940,28,1787,2019,2026,19,208,True,13,True,False,False
006025,28,1078,2019,2026,13,145,True,10,True,False,False
006154,28,1125,2019,2026,20,123,True,10,True,False,False
006250,28,942,2019,2026,19,99,True,10,True,False,False
006271,28,690,2019,2026,12,67,True,3,True,False,False
006281,28,951,2019,2026,22,111,True,8,True,False,False
006314,27,1431,2019,2026,13,154,True,12,True,False,False
006315,27,1423,2019,2026,10,154,True,12,True,False,False
006522,28,629,2019,2026,17,53,True,1,True,False,False
006523,28,629,2019,2026,17,53,True,1,True,False,False
006533,28,1366,2019,2026,28,136,True,13,True,False,False
006615,28,1641,2019,2026,36,149,True,14,True,False,False
006616,28,1640,2019,2026,36,149,True,14,True,False,False
006769,27,1179,2019,2026,10,190,True,11,True,False,False
006887,28,557,2019,2026,14,50,True,1,True,False,False
006888,28,553,2019,2026,13,50,True,1,True,False,False
006904,27,1403,2019,2026,12,159,True,12,True,False,False
006905,27,1400,2019,2026,11,159,True,12,True,False,False
006969,28,819,2019,2026,17,113,True,4,True,False,False
006976,28,1691,2019,2026,14,324,True,9,True,False,False
007049,26,676,2020,2026,10,107,True,3,True,False,False
007113,27,1261,2019,2026,11,159,True,10,True,False,False
007114,27,1258,2019,2026,10,159,True,10,True,False,False
007305,27,1024,2019,2026,17,101,True,7,True,False,False
007340,27,1239,2019,2026,13,147,True,10,True,False,False
007341,27,1226,2019,2026,11,147,True,10,True,False,False
007343,27,2130,2019,2026,12,297,True,11,True,False,False
007346,28,1487,2019,2026,20,171,True,11,True,False,False
007349,27,1170,2019,2026,11,116,True,11,True,False,False
007350,25,1148,2019,2026,43,116,True,11,True,False,False
007353,27,1339,2019,2026,14,244,True,10,True,False,False
007449,27,1227,2019,2026,18,118,True,11,True,False,False
007450,27,1186,2019,2026,11,118,True,11,True,False,False
007490,27,1103,2019,2026,19,113,True,11,True,False,False
007491,27,1044,2019,2026,11,113,True,11,True,False,False
007639,27,878,2019,2026,12,100,True,6,True,False,False
007731,27,937,2019,2026,17,115,True,6,True,False,False
