fund_code,year,quarter,report_date,de,pgr,plr,gains_sold,gains_held,losses_sold,losses_held,lsv,risk_asym,n_gain,n_loss
4148,2024,4,2025-01-01,-0.32592592592592595,0.6,0.9259259259259259,24.0,16.0,25.0,2.0,0.06665471373583802,-0.020166764955542326,5.0,3.0
4148,2025,1,2025-04-01,,,,,,,,0.061461504836573845,-0.012288288010179366,5.0,3.0
4148,2025,2,2025-07-01,-0.09818181818181826,0.72,0.8181818181818182,36.0,14.0,18.0,4.0,0.046552954407904856,-0.014427580292016413,5.0,3.0
4148,2025,3,2025-10-01,,,,,,,,0.07374258557319313,0.1218558318938941,6.0,2.0
4148,2025,4,2026-01-01,-0.1351098644226274,0.7681159420289855,0.9032258064516129,53.0,16.0,28.0,3.0,0.10864801884048329,0.12374500995511035,5.0,3.0
4148,2026,1,2026-04-01,,,,,,,,0.07979246683988335,0.12425180664425207,5.0,3.0
4148,2026,2,2026-07-01,-0.10119047619047616,0.875,0.9761904761904762,42.0,6.0,41.0,1.0,0.13962787588248682,0.20727870156033895,6.0,2.0
4232,2020,1,2020-04-01,,,,,,,,0.14464501784692282,,,
4232,2020,2,2020-07-01,0.16666666666666669,0.5,0.3333333333333333,14.0,14.0,10.0,20.0,0.07775503069957353,,,
4232,2020,3,2020-10-01,,,,,,,,0.2228121770610819,,,
4232,2020,4,2021-01-01,-0.17922077922077922,0.45714285714285713,0.6363636363636364,16.0,19.0,14.0,8.0,0.1297021062084347,,,
4232,2021,1,2021-04-01,,,,,,,,0.2209223765423233,,,
4232,2021,2,2021-07-01,-0.09128345916266306,0.48936170212765956,0.5806451612903226,23.0,24.0,36.0,26.0,0.12281795913621643,0.024674359612919725,4.0,2.0
4232,2021,3,2021-10-01,,,,,,,,0.005354368411912569,0.01915304262869209,5.0,2.0
4232,2021,4,2022-01-01,-0.049075391180654404,0.6351351351351351,0.6842105263157895,47.0,27.0,52.0,24.0,0.10886125544363118,0.015098973588424883,6.0,2.0
4232,2022,1,2022-04-01,,,,,,,,0.28035020475427536,0.013032993416191286,6.0,2.0
4232,2022,2,2022-07-01,-0.14493632504548215,0.4117647058823529,0.5567010309278351,14.0,20.0,54.0,43.0,0.08973676572930393,0.006803478997142426,5.0,3.0
4232,2022,3,2022-10-01,,,,,,,,0.09279583858647973,-0.011181174357922912,4.0,4.0
4232,2022,4,2023-01-01,-0.1653923541247485,0.2571428571428571,0.4225352112676056,9.0,26.0,30.0,41.0,0.09369008410540368,-0.007406647251261406,4.0,4.0
4232,2023,1,2023-04-01,,,,,,,,0.1661737329233251,-0.008939537347664683,4.0,4.0
4232,2023,2,2023-07-01,0.17276422764227645,0.4166666666666667,0.24390243902439024,30.0,42.0,10.0,31.0,0.05730192177618853,-0.008110508025138938,4.0,4.0
4232,2023,3,2023-10-01,,,,,,,,0.07182525887147702,-0.005370590910191559,3.0,5.0
