fund_code,year,quarter,report_date,ARG,return_volatility
1267,2023,2,2023-07-01,0.10572006453716416,0.09313469645801174
1267,2023,3,2023-10-01,0.10281374035564186,0.06067901542107586
1267,2023,4,2024-01-01,0.06655437401074185,0.061269572213770426
1267,2024,1,2024-04-01,0.4158001224680518,0.05752219562978514
1267,2024,2,2024-07-01,0.08410137954433725,0.05747981689147399
1267,2024,3,2024-10-01,0.255217640855055,0.05001645990112416
1267,2024,4,2025-01-01,0.05107785858840898,0.05161629530654743
1267,2025,1,2025-04-01,0.09450843530771655,0.05598637542515019
1267,2025,2,2025-07-01,0.18682851360749972,0.056063364103658996
1267,2025,3,2025-10-01,0.5161930302847358,0.18953044443454867
1267,2025,4,2026-01-01,0.1531207851624548,0.1847505431684478
1267,2026,1,2026-04-01,0.21293547945123448,0.18268300626826228
1267,2026,2,2026-07-01,0.6126623932705126,0.295807449010117
1407,2015,2,2015-07-01,,
1407,2015,3,2015-10-01,0.03035287612691061,
1407,2015,4,2016-01-01,0.0,0.020248616378749983
1407,2016,1,2016-04-01,0.10681737923869433,0.016833221750225842
1407,2016,2,2016-07-01,0.031391529609326216,0.01457800318144431
1407,2016,3,2016-10-01,0.25458388337112475,0.013841122300040422
1407,2016,4,2017-01-01,0.10563332144686607,0.0152427071104754
1407,2017,1,2017-04-01,0.13336744302729708,0.01432471524314145
1407,2017,2,2017-07-01,0.18897248802030508,0.013900223235596837
1407,2017,3,2017-10-01,0.05784718146841948,0.013040189721780197
1407,2017,4,2018-01-01,0.15602662630299882,0.009685054438543554
1407,2018,1,2018-04-01,0.18248192143516603,0.009681136648038956
1407,2018,2,2018-07-01,0.11483666520647018,0.009687255357063721
1407,2018,3,2018-10-01,0.15006661075992409,0.008769719294660635
1407,2018,4,2019-01-01,0.07829961649035773,0.0034309571150931274
1407,2019,1,2019-04-01,0.3111467631862943,0.0042011985541251075
1407,2019,2,2019-07-01,0.11673825048698577,0.004197840864957806
1407,2019,3,2019-10-01,0.08346963212514856,0.0056571350788043534
1407,2019,4,2020-01-01,0.1342432152868455,0.0066076279658545765
1407,2020,1,2020-04-01,0.1899610958456895,0.0066341312944268255
1407,2020,2,2020-07-01,0.1872375897591331,0.0061992029176150334
1407,2020,3,2020-10-01,0.1011082421414765,0.012325610373541001
1407,2020,4,2021-01-01,0.2356070225486004,0.014155392410343427
1407,2021,1,2021-04-01,0.33534284177757334,0.014461261080161726
1407,2021,2,2021-07-01,0.15988260361478507,0.013294957320853324
1407,2021,3,2021-10-01,0.6110788596601205,0.02535976596004957
1407,2021,4,2022-01-01,0.3360890956197068,0.025298314557705606
1407,2022,1,2022-04-01,0.1308579524865589,0.02870849630620015
1407,2022,2,2022-07-01,0.29356279318177225,0.029379982805245522
1407,2022,3,2022-10-01,0.0893792549559621,0.028537557892696786
1407,2022,4,2023-01-01,0.5319985325551417,0.024909536897743854
1407,2023,1,2023-04-01,0.1431492360314222,0.024537056154539272
1407,2023,2,2023-07-01,0.1553069145363291,0.02392322692605113
1407,2023,3,2023-10-01,0.1983754497870079,0.027626549823510548
1407,2023,4,2024-01-01,0.23927697555518768,0.025216649862163557
1407,2024,1,2024-04-01,0.12507424705542458,0.024787769809088638
1407,2024,2,2024-07-01,0.3130414367981452,0.04576948936009923
1407,2024,3,2024-10-01,0.4947485321954187,0.06850984200997405
1407,2024,4,2025-01-01,0.20760618842687462,0.07612325066125344
