fund_code,report_date,fund_ret_6m,bench_ret_6m,benchmark_adj_return,coverage,equity_weight,matched_weight,rf_approx_weight,missing_weight,n_components,panel_date
460007,2018-06-30,-0.2315476423392322,-0.11834416307904405,-0.11320347926018814,partial_rf,0.8,0.8,0.15,0.05,3,2018-07-01
470009,2018-06-30,-0.2315476423392322,0.01051072118379537,-0.24205836352302756,partial_rf,0.0,0.0,0.2,0.8,2,2018-07-01
470028,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
470098,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
481010,2018-06-30,-0.2315476423392322,0.01051072118379537,-0.24205836352302756,partial_rf,0.0,0.0,0.2,0.8,2,2018-07-01
481015,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
519005,2018-06-30,-0.2315476423392322,0.01051072118379537,-0.24205836352302756,partial_rf,0.0,0.0,0.2,0.8,2,2018-07-01
519018,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
519026,2018-06-30,-0.2315476423392322,0.01051072118379537,-0.24205836352302756,partial_rf,0.0,0.0,0.2,0.8,2,2018-07-01
519110,2018-06-30,-0.2315476423392322,-0.10425066011279599,-0.1272969822264362,full,0.75,0.75,0.25,0.0,2,2018-07-01
519158,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
519173,2018-06-30,-0.2315476423392322,-0.07364762510037164,-0.15790001723886055,full,0.55,0.55,0.45,0.0,2,2018-07-01
519181,2018-06-30,-0.2315476423392322,-0.09418387227976166,-0.13736377005947054,partial_rf,0.65,0.65,0.3,0.05,3,2018-07-01
519185,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
519670,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
519672,2018-06-30,-0.2315476423392322,-0.134451023611899,-0.09709661872733319,partial_rf,0.9,0.9,0.05,0.05,3,2018-07-01
519674,2018-06-30,-0.2315476423392322,-0.14825994129828238,-0.08328770104094982,full,0.75,0.75,0.25,0.0,2,2018-07-01
519679,2018-06-30,-0.2315476423392322,-0.10425066011279599,-0.1272969822264362,full,0.75,0.75,0.25,0.0,2,2018-07-01
519688,2018-06-30,-0.2315476423392322,-0.10425066011279599,-0.1272969822264362,full,0.75,0.75,0.25,0.0,2,2018-07-01
519698,2018-06-30,-0.2315476423392322,0.010510721183795368,-0.24205836352302756,partial_rf,0.0,0.0,0.25,0.75,2,2018-07-01
519704,2018-06-30,-0.2315476423392322,-0.07807701174690675,-0.15347063059232546,partial_rf,0.55,0.55,0.4,0.05,3,2018-07-01
519773,2018-06-30,-0.2315476423392322,-0.08129838385347772,-0.1502492584857545,full,0.6,0.6,0.4,0.0,2,2018-07-01
570001,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
570008,2018-06-30,-0.2315476423392322,-0.14250445387832644,-0.08904318846090575,partial,0.8,0.8,0.0,0.2,2,2018-07-01
580001,2018-06-30,-0.2315476423392322,0.010510721183795368,-0.24205836352302756,partial_rf,0.0,0.0,0.35,0.65,3,2018-07-01
580002,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
580006,2018-06-30,-0.2315476423392322,-0.10425066011279599,-0.1272969822264362,full,0.75,0.75,0.25,0.0,2,2018-07-01
610006,2018-06-30,-0.2315476423392322,-0.11190141886590209,-0.11964622347333011,full,0.8,0.8,0.2,0.0,2,2018-07-01
630010,2018-06-30,-0.2315476423392322,-0.10425066011279599,-0.1272969822264362,full,0.75,0.75,0.25,0.0,2,2018-07-01
31,2018-12-31,0.2913310038617575,0.218409695006959,0.07292130885479847,full,0.8,0.8,0.2,0.0,2,2019-01-01
263,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.2,0.8,2,2019-01-01
522,2018-12-31,0.2913310038617575,0.009316284620351611,0.28201471924140586,partial_rf,0.0,0.0,0.2,0.8,2,2019-01-01
601,2018-12-31,0.2913310038617575,0.1852264224055159,0.10610458145624158,full,0.8,0.8,0.2,0.0,2,2019-01-01
1060,2018-12-31,0.2913310038617575,0.0,0.2913310038617575,partial,0.0,0.0,0.0,1.0,2,2019-01-01
1075,2018-12-31,0.2913310038617575,0.16323765518237032,0.12809334867938715,full,0.7,0.7,0.3,0.0,2,2019-01-01
1076,2018-12-31,0.2913310038617575,0.27068304760361084,0.020647956258146638,partial,0.7,0.7,0.0,0.3,2,2019-01-01
1088,2018-12-31,0.2913310038617575,0.1852264224055159,0.10610458145624158,full,0.8,0.8,0.2,0.0,2,2019-01-01
1170,2018-12-31,0.2913310038617575,0.13999966611198122,0.15133133774977625,full,0.5,0.5,0.5,0.0,2,2019-01-01
1437,2018-12-31,0.2913310038617575,0.16096357887805535,0.13036742498370213,full,0.85,0.85,0.15,0.0,2,2019-01-01
1438,2018-12-31,0.2913310038617575,0.16096357887805535,0.13036742498370213,full,0.85,0.85,0.15,0.0,2,2019-01-01
1475,2018-12-31,0.2913310038617575,0.0,0.2913310038617575,partial,0.0,0.0,0.0,1.0,2,2019-01-01
