fc,egarch_omega,egarch_alpha,egarch_gamma,egarch_beta,egarch_persistence,egarch_gamma_t,n_obs,fit_ok
1723,-0.33152074604847315,0.20625880104980487,0.024624376501669334,0.9578243052242074,1.1640831062740122,1.3279055132332174,1598.0,1
1753,-0.10493883061498298,0.1927899138084266,-0.0051398162707056985,0.9856950301409246,1.1784849439493512,-0.36138867968990435,2636.0,1
1759,-0.17526612583572532,0.21586575961652033,-0.019502606569715204,0.9783582168768232,1.1942239764933436,-0.9400964356701731,2352.0,1
1811,-0.31886981797076974,0.2252914253602853,-0.0169664941690313,0.9592911128474808,1.1845825382077662,-0.5902477766533928,1598.0,1
1856,-0.17286553762404477,0.316293214060847,-0.022487064792753232,0.9783893734498215,1.2946825875106684,-0.7267871591063481,2230.0,1
1881,-0.520339642287812,0.2703274255829824,-0.02881843671670403,0.9401131594096054,1.2104405849925879,-0.7065492316165839,1598.0,1
1985,-0.3130780064201461,0.23152216867435954,-0.016025337333148093,0.9605534771949291,1.1920756458692887,-0.6097681109369564,1598.0,1
1998,-0.09779329065775703,0.325277465522989,-0.04927216498649164,0.9869191711120601,1.312196636635049,-2.142583443510234,2362.0,1
2051,-0.0334829812073909,0.04696837479588381,0.03461075640755696,0.9954709426715177,1.0424393174674016,1.6351716367755043,2613.0,1
2112,-0.011201124675991901,0.14796200462035156,-0.00506081622160859,0.9968321397333999,1.1447941443537515,-0.22986290902191397,2615.0,1
2125,-0.12710259543474342,0.24721207417624358,0.007338118383306083,0.9839266769265184,1.2311387511027618,0.36634350369666574,2151.0,1
2152,-0.16276122696614326,0.22472083981907973,-0.03197111084424414,0.9798426536830167,1.2045634935020963,-1.3228515060610844,2568.0,1
2163,0.02113560955304397,-7.75151944223987,-8869.108604300469,-7398.141338031273,-7405.892857473513,,2610.0,1
2244,-0.05528095942566216,0.1402003242931117,-0.020961962485417138,0.9927544018714718,1.1329547261645834,-1.4448497369920639,2518.0,1
2376,-0.30876231879142957,0.26772734492499134,-0.012080992520460998,0.9629450424655476,1.230672387390539,-0.42822274087776674,2541.0,1
2420,-0.030626093275081586,0.2985514096774611,-0.007301560747419061,0.995396905902061,1.293948315579522,-0.3119138273582461,2518.0,1
2450,-0.26820875516588083,0.32615052755082063,-0.022149241128244717,0.9650745064596559,1.2912250340104765,-0.3024852949722255,2523.0,1
2451,-0.1609299990647214,0.238151305866011,0.025409544992052474,0.9797760583425345,1.2179273642085455,0.9512314671588254,2523.0,1
2692,-0.13019874074431562,0.17813849759490397,0.018257074929374957,0.9824977800167178,1.160636277611622,1.0029809781107903,1598.0,1
2910,-0.49141203880979034,0.23958472027860575,-0.030233076446915672,0.9395788463080733,1.179163566586679,-1.0523373141935015,2304.0,1
3567,-1.463992676627685,0.3023242015350764,-0.06193265286045131,0.821803902255561,1.1241281037906374,-1.6203984673743874,1598.0,1
3857,-0.1744826591716563,0.25899835457084097,0.009084870806199739,0.9778433376349875,1.2368416922058285,0.4438765062604974,2308.0,1
3858,-0.17449394602458912,0.2585185628914188,0.009424505044196667,0.9778456746012621,1.2363642374926809,0.4580498461290658,2308.0,1
3961,-0.09204518786654226,0.2842378286761618,-0.031123969315074475,0.9874816022556366,1.2717194309317985,-1.2804198730306322,2307.0,1
3962,-0.0922734856024717,0.28226274532181655,-0.030574414250530663,0.9874503583189964,1.269713103640813,-1.5105931203785938,2307.0,1
4148,-0.24852205860775875,0.23262535734246909,-0.005290010665787959,0.9692047600050785,1.2018301173475476,-0.2697173118398395,1598.0,1
4232,-0.9077149649115047,0.3060114448000516,-0.08799073217461202,0.8964944125953147,1.2025058573953662,-2.098825316356376,1598.0,1
4320,-0.17987202881645106,0.3386733694722323,-0.009531968830475187,0.9756684744459635,1.3143418439181958,-0.40869860646707423,2239.0,1
4374,-0.28247138502431196,0.22985697979673714,-0.0282061860028551,0.9645768486028224,1.1944338283995597,-1.3840801939471903,1598.0,1
4375,-0.2825343224165212,0.2299031000775081,-0.028230665435412187,0.9645683396814797,1.1944714397589877,-1.385551388489713,1598.0,1
5001,-0.6422048702799018,0.23643532309081022,-0.06122846633281864,0.9241597278124271,1.1605950509032372,-1.4084529665594345,1598.0,1
5094,-0.36098281854861936,0.2614730399794008,0.00815436477094086,0.9546425829103742,1.216115622889775,0.29677428387120164,1598.0,1
5119,-0.23590848851195134,0.1963651050412998,0.008071694791231973,0.9683361345086413,1.1647012395499412,0.5156647427600313,2110.0,1
5136,-0.29187636927033983,0.22098843621750236,0.02157567018864213,0.9642120186390865,1.1852004548565889,0.866713495653868,1598.0,1
5207,-0.4231838715448969,0.29846929394170296,-0.004704618072223289,0.9453423870541797,1.2438116809958828,-0.14227330820178258,1598.0,1
5449,-0.18610853005324804,0.2099961480061869,-0.014225533954361923,0.977418224504647,1.187414372510834,-0.6398871140564844,1598.0,1
5550,-0.1429604669663275,0.2585166254098437,-0.03486614356418783,0.980976859832839,1.2394934852426827,-1.6399796968993963,2050.0,1
5551,-0.14289445711313994,0.2581924400295989,-0.03473306618799096,0.980991832848395,1.2391842728779938,-1.482370028995803,2050.0,1
5729,-0.24559853134414317,0.17720735250943576,0.013437344395809809,0.9692835382462829,1.1464908907557185,0.6415579056513627,1598.0,1
5765,-0.321376931281286,0.22593385464443874,-0.01707854797857719,0.9589701819235452,1.184904036567984,-0.5931597188478523,1598.0,1
5774,-0.13965260460966517,0.15879519952755536,-0.003066243958033678,0.9814412598638601,1.1402364593914154,-0.17994143872937712,1598.0,1
5775,-0.1676727846154075,0.28080732689933957,-0.00027099687256584593,0.9801628512435215,1.260970178142861,-0.009378363994837194,1912.0,1
5776,-0.1662541878656131,0.27990168564163775,-0.0003119284479513629,0.9803238577486547,1.2602255433902925,-0.01086191315679257,1912.0,1
5787,-0.5230439811023169,0.26998919987607145,-0.029304398212184436,0.9397950687603112,1.2097842686363827,-0.7098157813503378,1598.0,1
5819,-0.21569620653996865,0.19486536705190183,-0.0034264501648533707,0.9709610565543462,1.1658264236062479,-0.19878933309069347,1598.0,1
5844,-0.14582076418152473,0.22468918975561264,0.018777868722833987,0.9794438562507655,1.2041330460063782,0.9691045314009541,1598.0,1
5875,-0.2611739105223353,0.2424391034036932,-0.019693234853280377,0.9675728921746571,1.2100119955783504,-0.8045917444294703,1598.0,1
5903,-0.2253186966659274,0.2302001021880314,-0.022737420641099956,0.9700663449745923,1.2002664471626237,-0.669283782989516,1984.0,1
5914,-0.15778364591954103,0.25742010736163157,-0.023809339636874535,0.9797484892309359,1.2371685965925674,-1.237360190227127,1598.0,1
5939,-0.14235474520333033,0.15861395551375962,0.003453404839317693,0.9813688252099295,1.139982780723689,0.1461997065039263,1598.0,1
5940,-0.14244152126234863,0.15851241882440822,0.003393109443444219,0.981356307228564,1.1398687260529723,0.14402017009066626,1598.0,1
6025,-0.20112435802039358,0.29368903538194896,0.019644432448565164,0.9734283686964911,1.26711740407844,0.8468203231667734,1598.0,1
6154,-0.4899849671485524,0.21938164775570623,-0.029795673861787164,0.9375839974894915,1.1569656452451977,-0.8924939232088488,1598.0,1
6250,-0.22163012298876283,0.1913141090513143,-0.01020814660853848,0.9705829370373585,1.1618970460886728,-0.6000670261568337,1598.0,1
6271,-0.2549552927571177,0.28213131397661045,-0.0009641914843366628,0.9680233450714739,1.2501546590480843,-0.03913479316165367,1598.0,1
6281,-0.2869985956576774,0.21641492574578175,0.018366724012605463,0.9614036977866236,1.1778186235324053,0.8282913547960813,1598.0,1
6314,-0.7255198310489681,0.2499230149292296,-0.02634449738967961,0.9112319585410856,1.1611549734703153,-0.8436848960289561,1598.0,1
6315,-0.7253919927741865,0.2498250428292728,-0.0265838986698784,0.9112488591092385,1.1610739019385112,-0.849103539382168,1598.0,1
6522,-0.30090648991405716,0.2524488400029164,-0.014205470675944413,0.960650236724943,1.2130990767278593,-0.6551891703612077,1598.0,1
6523,-0.29894318176944035,0.251906431178938,-0.014228578734636694,0.9609038040121012,1.2128102351910393,-0.6568678987585959,1598.0,1
6533,-0.5158973524663972,0.25915136581558046,-0.019837708497878376,0.9355749318886339,1.1947262977042143,-0.6085121926802438,1598.0,1
6615,-0.15607879676720932,0.22863839791938972,0.018787913634563475,0.9799024641322637,1.2085408620516533,0.9956986225273574,1596.0,1
6616,-0.15566623050310197,0.22859724230901707,0.018617627197596038,0.9799542343781688,1.2085514766871859,0.9806453774018942,1596.0,1
6769,-0.6403071228877828,0.3585802932234847,-0.03960233383757665,0.9237319421598134,1.282312235383298,-0.7997768085286991,1598.0,1
6887,-0.16403069632123868,0.11313712709881477,0.030679866067585992,0.9768920948225911,1.0900292219214058,1.8645153814588424,1598.0,1
6888,-0.16420308670280823,0.11321606110494797,0.030651708327944133,0.9768674158515911,1.090083476956539,1.8630063340124763,1598.0,1
6904,-0.3799033220905682,0.25285922314288234,-0.029390467797463134,0.9539845306349615,1.2068437537778438,-0.7982824875282964,1598.0,1
