year,quarter,MKT,SMB,HML,MOM,rf,MKT_excess
2022,4,0.0048265822518704,-0.0522068673555238,0.0145194823894837,-0.2187753019475843,0.0025,0.0023265822518704
2023,1,-0.0045541680110304,0.0017673960939273,0.0139754585648396,-0.0200049569414382,0.0025,-0.0070541680110304
2023,2,0.011559432129635,-0.0196736197303534,-0.0267124899904391,-0.1371031212784367,0.0025,0.009059432129635
2023,3,-0.0201183554530515,0.0116456898529311,-0.0249201408507542,-0.0152619718178951,0.0025,-0.0226183554530515
2023,4,-0.0186181980851798,-0.0022690797572201,-0.0068950428411706,-0.1120741530856215,0.0025,-0.0211181980851798
2024,1,0.0060866026200177,-0.0174264843023643,-0.0149487416293881,-0.1234314426459245,0.0025,0.0035866026200177
2024,2,-0.0330364462942659,-0.0358634772251951,0.0270585560945469,-0.0932903693776366,0.0025,-0.0355364462942659
2024,3,0.2096755254962319,0.0283231526996476,-0.0060057785014159,0.113101174535689,0.0025,0.2071755254962319
2024,4,0.0046795893256954,-0.0262462871330376,0.0107408032032952,0.1644735154670465,0.0025,0.0021795893256954
2025,1,-0.0007051325060429,0.0003469334944947,-0.0046818778223866,0.1162063309976719,0.0025,-0.0032051325060429
2025,2,0.0249586483316632,0.0181224481523876,-0.0133719610576541,0.1505206371797663,0.0025,0.0224586483316632
2025,3,0.0320086088669639,0.0202953425284337,-0.0201813388167819,0.1523435035856971,0.0025,0.0295086088669639
2025,4,0.0228154874386465,0.0389095857351096,-0.0067962005695579,0.170905369650822,0.0025,0.0203154874386465
2026,1,-0.0553210631151092,-0.0649226294626617,-0.0018250866326366,0.1445344591644166,0.0025,-0.0578210631151092
